bucket,object_name,gcs_uri,size_bytes,generation,md5_hash,crc32c,updated
paa-data-979927072833,bronze/subjective/soccermon/zenodo-10033832/daily_metrics.parquet,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/daily_metrics.parquet,623664,1786620521143705,nSSOsDzBONsS9VswbWsHeg==,3cyx5A==,2026-08-13T11:28:41.149000+00:00
paa-data-979927072833,bronze/subjective/soccermon/zenodo-10033832/game_performance_reports.parquet,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/game_performance_reports.parquet,8022,1786620520995266,/XsCSftegCrcE7owTU+Cng==,G2h0cQ==,2026-08-13T11:28:41+00:00
paa-data-979927072833,bronze/subjective/soccermon/zenodo-10033832/illness_reports.parquet,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/illness_reports.parquet,4141,1786620521526115,SRf00ghDJ0B8p4Y2//CPuw==,OTDnRg==,2026-08-13T11:28:41.529000+00:00
paa-data-979927072833,bronze/subjective/soccermon/zenodo-10033832/injury_reports.parquet,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/injury_reports.parquet,6206,1786620521463663,P/WBYUby6lb9YvaJ45/hKA==,u6U9IQ==,2026-08-13T11:28:41.468000+00:00
paa-data-979927072833,bronze/subjective/soccermon/zenodo-10033832/training_sessions.parquet,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/training_sessions.parquet,72303,1786620521895391,rR5Osh+v3lWJxAYENYcqeg==,Uclxpg==,2026-08-13T11:28:41.900000+00:00
paa-data-979927072833,gold/subjective/soccermon/zenodo-10033832/player_day_features.parquet,gs://paa-data-979927072833/gold/subjective/soccermon/zenodo-10033832/player_day_features.parquet,1552410,1786625701139262,+l1OT9w4NLIi4NgdHY6tsw==,LsZteA==,2026-08-13T12:55:01.145000+00:00
paa-data-979927072833,gold/subjective/soccermon/zenodo-10033832/player_day_labels.parquet,gs://paa-data-979927072833/gold/subjective/soccermon/zenodo-10033832/player_day_labels.parquet,13471,1786624841411308,COT/7zyqOMI4bJqRw82tfg==,eqka5g==,2026-08-13T12:40:41.417000+00:00
paa-data-979927072833,metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/bronze_ingestion.json,gs://paa-data-979927072833/metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/bronze_ingestion.json,650,1786620534564085,Wx8GS+OrXjSTe46qwOnt0A==,4TX3vA==,2026-08-13T11:28:54.568000+00:00
paa-data-979927072833,metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/injury_episodes.json,gs://paa-data-979927072833/metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/injury_episodes.json,82,1786624322418484,eB+f8OpcHOfMSWra/eFGfg==,Tj/8Rw==,2026-08-13T12:32:02.424000+00:00
paa-data-979927072833,metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/player_day_features.json,gs://paa-data-979927072833/metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/player_day_features.json,137,1786625707239332,19rW+V0vA1RZAzoHQuEYOw==,/UnPJg==,2026-08-13T12:55:07.244000+00:00
paa-data-979927072833,metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/player_day_labels.json,gs://paa-data-979927072833/metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/player_day_labels.json,229,1786624847433565,pGfJXw76tuAvNS1g8nzneA==,Hopf8g==,2026-08-13T12:40:47.438000+00:00
paa-data-979927072833,metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/silver_transformation.json,gs://paa-data-979927072833/metadata/data_quality_reports/subjective/soccermon/zenodo-10033832/silver_transformation.json,652,1786623421838276,u9Mgd33Khcu2fYyI4deQhw==,KxZ/MQ==,2026-08-13T12:17:01.842000+00:00
paa-data-979927072833,raw/subjective/soccermon/zenodo-10033832/_extraction_manifest.json,gs://paa-data-979927072833/raw/subjective/soccermon/zenodo-10033832/_extraction_manifest.json,3328,1786617950674968,WzyCyeVOFphHW56xoJ+TCQ==,YU9Leg==,2026-08-13T10:45:50.680000+00:00
paa-data-979927072833,raw/subjective/soccermon/zenodo-10033832/subjective/game-performance/game-performance.csv,gs://paa-data-979927072833/raw/subjective/soccermon/zenodo-10033832/subjective/game-performance/game-performance.csv,15218,1786617950422700,oRIxdt9OxhXuJVzAx+mcJA==,AdZDsw==,2026-08-13T10:45:50.427000+00:00
paa-data-979927072833,raw/subjective/soccermon/zenodo-10033832/subjective/illness/illness.csv,gs://paa-data-979927072833/raw/subjective/soccermon/zenodo-10033832/subjective/illness/illness.csv,1344,1786617950415198,RNA0KGrhtfVQUCAbNbz0Ag==,det7UQ==,2026-08-13T10:45:50.424000+00:00
paa-data-979927072833,raw/subjective/soccermon/zenodo-10033832/subjective/injury/injury.csv,gs://paa-data-979927072833/raw/subjective/soccermon/zenodo-10033832/subjective/injury/injury.csv,17133,1786617950747332,/6BqDiUQV3yuhuPfYPBruQ==,o+nt2A==,2026-08-13T10:45:50.752000+00:00
