layer,relation,grain,primary_key,row_count,column_count,player_count,team_count,min_date,max_date,size_bytes,generation,gcs_uri
bronze,daily_metrics,player x observation date x metric,"player_id, observation_date, metric_name",548250,7,50,2,2020-01-01,2021-12-31,623664,1786620521143705,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/daily_metrics.parquet
bronze,game_performance_reports,source event report,"source_file, source_row_number",248,7,36,2,2020-06-20,2021-11-17,8022,1786620520995266,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/game_performance_reports.parquet
bronze,illness_reports,source event report,"source_file, source_row_number",15,7,4,2,2020-08-11,2021-12-09,4141,1786620521526115,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/illness_reports.parquet
bronze,injury_reports,source event report,"source_file, source_row_number",162,7,15,2,2020-01-14,2021-11-03,6206,1786620521463663,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/injury_reports.parquet
bronze,training_sessions,source player session,"player_id, source_file, source_record_index",16265,8,50,2,2020-01-09,2021-12-31,72303,1786620521895391,gs://paa-data-979927072833/bronze/subjective/soccermon/zenodo-10033832/training_sessions.parquet
gold,player_day_features,player x prediction date,"player_id, prediction_date",36550,51,50,2,2020-01-01,2021-12-31,1552410,1786625701139262,gs://paa-data-979927072833/gold/subjective/soccermon/zenodo-10033832/player_day_features.parquet
gold,player_day_labels,player x prediction date,"player_id, prediction_date",36550,15,50,2,2020-01-01,2021-12-31,13471,1786624841411308,gs://paa-data-979927072833/gold/subjective/soccermon/zenodo-10033832/player_day_labels.parquet
silver,game_performance_reports,canonical event report,event_id,248,8,36,2,2020-06-20,2021-11-17,11437,1786623461848471,gs://paa-data-979927072833/silver/subjective/soccermon/zenodo-10033832/game_performance_reports.parquet
silver,illness_reports,canonical event report,event_id,15,8,4,2,2020-08-11,2021-12-09,4857,1786623461826827,gs://paa-data-979927072833/silver/subjective/soccermon/zenodo-10033832/illness_reports.parquet
silver,injury_episodes,self-reported injury episode,episode_id,147,9,15,2,2020-01-14,2021-11-03,6870,1786624317743817,gs://paa-data-979927072833/silver/subjective/soccermon/zenodo-10033832/injury_episodes.parquet
silver,injury_reports,canonical event report,event_id,162,8,15,2,2020-01-14,2021-11-03,8566,1786623462079487,gs://paa-data-979927072833/silver/subjective/soccermon/zenodo-10033832/injury_reports.parquet
silver,player_registry,player,player_id,50,11,50,2,2020-01-01,2021-12-31,6107,1786623462504523,gs://paa-data-979927072833/silver/subjective/soccermon/zenodo-10033832/player_registry.parquet
silver,training_load_daily,player x report date,"player_id, report_date",36550,11,50,2,2020-01-01,2021-12-31,467008,1786623462184624,gs://paa-data-979927072833/silver/subjective/soccermon/zenodo-10033832/training_load_daily.parquet
silver,training_sessions,canonical player session,session_id,16265,9,50,2,2020-01-09,2021-12-31,265627,1786623462682298,gs://paa-data-979927072833/silver/subjective/soccermon/zenodo-10033832/training_sessions.parquet
silver,wellness_daily,player x report date,"player_id, report_date",36550,12,50,2,2020-01-01,2021-12-31,76022,1786623462539625,gs://paa-data-979927072833/silver/subjective/soccermon/zenodo-10033832/wellness_daily.parquet
