layer,relation,column,expected_dtype,actual_dtype,status
bronze,daily_metrics,metric_name,String,String,PASS
bronze,daily_metrics,observation_date,Date,Date,PASS
bronze,daily_metrics,player_id,String,String,PASS
bronze,daily_metrics,source_file,String,String,PASS
bronze,daily_metrics,source_row_number,Int64,Int64,PASS
bronze,daily_metrics,team_id,String,String,PASS
bronze,daily_metrics,value,Float64,Float64,PASS
bronze,game_performance_reports,event_date,Date,Date,PASS
bronze,game_performance_reports,event_type,String,String,PASS
bronze,game_performance_reports,player_id,String,String,PASS
bronze,game_performance_reports,source_file,String,String,PASS
bronze,game_performance_reports,source_payload_json,String,String,PASS
bronze,game_performance_reports,source_row_number,Int64,Int64,PASS
bronze,game_performance_reports,team_id,String,String,PASS
bronze,illness_reports,event_date,Date,Date,PASS
bronze,illness_reports,event_type,String,String,PASS
bronze,illness_reports,player_id,String,String,PASS
bronze,illness_reports,source_file,String,String,PASS
bronze,illness_reports,source_payload_json,String,String,PASS
bronze,illness_reports,source_row_number,Int64,Int64,PASS
bronze,illness_reports,team_id,String,String,PASS
bronze,injury_reports,event_date,Date,Date,PASS
bronze,injury_reports,event_type,String,String,PASS
bronze,injury_reports,player_id,String,String,PASS
bronze,injury_reports,source_file,String,String,PASS
bronze,injury_reports,source_payload_json,String,String,PASS
bronze,injury_reports,source_row_number,Int64,Int64,PASS
bronze,injury_reports,team_id,String,String,PASS
bronze,training_sessions,duration_minutes,Float64,Float64,PASS
bronze,training_sessions,player_id,String,String,PASS
bronze,training_sessions,rpe,Float64,Float64,PASS
bronze,training_sessions,session_date,Date,Date,PASS
bronze,training_sessions,source_file,String,String,PASS
bronze,training_sessions,source_record_index,Int64,Int64,PASS
bronze,training_sessions,srpe,Float64,Float64,PASS
bronze,training_sessions,team_id,String,String,PASS
gold,player_day_features,active_injury_episode,Boolean,Boolean,PASS
gold,player_day_features,daily_load,Float64,Float64,PASS
gold,player_day_features,daily_load_baseline_mean_prior,Float64,Float64,PASS
gold,player_day_features,daily_load_sum_14d,Float64,Float64,PASS
gold,player_day_features,daily_load_sum_28d,Float64,Float64,PASS
gold,player_day_features,daily_load_sum_3d,Float64,Float64,PASS
gold,player_day_features,daily_load_sum_7d,Float64,Float64,PASS
gold,player_day_features,daily_load_zscore_prior,Float64,Float64,PASS
gold,player_day_features,eligible_new_onset_14d,Boolean,Boolean,PASS
gold,player_day_features,eligible_new_onset_3d,Boolean,Boolean,PASS
gold,player_day_features,eligible_new_onset_7d,Boolean,Boolean,PASS
gold,player_day_features,fatigue,Float64,Float64,PASS
gold,player_day_features,fatigue_baseline_mean_prior,Float64,Float64,PASS
gold,player_day_features,fatigue_mean_14d,Float64,Float64,PASS
gold,player_day_features,fatigue_mean_28d,Float64,Float64,PASS
gold,player_day_features,fatigue_mean_3d,Float64,Float64,PASS
gold,player_day_features,fatigue_mean_7d,Float64,Float64,PASS
gold,player_day_features,fatigue_zscore_prior,Float64,Float64,PASS
gold,player_day_features,feature_timestamp,Date,Date,PASS
gold,player_day_features,feature_version,String,String,PASS
gold,player_day_features,injury_next_14d,Boolean,Boolean,PASS
gold,player_day_features,injury_next_3d,Boolean,Boolean,PASS
gold,player_day_features,injury_next_7d,Boolean,Boolean,PASS
gold,player_day_features,label_complete_14d,Boolean,Boolean,PASS
gold,player_day_features,label_complete_3d,Boolean,Boolean,PASS
gold,player_day_features,label_complete_7d,Boolean,Boolean,PASS
gold,player_day_features,observation_end,Date,Date,PASS
gold,player_day_features,player_id,String,String,PASS
gold,player_day_features,prediction_cutoff,String,String,PASS
gold,player_day_features,prediction_date,Date,Date,PASS
gold,player_day_features,readiness,Float64,Float64,PASS
gold,player_day_features,readiness_baseline_mean_prior,Float64,Float64,PASS
gold,player_day_features,readiness_mean_14d,Float64,Float64,PASS
gold,player_day_features,readiness_mean_28d,Float64,Float64,PASS
gold,player_day_features,readiness_mean_3d,Float64,Float64,PASS
gold,player_day_features,readiness_mean_7d,Float64,Float64,PASS
gold,player_day_features,readiness_zscore_prior,Float64,Float64,PASS
gold,player_day_features,session_count,Int64,Int64,PASS
gold,player_day_features,session_duration_minutes,Float64,Float64,PASS
gold,player_day_features,session_duration_sum_14d,Float64,Float64,PASS
gold,player_day_features,session_duration_sum_28d,Float64,Float64,PASS
gold,player_day_features,session_duration_sum_3d,Float64,Float64,PASS
gold,player_day_features,session_duration_sum_7d,Float64,Float64,PASS
gold,player_day_features,session_srpe,Float64,Float64,PASS
gold,player_day_features,session_srpe_sum_14d,Float64,Float64,PASS
gold,player_day_features,session_srpe_sum_28d,Float64,Float64,PASS
gold,player_day_features,session_srpe_sum_3d,Float64,Float64,PASS
gold,player_day_features,session_srpe_sum_7d,Float64,Float64,PASS
gold,player_day_features,team_id,String,String,PASS
gold,player_day_features,wellness_metric_count,Int64,Int64,PASS
gold,player_day_features,wellness_report_present,Boolean,Boolean,PASS
gold,player_day_labels,active_injury_episode,Boolean,Boolean,PASS
gold,player_day_labels,eligible_new_onset_14d,Boolean,Boolean,PASS
gold,player_day_labels,eligible_new_onset_3d,Boolean,Boolean,PASS
gold,player_day_labels,eligible_new_onset_7d,Boolean,Boolean,PASS
gold,player_day_labels,injury_next_14d,Boolean,Boolean,PASS
gold,player_day_labels,injury_next_3d,Boolean,Boolean,PASS
gold,player_day_labels,injury_next_7d,Boolean,Boolean,PASS
gold,player_day_labels,label_complete_14d,Boolean,Boolean,PASS
gold,player_day_labels,label_complete_3d,Boolean,Boolean,PASS
gold,player_day_labels,label_complete_7d,Boolean,Boolean,PASS
gold,player_day_labels,observation_end,Date,Date,PASS
gold,player_day_labels,player_id,String,String,PASS
gold,player_day_labels,prediction_cutoff,String,String,PASS
gold,player_day_labels,prediction_date,Date,Date,PASS
gold,player_day_labels,team_id,String,String,PASS
silver,game_performance_reports,event_date,Date,Date,PASS
silver,game_performance_reports,event_id,String,String,PASS
silver,game_performance_reports,event_type,String,String,PASS
silver,game_performance_reports,player_id,String,String,PASS
silver,game_performance_reports,source_file,String,String,PASS
silver,game_performance_reports,source_payload_json,String,String,PASS
silver,game_performance_reports,source_row_number,Int64,Int64,PASS
silver,game_performance_reports,team_id,String,String,PASS
silver,illness_reports,event_date,Date,Date,PASS
silver,illness_reports,event_id,String,String,PASS
silver,illness_reports,event_type,String,String,PASS
silver,illness_reports,player_id,String,String,PASS
silver,illness_reports,source_file,String,String,PASS
silver,illness_reports,source_payload_json,String,String,PASS
silver,illness_reports,source_row_number,Int64,Int64,PASS
silver,illness_reports,team_id,String,String,PASS
silver,injury_episodes,component_report_count,Int64,Int64,PASS
