month,total_player_days,complete_player_days,eligible_player_days,active_episode_player_days,horizon_days,complete_rate,eligible_rate
2020-01-01,1550,1550,1539,11,3,1.0,0.9929032258064516
2020-01-01,1550,1550,1539,11,7,1.0,0.9929032258064516
2020-01-01,1550,1550,1539,11,14,1.0,0.9929032258064516
2020-02-01,1450,1450,1449,1,3,1.0,0.9993103448275862
2020-02-01,1450,1450,1449,1,7,1.0,0.9993103448275862
2020-02-01,1450,1450,1449,1,14,1.0,0.9993103448275862
2020-03-01,1550,1550,1516,34,3,1.0,0.9780645161290322
2020-03-01,1550,1550,1516,34,7,1.0,0.9780645161290322
2020-03-01,1550,1550,1516,34,14,1.0,0.9780645161290322
2020-04-01,1500,1500,1467,33,3,1.0,0.978
2020-04-01,1500,1500,1467,33,7,1.0,0.978
2020-04-01,1500,1500,1467,33,14,1.0,0.978
2020-05-01,1550,1550,1495,55,3,1.0,0.964516129032258
2020-05-01,1550,1550,1495,55,7,1.0,0.964516129032258
2020-05-01,1550,1550,1495,55,14,1.0,0.964516129032258
2020-06-01,1500,1500,1468,32,3,1.0,0.9786666666666667
2020-06-01,1500,1500,1468,32,7,1.0,0.9786666666666667
2020-06-01,1500,1500,1468,32,14,1.0,0.9786666666666667
2020-07-01,1550,1550,1541,9,3,1.0,0.9941935483870967
2020-07-01,1550,1550,1541,9,7,1.0,0.9941935483870967
2020-07-01,1550,1550,1541,9,14,1.0,0.9941935483870967
2020-08-01,1550,1550,1536,14,3,1.0,0.9909677419354839
2020-08-01,1550,1550,1536,14,7,1.0,0.9909677419354839
2020-08-01,1550,1550,1536,14,14,1.0,0.9909677419354839
2020-09-01,1500,1500,1498,2,3,1.0,0.9986666666666667
2020-09-01,1500,1500,1498,2,7,1.0,0.9986666666666667
2020-09-01,1500,1500,1498,2,14,1.0,0.9986666666666667
2020-10-01,1550,1550,1549,1,3,1.0,0.9993548387096775
2020-10-01,1550,1550,1549,1,7,1.0,0.9993548387096775
2020-10-01,1550,1550,1549,1,14,1.0,0.9993548387096775
2020-11-01,1500,1500,1499,1,3,1.0,0.9993333333333333
2020-11-01,1500,1500,1499,1,7,1.0,0.9993333333333333
2020-11-01,1500,1500,1499,1,14,1.0,0.9993333333333333
2020-12-01,1550,1550,1550,0,3,1.0,1.0
2020-12-01,1550,1550,1550,0,7,1.0,1.0
2020-12-01,1550,1550,1550,0,14,1.0,1.0
2021-01-01,1550,1550,1543,7,3,1.0,0.9954838709677419
2021-01-01,1550,1550,1543,7,7,1.0,0.9954838709677419
2021-01-01,1550,1550,1543,7,14,1.0,0.9954838709677419
2021-02-01,1400,1400,1398,2,3,1.0,0.9985714285714286
2021-02-01,1400,1400,1398,2,7,1.0,0.9985714285714286
2021-02-01,1400,1400,1398,2,14,1.0,0.9985714285714286
2021-03-01,1550,1550,1549,1,3,1.0,0.9993548387096775
2021-03-01,1550,1550,1549,1,7,1.0,0.9993548387096775
2021-03-01,1550,1550,1549,1,14,1.0,0.9993548387096775
2021-04-01,1500,1500,1500,0,3,1.0,1.0
2021-04-01,1500,1500,1500,0,7,1.0,1.0
2021-04-01,1500,1500,1500,0,14,1.0,1.0
2021-05-01,1550,1550,1550,0,3,1.0,1.0
2021-05-01,1550,1550,1550,0,7,1.0,1.0
2021-05-01,1550,1550,1550,0,14,1.0,1.0
2021-06-01,1500,1500,1500,0,3,1.0,1.0
2021-06-01,1500,1500,1500,0,7,1.0,1.0
2021-06-01,1500,1500,1500,0,14,1.0,1.0
2021-07-01,1550,1550,1550,0,3,1.0,1.0
2021-07-01,1550,1550,1550,0,7,1.0,1.0
2021-07-01,1550,1550,1550,0,14,1.0,1.0
2021-08-01,1550,1550,1550,0,3,1.0,1.0
2021-08-01,1550,1550,1550,0,7,1.0,1.0
2021-08-01,1550,1550,1550,0,14,1.0,1.0
2021-09-01,1500,1500,1497,3,3,1.0,0.998
2021-09-01,1500,1500,1497,3,7,1.0,0.998
2021-09-01,1500,1500,1497,3,14,1.0,0.998
2021-10-01,1550,1550,1549,1,3,1.0,0.9993548387096775
2021-10-01,1550,1550,1549,1,7,1.0,0.9993548387096775
2021-10-01,1550,1550,1549,1,14,1.0,0.9993548387096775
2021-11-01,1500,1500,1499,1,3,1.0,0.9993333333333333
2021-11-01,1500,1500,1499,1,7,1.0,0.9993333333333333
2021-11-01,1500,1500,1499,1,14,1.0,0.9993333333333333
2021-12-01,1550,1400,1400,0,3,0.9032258064516129,0.9032258064516129
2021-12-01,1550,1200,1200,0,7,0.7741935483870968,0.7741935483870968
2021-12-01,1550,850,850,0,14,0.5483870967741935,0.5483870967741935
