month,team_id,episode_starts
2020-01-01,TeamA,0
2020-01-01,TeamB,5
2020-02-01,TeamA,0
2020-02-01,TeamB,2
2020-03-01,TeamA,14
2020-03-01,TeamB,0
2020-04-01,TeamA,24
2020-04-01,TeamB,0
2020-05-01,TeamA,16
2020-05-01,TeamB,0
2020-06-01,TeamA,22
2020-06-01,TeamB,0
2020-07-01,TeamA,16
2020-07-01,TeamB,0
2020-08-01,TeamA,19
2020-08-01,TeamB,0
2020-09-01,TeamA,9
2020-09-01,TeamB,0
2020-10-01,TeamA,1
2020-10-01,TeamB,0
2020-11-01,TeamA,7
2020-11-01,TeamB,0
2020-12-01,TeamA,0
2020-12-01,TeamB,0
2021-01-01,TeamA,3
2021-01-01,TeamB,0
2021-02-01,TeamA,2
2021-02-01,TeamB,0
2021-03-01,TeamA,1
2021-03-01,TeamB,0
2021-04-01,TeamA,0
2021-04-01,TeamB,0
2021-05-01,TeamA,0
2021-05-01,TeamB,0
2021-06-01,TeamA,0
2021-06-01,TeamB,0
2021-07-01,TeamA,0
2021-07-01,TeamB,0
2021-08-01,TeamA,0
2021-08-01,TeamB,0
2021-09-01,TeamA,3
2021-09-01,TeamB,0
2021-10-01,TeamA,0
2021-10-01,TeamB,2
2021-11-01,TeamA,1
2021-11-01,TeamB,0
2021-12-01,TeamA,0
2021-12-01,TeamB,0
