scope,rank,entity_id,team_id,episode_count,onset_day_count,unique_component_count,episode_share,onset_day_share,cumulative_onset_day_share
player,1,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,84,24,165,0.5714285714285714,0.3287671232876712,0.3287671232876712
player,2,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,14,14,28,0.09523809523809523,0.1917808219178082,0.5205479452054794
player,3,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,9,9,45,0.061224489795918366,0.1232876712328767,0.6438356164383561
player,4,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,10,4,18,0.06802721088435373,0.0547945205479452,0.6986301369863013
player,5,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,5,4,11,0.03401360544217687,0.0547945205479452,0.7534246575342465
player,6,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,4,3,4,0.027210884353741496,0.0410958904109589,0.7945205479452054
player,7,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,4,3,7,0.027210884353741496,0.0410958904109589,0.8356164383561644
player,8,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,TeamA,3,3,4,0.02040816326530612,0.0410958904109589,0.8767123287671232
player,9,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,4,2,6,0.027210884353741496,0.0273972602739726,0.9041095890410958
player,10,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,TeamB,2,2,3,0.013605442176870748,0.0273972602739726,0.9315068493150684
player,11,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,TeamA,3,1,3,0.02040816326530612,0.0136986301369863,0.9452054794520548
player,12,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2,1,2,0.013605442176870748,0.0136986301369863,0.958904109589041
player,13,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,TeamA,1,1,1,0.006802721088435374,0.0136986301369863,0.9726027397260273
player,14,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,TeamA,1,1,1,0.006802721088435374,0.0136986301369863,0.9863013698630136
player,15,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,1,1,1,0.006802721088435374,0.0136986301369863,1.0
player,16,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,TeamA,0,0,0,0.0,0.0,1.0
player,17,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,TeamA,0,0,0,0.0,0.0,1.0
player,18,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,0,0,0,0.0,0.0,1.0
player,19,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,TeamA,0,0,0,0.0,0.0,1.0
player,20,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,TeamA,0,0,0,0.0,0.0,1.0
player,21,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,0,0,0,0.0,0.0,1.0
player,22,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,TeamA,0,0,0,0.0,0.0,1.0
player,23,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,0,0,0,0.0,0.0,1.0
