metric_a,metric_b,both_observed,only_a_observed,only_b_observed,both_missing,joint_missing_rate
fatigue,fatigue,16992,0,0,19558,0.5351025991792066
fatigue,mood,16985,7,14,19544,0.534719562243502
fatigue,readiness,16983,9,14,19544,0.534719562243502
fatigue,sleep_duration,16967,25,14,19544,0.534719562243502
fatigue,sleep_quality,16981,11,13,19545,0.5347469220246238
fatigue,soreness,16986,6,13,19545,0.5347469220246238
fatigue,stress,16983,9,14,19544,0.534719562243502
mood,fatigue,16985,14,7,19544,0.534719562243502
mood,mood,16999,0,0,19551,0.5349110807113543
mood,readiness,16989,10,8,19543,0.5346922024623803
mood,sleep_duration,16973,26,8,19543,0.5346922024623803
mood,sleep_quality,16987,12,7,19544,0.534719562243502
mood,soreness,16992,7,7,19544,0.534719562243502
mood,stress,16991,8,6,19545,0.5347469220246238
readiness,fatigue,16983,14,9,19544,0.534719562243502
readiness,mood,16989,8,10,19543,0.5346922024623803
readiness,readiness,16997,0,0,19553,0.5349658002735979
readiness,sleep_duration,16971,26,10,19543,0.5346922024623803
readiness,sleep_quality,16985,12,9,19544,0.534719562243502
readiness,soreness,16990,7,9,19544,0.534719562243502
readiness,stress,16987,10,10,19543,0.5346922024623803
sleep_duration,fatigue,16967,14,25,19544,0.534719562243502
sleep_duration,mood,16973,8,26,19543,0.5346922024623803
sleep_duration,readiness,16971,10,26,19543,0.5346922024623803
sleep_duration,sleep_duration,16981,0,0,19569,0.5354035567715458
sleep_duration,sleep_quality,16974,7,20,19549,0.5348563611491108
sleep_duration,soreness,16974,7,25,19544,0.534719562243502
sleep_duration,stress,16971,10,26,19543,0.5346922024623803
sleep_quality,fatigue,16981,13,11,19545,0.5347469220246238
sleep_quality,mood,16987,7,12,19544,0.534719562243502
sleep_quality,readiness,16985,9,12,19544,0.534719562243502
sleep_quality,sleep_duration,16974,20,7,19549,0.5348563611491108
sleep_quality,sleep_quality,16994,0,0,19556,0.5350478796169631
sleep_quality,soreness,16988,6,11,19545,0.5347469220246238
sleep_quality,stress,16985,9,12,19544,0.534719562243502
soreness,fatigue,16986,13,6,19545,0.5347469220246238
soreness,mood,16992,7,7,19544,0.534719562243502
soreness,readiness,16990,9,7,19544,0.534719562243502
soreness,sleep_duration,16974,25,7,19544,0.534719562243502
soreness,sleep_quality,16988,11,6,19545,0.5347469220246238
soreness,soreness,16999,0,0,19551,0.5349110807113543
soreness,stress,16990,9,7,19544,0.534719562243502
stress,fatigue,16983,14,9,19544,0.534719562243502
stress,mood,16991,6,8,19545,0.5347469220246238
stress,readiness,16987,10,10,19543,0.5346922024623803
stress,sleep_duration,16971,26,10,19543,0.5346922024623803
stress,sleep_quality,16985,12,9,19544,0.534719562243502
stress,soreness,16990,7,9,19544,0.534719562243502
stress,stress,16997,0,0,19553,0.5349658002735979
