team_id,weekday_number,calendar_days,report_days,weekday_name,report_rate
TeamA,1,2808,1646,Monday,0.5861823361823362
TeamB,1,2392,861,Monday,0.35994983277591974
TeamA,2,2808,1647,Tuesday,0.5865384615384616
TeamB,2,2392,920,Tuesday,0.38461538461538464
TeamA,3,2835,1627,Wednesday,0.5738977072310406
TeamB,3,2415,864,Wednesday,0.3577639751552795
TeamA,4,2835,1569,Thursday,0.5534391534391534
TeamB,4,2415,854,Thursday,0.3536231884057971
TeamA,5,2835,1577,Friday,0.5562610229276896
TeamB,5,2415,914,Friday,0.3784679089026915
TeamA,6,2808,1486,Saturday,0.5292022792022792
TeamB,6,2392,819,Saturday,0.3423913043478261
TeamA,7,2808,1477,Sunday,0.5259971509971509
TeamB,7,2392,747,Sunday,0.31229096989966554
