player_id,team_id,run_start,run_end,run_days
TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,TeamB,2020-01-01,2021-08-29,607
TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,TeamB,2020-01-01,2021-08-07,585
TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,TeamA,2020-01-01,2021-08-02,580
TeamB-f67673c0-d467-4832-9519-55133a2647e5,TeamB,2020-02-06,2021-08-27,569
TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,TeamB,2020-01-01,2021-07-06,553
TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,TeamA,2020-01-01,2021-06-08,525
TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,TeamA,2020-01-01,2021-06-08,525
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,2020-01-01,2021-06-01,518
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,TeamB,2020-05-24,2021-07-10,413
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,2020-01-01,2021-02-04,401
TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,TeamA,2020-01-01,2021-02-01,398
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,2020-01-01,2021-01-16,382
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,TeamB,2020-01-01,2021-01-13,379
TeamB-7d41e602-eece-328b-ff7b-118e820865d6,TeamB,2020-01-01,2021-01-11,377
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2020-03-23,2021-01-20,304
TeamB-9c845827-99f9-47f4-977d-2200a107a013,TeamB,2021-03-31,2021-12-31,276
TeamB-9c845827-99f9-47f4-977d-2200a107a013,TeamB,2020-01-01,2020-09-23,267
TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,2020-01-01,2020-09-19,263
TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,2021-05-20,2021-12-31,226
TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,TeamA,2020-01-01,2020-07-28,210
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,2020-01-01,2020-07-19,201
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,TeamA,2020-01-01,2020-07-05,187
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,TeamA,2020-01-01,2020-06-24,176
TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2020-01-01,2020-06-21,173
TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,TeamA,2021-07-15,2021-12-31,170
TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,2020-01-01,2020-06-13,165
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,2020-01-01,2020-06-09,161
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2021-08-11,2021-12-31,143
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2021-08-27,2021-12-31,127
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2021-03-04,2021-07-05,124
TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,TeamA,2020-04-02,2020-07-29,119
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,TeamA,2020-06-04,2020-09-13,102
TeamB-9c845827-99f9-47f4-977d-2200a107a013,TeamB,2020-10-12,2021-01-20,101
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,TeamA,2020-10-08,2021-01-11,96
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,2020-05-16,2020-08-09,86
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,2020-01-01,2020-03-22,82
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,2020-01-01,2020-03-21,81
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2020-01-01,2020-03-20,80
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,TeamA,2020-01-01,2020-03-20,80
TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,TeamA,2020-01-01,2020-03-20,80
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,TeamB,2021-10-13,2021-12-31,80
TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,TeamA,2020-01-01,2020-03-19,79
TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-01-01,2020-03-19,79
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,2020-01-01,2020-03-19,79
TeamA-74afe68c-f348-414c-9754-6d6f9df12587,TeamA,2020-01-01,2020-03-19,79
TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,TeamA,2020-01-01,2020-03-19,79
TeamA-b58af410-da77-479e-b93c-e03617b9f36d,TeamA,2020-01-01,2020-03-19,79
TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,2020-01-01,2020-03-19,79
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2020-01-01,2020-03-19,79
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,TeamA,2020-01-01,2020-03-19,79
TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,TeamA,2020-01-01,2020-03-19,79
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,2021-10-14,2021-12-31,79
TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,TeamA,2020-01-01,2020-03-16,76
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,2021-10-18,2021-12-31,75
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,TeamB,2020-01-11,2020-03-25,75
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,TeamA,2021-10-28,2021-12-31,65
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2020-11-16,2021-01-16,62
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,2021-11-01,2021-12-31,61
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2021-05-12,2021-07-09,59
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2021-11-04,2021-12-31,58
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,2020-11-25,2021-01-20,57
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-11-05,2021-12-31,57
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,2021-11-05,2021-12-31,57
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,2021-08-07,2021-09-30,55
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,2021-11-09,2021-12-31,53
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,TeamA,2021-11-10,2021-12-31,52
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,2021-11-10,2021-12-31,52
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,2021-11-10,2021-12-31,52
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,2020-11-25,2021-01-13,50
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,2021-11-12,2021-12-31,50
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2020-01-01,2020-02-19,50
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,TeamB,2021-11-13,2021-12-31,49
TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,TeamB,2021-11-13,2021-12-31,49
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,2021-11-13,2021-12-31,49
TeamB-f67673c0-d467-4832-9519-55133a2647e5,TeamB,2021-11-13,2021-12-31,49
TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,TeamB,2021-11-14,2021-12-31,48
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2021-11-14,2021-12-31,48
TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,TeamB,2021-11-14,2021-12-31,48
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,2021-11-15,2021-12-31,47
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2020-01-01,2020-02-16,47
TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,TeamB,2021-11-16,2021-12-31,46
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2020-03-27,2020-05-10,45
TeamB-7d41e602-eece-328b-ff7b-118e820865d6,TeamB,2021-11-17,2021-12-31,45
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,2020-12-01,2021-01-13,44
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,2021-06-23,2021-08-05,44
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,2021-05-06,2021-06-17,43
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,2021-11-19,2021-12-31,43
TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,TeamA,2021-10-14,2021-11-24,42
TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2021-11-21,2021-12-31,41
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,2020-12-04,2021-01-13,41
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2020-09-25,2020-11-04,41
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2020-12-04,2021-01-11,39
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2021-01-23,2021-03-02,39
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2020-12-10,2021-01-16,38
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,2020-12-06,2021-01-10,36
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2020-06-23,2020-07-27,35
TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2020-12-07,2021-01-10,35
TeamB-f67673c0-d467-4832-9519-55133a2647e5,TeamB,2020-01-01,2020-02-04,35
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2020-12-01,2021-01-03,34
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,2021-10-14,2021-11-16,34
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,2020-01-01,2020-02-03,34
TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,2020-12-09,2021-01-10,33
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,2020-12-14,2021-01-14,32
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2020-12-15,2021-01-13,30
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2020-08-23,2020-09-21,30
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,2020-12-14,2021-01-11,29
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2020-04-21,2020-05-18,28
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,2020-12-13,2021-01-09,28
TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,2020-12-15,2021-01-10,27
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,2021-07-04,2021-07-30,27
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,2021-07-15,2021-08-09,26
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,2020-12-12,2021-01-05,25
TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,TeamA,2021-03-13,2021-04-06,25
TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,TeamA,2021-04-24,2021-05-18,25
TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2021-11-18,2021-12-12,25
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,2021-07-12,2021-08-05,25
TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-12-10,2021-01-02,24
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,2021-11-19,2021-12-12,24
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,2021-02-06,2021-03-01,24
TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,TeamA,2020-08-11,2020-09-02,23
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,2021-06-14,2021-07-05,22
TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,2021-04-04,2021-04-25,22
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-08-25,2021-09-15,22
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2020-01-01,2020-01-22,22
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2020-01-01,2020-01-21,21
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,2021-10-14,2021-11-03,21
TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,TeamB,2021-07-14,2021-08-02,20
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2021-07-14,2021-08-02,20
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,2021-10-18,2021-11-05,19
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,2021-07-12,2021-07-30,19
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,2021-07-15,2021-08-01,18
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,2021-07-15,2021-08-01,18
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-07-14,2021-07-31,18
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2021-07-15,2021-08-01,18
TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,2021-11-20,2021-12-06,17
TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,2021-12-15,2021-12-31,17
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,2021-06-03,2021-06-19,17
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,2020-05-02,2020-05-18,17
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,2021-07-14,2021-07-30,17
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,TeamB,2021-07-15,2021-07-31,17
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,2020-05-02,2020-05-18,17
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2021-09-12,2021-09-28,17
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,2021-06-03,2021-06-19,17
TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,2021-12-16,2021-12-31,16
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,2021-07-15,2021-07-30,16
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2021-07-15,2021-07-30,16
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,2021-07-16,2021-07-31,16
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-09-27,2021-10-12,16
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,2021-07-15,2021-07-30,16
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,TeamA,2021-04-01,2021-04-15,15
TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,TeamA,2021-07-17,2021-07-31,15
TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,TeamA,2021-02-14,2021-02-28,15
TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,2020-04-19,2020-05-03,15
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,2021-06-06,2021-06-20,15
TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,TeamB,2021-07-16,2021-07-30,15
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,2020-12-19,2021-01-01,14
TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,2020-12-21,2021-01-03,14
TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,TeamA,2021-11-17,2021-11-30,14
TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2021-12-18,2021-12-31,14
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,2021-06-06,2021-06-19,14
TeamB-9c845827-99f9-47f4-977d-2200a107a013,TeamB,2021-02-09,2021-02-22,14
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,2021-08-25,2021-09-07,14
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2020-10-22,2020-11-03,13
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,2021-12-19,2021-12-31,13
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,TeamA,2021-06-05,2021-06-17,13
TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,TeamA,2021-07-16,2021-07-28,13
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-10-18,2021-10-30,13
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,2021-09-09,2021-09-21,13
TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,TeamB,2020-01-01,2020-01-13,13
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,TeamA,2020-04-23,2020-05-04,12
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,2021-08-12,2021-08-23,12
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,2021-09-12,2021-09-23,12
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,2021-09-12,2021-09-23,12
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2020-02-26,2020-03-08,12
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-08-12,2021-08-23,12
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2021-06-06,2021-06-17,12
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,2021-03-31,2021-04-11,12
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,2021-06-08,2021-06-19,12
TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,TeamA,2020-12-06,2020-12-16,11
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,TeamA,2021-12-01,2021-12-11,11
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-04-09,2021-04-19,11
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,TeamA,2021-07-17,2021-07-27,11
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2021-07-18,2021-07-28,11
TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,TeamA,2021-12-01,2021-12-11,11
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,2021-10-20,2021-10-30,11
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,2021-06-06,2021-06-16,11
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,2021-10-18,2021-10-28,11
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2020-05-07,2020-05-17,11
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2020-06-26,2020-07-06,11
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2020-09-13,2020-09-23,11
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,2021-10-18,2021-10-28,11
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,TeamA,2020-12-24,2021-01-02,10
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2020-10-11,2020-10-20,10
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-11-24,2021-12-03,10
TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,TeamA,2020-12-02,2020-12-11,10
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,2021-10-19,2021-10-28,10
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2021-10-16,2021-10-25,10
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,2021-10-19,2021-10-28,10
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-06-26,2021-07-05,10
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2020-08-18,2020-08-26,9
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-12-23,2021-12-31,9
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2020-10-25,2020-11-02,9
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2021-02-22,2021-03-02,9
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,2021-04-03,2021-04-11,9
