player_id,team_id,calendar_days,wellness_report_days,full_report_days,partial_report_days,mean_metric_count,recorded_session_days,recorded_session_count,no_report_days,wellness_report_rate,full_report_rate,partial_report_rate,recorded_session_day_rate
TeamB-9c845827-99f9-47f4-977d-2200a107a013,TeamB,731,23,23,0,0.22024623803009577,8,8,708,0.03146374829001368,0.03146374829001368,0.0,0.01094391244870041
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,731,48,48,0,0.45964432284541723,22,24,683,0.06566347469220246,0.06566347469220246,0.0,0.030095759233926128
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,731,61,61,0,0.5841313269493844,45,47,670,0.08344733242134063,0.08344733242134063,0.0,0.06155950752393981
TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,TeamB,731,72,72,0,0.6894664842681258,32,32,659,0.09849521203830369,0.09849521203830369,0.0,0.04377564979480164
TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,TeamB,731,74,74,0,0.7086183310533516,53,62,657,0.1012311901504788,0.1012311901504788,0.0,0.07250341997264022
TeamB-f67673c0-d467-4832-9519-55133a2647e5,TeamB,731,76,76,0,0.7277701778385773,68,95,655,0.1039671682626539,0.1039671682626539,0.0,0.09302325581395349
TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,TeamB,731,96,96,0,0.9192886456908345,56,61,635,0.13132694938440492,0.13132694938440492,0.0,0.07660738714090287
TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,TeamA,731,110,110,0,1.0533515731874146,69,77,621,0.15047879616963064,0.15047879616963064,0.0,0.09439124487004104
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,731,124,123,1,1.186046511627907,60,62,607,0.16963064295485636,0.16826265389876882,0.0013679890560875513,0.08207934336525308
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,731,130,127,3,1.240766073871409,86,94,601,0.17783857729138167,0.17373461012311903,0.004103967168262654,0.11764705882352941
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,731,132,127,5,1.2571819425444597,108,110,599,0.18057455540355677,0.17373461012311903,0.006839945280437756,0.14774281805745554
TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,TeamA,731,140,140,0,1.3406292749658002,96,106,591,0.19151846785225718,0.19151846785225718,0.0,0.13132694938440492
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,TeamB,731,140,140,0,1.3406292749658002,85,96,591,0.19151846785225718,0.19151846785225718,0.0,0.11627906976744186
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,TeamB,731,148,146,2,1.414500683994528,95,122,583,0.2024623803009576,0.1997264021887825,0.0027359781121751026,0.12995896032831739
TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,TeamA,731,194,194,0,1.8577291381668946,141,148,537,0.265389876880985,0.265389876880985,0.0,0.19288645690834474
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,731,215,214,1,2.057455540355677,200,229,516,0.29411764705882354,0.292749658002736,0.0013679890560875513,0.27359781121751026
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,731,238,238,0,2.2790697674418605,290,342,493,0.32558139534883723,0.32558139534883723,0.0,0.3967168262653899
TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,TeamA,731,244,243,1,2.3351573187414503,201,213,487,0.3337893296853625,0.332421340629275,0.0013679890560875513,0.2749658002735978
TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,731,259,257,2,2.4774281805745555,225,276,472,0.3543091655266758,0.35157318741450067,0.0027359781121751026,0.307797537619699
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,731,282,279,3,2.689466484268126,228,275,449,0.3857729138166895,0.3816689466484268,0.004103967168262654,0.3119015047879617
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,TeamA,731,286,286,0,2.7387140902872775,254,298,445,0.3912448700410397,0.3912448700410397,0.0,0.34746922024623805
TeamB-7d41e602-eece-328b-ff7b-118e820865d6,TeamB,731,306,305,1,2.9288645690834474,265,341,425,0.4186046511627907,0.4172366621067031,0.0013679890560875513,0.3625170998632011
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,731,306,306,0,2.9302325581395348,345,377,425,0.4186046511627907,0.4186046511627907,0.0,0.4719562243502052
TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,731,335,334,1,3.20656634746922,357,443,396,0.4582763337893297,0.45690834473324216,0.0013679890560875513,0.4883720930232558
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,TeamA,731,352,352,0,3.3707250341997264,339,420,379,0.48153214774281805,0.48153214774281805,0.0,0.4637482900136799
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,731,354,352,2,3.387140902872777,297,357,377,0.4842681258549932,0.48153214774281805,0.0027359781121751026,0.4062927496580027
TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,TeamA,731,368,368,0,3.5239398084815323,373,408,363,0.5034199726402189,0.5034199726402189,0.0,0.5102599179206566
TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,TeamA,731,393,388,5,3.7496580027359783,273,316,338,0.5376196990424077,0.53077975376197,0.006839945280437756,0.3734610123119015
TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,TeamA,731,400,399,1,3.829001367989056,396,506,331,0.5471956224350205,0.5458276333789329,0.0013679890560875513,0.5417236662106704
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,731,416,416,0,3.9835841313269493,295,339,315,0.5690834473324213,0.5690834473324213,0.0,0.40355677154582764
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,TeamA,731,418,416,2,4.0,437,554,313,0.5718194254445964,0.5690834473324213,0.0027359781121751026,0.5978112175102599
TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,731,429,427,2,4.105335157318741,541,611,302,0.5868673050615595,0.5841313269493844,0.0027359781121751026,0.7400820793433652
TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,731,439,438,1,4.2024623803009575,330,387,292,0.600547195622435,0.5991792065663475,0.0013679890560875513,0.45143638850889195
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,731,463,462,1,4.432284541723666,449,509,268,0.6333789329685362,0.6320109439124487,0.0013679890560875513,0.6142270861833106
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,731,463,458,5,4.425444596443229,315,340,268,0.6333789329685362,0.6265389876880985,0.006839945280437756,0.43091655266757867
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,731,480,480,0,4.596443228454173,363,401,251,0.6566347469220246,0.6566347469220246,0.0,0.49658002735978113
TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,731,488,485,3,4.668946648426813,349,381,243,0.667578659370725,0.6634746922024624,0.004103967168262654,0.4774281805745554
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,731,489,484,5,4.67578659370725,450,549,242,0.6689466484268126,0.6621067031463749,0.006839945280437756,0.615595075239398
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,731,522,518,4,4.993160054719562,379,417,209,0.7140902872777017,0.7086183310533516,0.005471956224350205,0.518467852257182
TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,TeamA,731,526,525,1,5.035567715458276,501,574,205,0.719562243502052,0.7181942544459644,0.0013679890560875513,0.6853625170998632
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,731,546,544,2,5.225718194254446,390,456,185,0.746922024623803,0.7441860465116279,0.0027359781121751026,0.533515731874145
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,731,547,545,2,5.235294117647059,387,424,184,0.7482900136798906,0.7455540355677155,0.0027359781121751026,0.5294117647058824
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,731,560,557,3,5.358413132694938,511,555,171,0.7660738714090287,0.761969904240766,0.004103967168262654,0.6990424076607387
