player_id,team_id,calendar_days,recorded_session_days,recorded_sessions,recorded_duration_minutes,recorded_srpe,recorded_session_day_rate,interpretation
TeamB-9c845827-99f9-47f4-977d-2200a107a013,TeamB,731,8,8,690.0,4570.0,0.01094391244870041,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,731,22,24,2180.0,14750.0,0.030095759233926128,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,TeamB,731,32,32,2140.0,13710.0,0.04377564979480164,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,731,45,47,3500.0,19720.0,0.06155950752393981,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,TeamB,731,53,62,4000.0,22910.0,0.07250341997264022,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,TeamB,731,56,61,4405.0,24395.0,0.07660738714090287,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,731,60,62,5370.0,34370.0,0.08207934336525308,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-f67673c0-d467-4832-9519-55133a2647e5,TeamB,731,68,95,7120.0,36400.0,0.09302325581395349,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,TeamA,731,69,77,5680.0,33410.0,0.09439124487004104,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,TeamB,731,85,96,6660.0,48320.0,0.11627906976744186,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,731,86,94,8730.0,51960.0,0.11764705882352941,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,TeamB,731,95,122,10070.0,54180.0,0.12995896032831739,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,TeamA,731,96,106,7600.0,50020.0,0.13132694938440492,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,731,108,110,7610.0,50490.0,0.14774281805745554,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,TeamA,731,141,148,10490.0,48880.0,0.19288645690834474,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,731,200,229,17070.0,102880.0,0.27359781121751026,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,TeamA,731,201,213,14510.0,74660.0,0.2749658002735978,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,731,225,276,21000.0,127410.0,0.307797537619699,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,731,228,275,20270.0,111280.0,0.3119015047879617,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,TeamA,731,254,298,21150.0,136290.0,0.34746922024623805,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-7d41e602-eece-328b-ff7b-118e820865d6,TeamB,731,265,341,24490.0,156410.0,0.3625170998632011,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,TeamA,731,273,316,23260.0,128690.0,0.3734610123119015,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,731,290,342,24290.0,129790.0,0.3967168262653899,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,731,295,339,24090.0,152300.0,0.40355677154582764,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,731,297,357,26730.0,156100.0,0.4062927496580027,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,731,315,340,26680.0,187200.0,0.43091655266757867,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,731,330,387,26815.0,178510.0,0.45143638850889195,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,TeamA,731,339,420,30790.0,184100.0,0.4637482900136799,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,731,345,377,29890.0,206230.0,0.4719562243502052,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,731,349,381,29800.0,176040.0,0.4774281805745554,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,731,357,443,35550.0,181790.0,0.4883720930232558,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,731,363,401,31000.0,201810.0,0.49658002735978113,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,TeamA,731,373,408,29830.0,153320.0,0.5102599179206566,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,731,379,417,28960.0,199280.0,0.518467852257182,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,731,387,424,33810.0,191010.0,0.5294117647058824,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,731,390,456,34330.0,210310.0,0.533515731874145,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,TeamA,731,396,506,32070.0,170860.0,0.5417236662106704,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,TeamA,731,418,469,32770.0,203935.0,0.5718194254445964,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,TeamA,731,437,554,41270.0,217040.0,0.5978112175102599,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,731,449,509,36200.0,188090.0,0.6142270861833106,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,731,450,549,41660.0,259710.0,0.615595075239398,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,731,475,517,38770.0,271630.0,0.6497948016415869,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-74afe68c-f348-414c-9754-6d6f9df12587,TeamA,731,475,541,40865.0,238360.0,0.6497948016415869,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-b58af410-da77-479e-b93c-e03617b9f36d,TeamA,731,476,503,35630.0,190450.0,0.6511627906976745,Absence of a session record is not confirmed rest and is not labelled missing
TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,TeamB,731,488,525,38430.0,234950.0,0.667578659370725,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,TeamA,731,501,574,41070.0,212170.0,0.6853625170998632,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,731,511,555,42870.0,262260.0,0.6990424076607387,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,731,541,611,42120.0,243300.0,0.7400820793433652,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,TeamA,731,544,623,45551.0,236010.0,0.7441860465116279,Absence of a session record is not confirmed rest and is not labelled missing
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,TeamA,731,557,645,47445.0,270975.0,0.761969904240766,Absence of a session record is not confirmed rest and is not labelled missing
