group,metric,calendar_cells,observed_cells,missing_cells,zero_cells,observed_rate,zero_given_observed_rate
training_load,acwr,36550,36550,0,15429,1.0,0.42213406292749656
training_load,atl,36550,36550,0,15429,1.0,0.42213406292749656
training_load,ctl28,36550,36550,0,12904,1.0,0.3530506155950752
training_load,ctl42,36550,36550,0,12067,1.0,0.33015047879616966
training_load,daily_load,36550,36550,0,22359,1.0,0.6117373461012312
training_load,monotony,36550,36550,0,15429,1.0,0.42213406292749656
training_load,strain,36550,36550,0,15429,1.0,0.42213406292749656
training_load,weekly_load,36550,36550,0,15429,1.0,0.42213406292749656
wellness,fatigue,36550,16992,19558,0,0.46489740082079345,0.0
wellness,mood,36550,16999,19551,0,0.4650889192886457,0.0
wellness,readiness,36550,16997,19553,0,0.4650341997264022,0.0
wellness,sleep_duration,36550,16981,19569,0,0.46459644322845417,0.0
wellness,sleep_quality,36550,16994,19556,0,0.46495212038303696,0.0
wellness,soreness,36550,16999,19551,0,0.4650889192886457,0.0
wellness,stress,36550,16997,19553,0,0.4650341997264022,0.0
