metric,history_band,player_days,current_observed_count,zscore_observed_count,zscore_available_rate,zscore_available_given_current_rate,median_abs_zscore,p95_abs_zscore,maximum_abs_zscore
daily_load,0-1,100,100,0,0.0,0.0,,,
daily_load,2-6,250,250,0,0.0,0.0,,,
daily_load,7-27,1050,1050,136,0.1295238095238095,0.1295238095238095,0.5763141213053953,2.679406015695038,12.576728299025978
daily_load,28-89,3100,3100,1016,0.327741935483871,0.327741935483871,0.573672027605496,4.633974015875845,47.43259197271429
daily_load,90+,32050,32050,26446,0.8251482059282371,0.8251482059282371,0.6823132393966749,2.694011846538431,80.57579535720096
fatigue,0-1,9860,100,0,0.0,0.0,,,
fatigue,2-6,479,250,184,0.38413361169102295,0.736,0.9165053623092747,2.886751345948129,4.041451884327381
fatigue,7-27,2083,1045,1025,0.4920787325972156,0.9808612440191388,0.6123724356957932,2.1737489749721983,4.582575694955886
fatigue,28-89,5105,2919,2919,0.57179236043095,1.0,0.44951290934755495,2.020016502220461,8.004165582161972
fatigue,90+,19023,12678,12678,0.6664563948903959,1.0,0.4685411273329724,2.0663769489649035,12.8626031553015
readiness,0-1,9861,100,0,0.0,0.0,,,
readiness,2-6,486,250,211,0.43415637860082307,0.844,1.0,3.5566213349662297,7.778174593051663
readiness,7-27,2081,1045,1045,0.502162421912542,1.0,0.7453559924999305,2.3620384342555525,7.487767802667673
readiness,28-89,5098,2919,2919,0.5725774813652412,1.0,0.6154574548966648,1.9738292767318215,6.668859288553502
readiness,90+,19024,12683,12683,0.6666841883936081,1.0,0.5941668795766794,2.0024691872403126,21.002252781944907
