feature,family,eligibility,player_days,observed_count,missing_count,missing_rate,zero_count,zero_rate,minimum,p01,p05,p25,median,p75,p95,p99,maximum,mean,standard_deviation,skewness
daily_load,load,primary_candidate,36550,36550,0,0.0,22359,0.6117373461012312,0.0,0.0,0.0,0.0,0.0,360.0,810.0,1080.0,3420.0,194.46196990424076,298.06298715698625,1.5268119730570842
fatigue,wellness,descriptive_only_same_day,36550,16992,19558,0.5351025991792066,0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0291313559322033,0.6223143796161785,0.07264041603069744
readiness,wellness,descriptive_only_same_day,36550,16997,19553,0.5349658002735979,0,0.0,1.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0,10.0,6.798552685768077,1.4624447828751523,-0.6920557655772608
wellness_metric_count,wellness,descriptive_only_same_day,36550,36550,0,0.0,19542,0.5346648426812586,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,3.25469220246238,3.4894724231203753,0.139835611505605
session_count,session,primary_candidate,36550,36550,0,0.0,22353,0.6115731874145007,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,0.44500683994528045,0.6054690045010492,1.1246787013817467
session_duration_minutes,session,primary_candidate,36550,36550,0,0.0,22355,0.6116279069767442,0.0,0.0,0.0,0.0,0.0,70.0,120.0,170.0,380.0,32.75734610123119,46.11341306647609,1.1935874639671362
session_srpe,session,primary_candidate,36550,36550,0,0.0,22359,0.6117373461012312,0.0,0.0,0.0,0.0,0.0,360.0,810.0,1080.0,2430.0,192.9749658002736,295.204894973379,1.4997945675397761
daily_load_sum_3d,rolling,primary_candidate,36550,36550,0,0.0,17076,0.4671956224350205,0.0,0.0,0.0,0.0,350.0,1090.0,1830.0,2360.0,4230.0,582.9612859097127,670.3238423561988,0.8473194487339348
daily_load_sum_7d,rolling,primary_candidate,36550,36550,0,0.0,15416,0.4217783857729138,0.0,0.0,0.0,0.0,1140.0,2540.0,3740.0,4500.0,6760.0,1357.8424076607387,1395.9527972321841,0.4901450870786401
daily_load_sum_14d,rolling,primary_candidate,36550,36550,0,0.0,14184,0.38807113543091654,0.0,0.0,0.0,0.0,2540.0,4990.0,7110.0,8500.0,10500.0,2707.554172366621,2657.338304142028,0.3917745043902294
