feature,player_id,team_id,prediction_date,observed_value,tail,outer_fence,iqr_distance,disposition
daily_load,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,2021-07-20,3420.0,high,1440.0,5.5,REVIEW_ONLY
daily_load,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2021-06-03,2430.0,high,1440.0,2.75,REVIEW_ONLY
daily_load,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,TeamA,2020-04-22,2220.0,high,1440.0,2.166666666666667,REVIEW_ONLY
daily_load,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-08-09,2080.0,high,1440.0,1.777777777777778,REVIEW_ONLY
daily_load,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,2021-05-12,2070.0,high,1440.0,1.75,REVIEW_ONLY
daily_load,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-07-02,1920.0,high,1440.0,1.3333333333333335,REVIEW_ONLY
daily_load,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,2020-03-09,1920.0,high,1440.0,1.3333333333333335,REVIEW_ONLY
daily_load,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2021-06-16,1890.0,high,1440.0,1.25,REVIEW_ONLY
daily_load,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,2021-02-11,1800.0,high,1440.0,1.0,REVIEW_ONLY
daily_load,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,2021-08-21,1790.0,high,1440.0,0.9722222222222222,REVIEW_ONLY
daily_load,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,TeamB,2021-08-11,1780.0,high,1440.0,0.9444444444444445,REVIEW_ONLY
daily_load,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,TeamA,2021-09-29,1750.0,high,1440.0,0.8611111111111112,REVIEW_ONLY
daily_load,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,2021-05-26,1740.0,high,1440.0,0.8333333333333334,REVIEW_ONLY
daily_load,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2021-09-22,1740.0,high,1440.0,0.8333333333333334,REVIEW_ONLY
daily_load,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2020-02-23,1710.0,high,1440.0,0.75,REVIEW_ONLY
daily_load,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,2021-10-13,1710.0,high,1440.0,0.75,REVIEW_ONLY
daily_load,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,TeamB,2021-09-02,1650.0,high,1440.0,0.5833333333333334,REVIEW_ONLY
daily_load,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,TeamA,2020-05-15,1640.0,high,1440.0,0.5555555555555556,REVIEW_ONLY
daily_load,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,2020-02-11,1640.0,high,1440.0,0.5555555555555556,REVIEW_ONLY
daily_load,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,TeamA,2021-11-03,1630.0,high,1440.0,0.5277777777777778,REVIEW_ONLY
session_count,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2021-06-03,6.0,high,4.0,2.0,REVIEW_ONLY
session_count,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-07-02,5.0,high,4.0,1.0,REVIEW_ONLY
session_count,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-08-09,5.0,high,4.0,1.0,REVIEW_ONLY
session_duration_minutes,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-07-02,380.0,high,280.0,1.4285714285714286,REVIEW_ONLY
session_duration_minutes,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-08-09,370.0,high,280.0,1.2857142857142856,REVIEW_ONLY
session_duration_minutes,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2021-06-03,360.0,high,280.0,1.1428571428571428,REVIEW_ONLY
session_duration_minutes,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2020-02-23,360.0,high,280.0,1.1428571428571428,REVIEW_ONLY
session_duration_minutes,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2020-03-22,360.0,high,280.0,1.1428571428571428,REVIEW_ONLY
session_duration_minutes,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,TeamA,2021-05-22,350.0,high,280.0,1.0,REVIEW_ONLY
session_duration_minutes,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,TeamA,2020-04-22,300.0,high,280.0,0.2857142857142857,REVIEW_ONLY
session_srpe,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2021-06-03,2430.0,high,1440.0,2.75,REVIEW_ONLY
session_srpe,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,TeamA,2020-04-22,2220.0,high,1440.0,2.166666666666667,REVIEW_ONLY
session_srpe,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-08-09,2080.0,high,1440.0,1.777777777777778,REVIEW_ONLY
session_srpe,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,2021-05-12,2070.0,high,1440.0,1.75,REVIEW_ONLY
session_srpe,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,2021-07-02,1920.0,high,1440.0,1.3333333333333335,REVIEW_ONLY
session_srpe,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,2020-03-09,1920.0,high,1440.0,1.3333333333333335,REVIEW_ONLY
session_srpe,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2021-06-16,1890.0,high,1440.0,1.25,REVIEW_ONLY
session_srpe,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,2021-02-11,1800.0,high,1440.0,1.0,REVIEW_ONLY
session_srpe,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,2021-08-21,1790.0,high,1440.0,0.9722222222222222,REVIEW_ONLY
session_srpe,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,TeamB,2021-08-11,1780.0,high,1440.0,0.9444444444444445,REVIEW_ONLY
session_srpe,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,TeamA,2021-09-29,1750.0,high,1440.0,0.8611111111111112,REVIEW_ONLY
session_srpe,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,2021-05-26,1740.0,high,1440.0,0.8333333333333334,REVIEW_ONLY
session_srpe,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2021-09-22,1740.0,high,1440.0,0.8333333333333334,REVIEW_ONLY
session_srpe,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,2020-02-23,1710.0,high,1440.0,0.75,REVIEW_ONLY
session_srpe,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,2021-10-13,1710.0,high,1440.0,0.75,REVIEW_ONLY
session_srpe,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,TeamB,2021-09-02,1650.0,high,1440.0,0.5833333333333334,REVIEW_ONLY
session_srpe,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,TeamA,2020-05-15,1640.0,high,1440.0,0.5555555555555556,REVIEW_ONLY
session_srpe,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,2020-02-11,1640.0,high,1440.0,0.5555555555555556,REVIEW_ONLY
session_srpe,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,TeamA,2021-11-03,1630.0,high,1440.0,0.5277777777777778,REVIEW_ONLY
session_srpe,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,2021-12-25,1630.0,high,1440.0,0.5277777777777778,REVIEW_ONLY
fatigue_mean_7d,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-03-20,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-03-21,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-03-22,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-03-23,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,2021-11-20,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,2021-01-11,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,2021-01-12,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2020-12-07,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2020-12-08,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2020-12-09,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-02-23,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-02-24,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-09-26,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-09-27,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-09-28,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-09-29,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-09-30,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-10-01,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-10-02,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_7d,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,2020-01-23,1.0,low,1.4499999999999993,0.9999999999999981,REVIEW_ONLY
fatigue_mean_14d,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-03-20,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-03-21,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-03-22,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,2020-03-23,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,2021-11-27,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,2021-01-11,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,2021-01-12,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2020-12-14,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2020-12-15,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,2020-12-16,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-09-30,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
fatigue_mean_14d,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,2021-10-01,1.0,low,1.3928571428571423,0.8461538461538448,REVIEW_ONLY
