feature,lower_outer_fence,upper_outer_fence,extreme_count,extreme_rate,registered_count,register_cap_per_feature
daily_load,-1080.0,1440.0,45,0.0012311901504787962,20,20
session_count,-3.0,4.0,3,0.00008207934336525307,3,20
session_duration_minutes,-210.0,280.0,7,0.00019151846785225718,7,20
session_srpe,-1080.0,1440.0,44,0.001203830369357045,20,20
fatigue_mean_7d,1.4499999999999993,4.6000000000000005,76,0.0020793433652530778,20,20
fatigue_mean_14d,1.3928571428571423,4.642857142857143,52,0.0014227086183310534,20,20
fatigue_mean_28d,1.416666666666666,4.625,32,0.0008755129958960328,20,20
readiness_mean_7d,1.2857142857142865,12.285714285714285,40,0.001094391244870041,20,20
readiness_mean_14d,1.6969696969696972,11.949494949494948,47,0.0012859097127222983,20,20
readiness_mean_28d,1.8615384615384603,11.787179487179488,51,0.0013953488372093023,20,20
daily_load_zscore_prior,-5.088343054463919,5.323052946584156,340,0.009302325581395349,20,20
fatigue_baseline_mean_prior,1.5609169059808412,4.542871233317901,25,0.0006839945280437756,20,20
fatigue_zscore_prior,-3.7162225502048556,3.5944352493012013,103,0.0028180574555403556,20,20
readiness_zscore_prior,-4.079159826610679,4.216752926004831,114,0.003119015047879617,20,20
