root,operation,window_days,feature,observed_count,missing_rate,p50,p95,p99,maximum
daily_load,sum,3,daily_load_sum_3d,36550,0.0,350.0,1830.0,2360.0,4230.0
daily_load,sum,7,daily_load_sum_7d,36550,0.0,1140.0,3740.0,4500.0,6760.0
daily_load,sum,14,daily_load_sum_14d,36550,0.0,2540.0,7110.0,8500.0,10500.0
daily_load,sum,28,daily_load_sum_28d,36550,0.0,5140.0,13680.0,16300.0,19980.0
session_duration,sum,3,session_duration_sum_3d,36550,0.0,60.0,300.0,370.0,710.0
session_duration,sum,7,session_duration_sum_7d,36550,0.0,200.0,600.0,730.0,980.0
session_duration,sum,14,session_duration_sum_14d,36550,0.0,430.0,1170.0,1360.0,1770.0
session_duration,sum,28,session_duration_sum_28d,36550,0.0,870.0,2250.0,2600.0,3350.0
session_srpe,sum,3,session_srpe_sum_3d,36550,0.0,350.0,1800.0,2310.0,4230.0
session_srpe,sum,7,session_srpe_sum_7d,36550,0.0,1140.0,3690.0,4440.0,6760.0
session_srpe,sum,14,session_srpe_sum_14d,36550,0.0,2540.0,6990.0,8375.10000000002,10500.0
session_srpe,sum,28,session_srpe_sum_28d,36550,0.0,5130.0,13390.0,16080.0,19980.0
fatigue,mean,3,fatigue_mean_3d,20188,0.4476607387140903,3.0,4.0,4.333333333333333,5.0
fatigue,mean,7,fatigue_mean_7d,21477,0.4123939808481532,3.0,4.0,4.142857142857143,5.0
fatigue,mean,14,fatigue_mean_14d,22572,0.38243502051983586,3.0,3.8181818181818183,4.0,5.0
fatigue,mean,28,fatigue_mean_28d,23819,0.3483173734610123,3.0,3.772727272727273,4.0,5.0
readiness,mean,3,readiness_mean_3d,20190,0.4476060191518468,7.0,8.666666666666666,9.333333333333334,10.0
readiness,mean,7,readiness_mean_7d,21480,0.41231190150478797,7.0,8.5,9.142857142857142,10.0
readiness,mean,14,readiness_mean_14d,22579,0.3822435020519836,6.909090909090909,8.46538461538456,9.0,10.0
readiness,mean,28,readiness_mean_28d,23815,0.3484268125854993,6.875,8.392857142857142,9.0,10.0
