feature_left,feature_right,pairwise_count,pearson,spearman,abs_spearman
daily_load,daily_load,36550,1.0,1.0,1.0
daily_load,fatigue,16992,0.06525199641852589,0.07057985114100156,0.07057985114100156
fatigue,daily_load,16992,0.06525199641852589,0.07057985114100156,0.07057985114100156
daily_load,readiness,16997,0.1695099373689785,0.16639322550238983,0.16639322550238983
readiness,daily_load,16997,0.1695099373689785,0.16639322550238983,0.16639322550238983
daily_load,wellness_metric_count,36550,0.5420035176157767,0.635031298397117,0.635031298397117
wellness_metric_count,daily_load,36550,0.5420035176157767,0.635031298397117,0.635031298397117
daily_load,session_count,36550,0.853415589027856,0.9654114924366508,0.9654114924366508
session_count,daily_load,36550,0.853415589027856,0.9654114924366508,0.9654114924366508
daily_load,session_duration_minutes,36550,0.9409100857732352,0.9869385719660752,0.9869385719660752
session_duration_minutes,daily_load,36550,0.9409100857732352,0.9869385719660752,0.9869385719660752
daily_load,session_srpe,36550,0.9945868657421163,0.9991975283233818,0.9991975283233818
session_srpe,daily_load,36550,0.9945868657421163,0.9991975283233818,0.9991975283233818
daily_load,daily_load_sum_3d,36550,0.7484071055651451,0.7867838348337707,0.7867838348337707
daily_load_sum_3d,daily_load,36550,0.7484071055651451,0.7867838348337707,0.7867838348337707
daily_load,daily_load_sum_7d,36550,0.6698468910445873,0.7303870429504513,0.7303870429504513
daily_load_sum_7d,daily_load,36550,0.6698468910445873,0.7303870429504513,0.7303870429504513
daily_load,daily_load_sum_14d,36550,0.6253405467481813,0.6940573864735896,0.6940573864735896
daily_load_sum_14d,daily_load,36550,0.6253405467481813,0.6940573864735896,0.6940573864735896
daily_load,daily_load_sum_28d,36550,0.5853728720511225,0.6597543355570147,0.6597543355570147
daily_load_sum_28d,daily_load,36550,0.5853728720511225,0.6597543355570147,0.6597543355570147
daily_load,session_duration_sum_3d,36550,0.7252145278109454,0.793738346085941,0.793738346085941
session_duration_sum_3d,daily_load,36550,0.7252145278109454,0.793738346085941,0.793738346085941
daily_load,session_duration_sum_7d,36550,0.6501931768574781,0.7328278177667831,0.7328278177667831
session_duration_sum_7d,daily_load,36550,0.6501931768574781,0.7328278177667831,0.7328278177667831
daily_load,session_duration_sum_14d,36550,0.6096564710447813,0.6959784953005573,0.6959784953005573
session_duration_sum_14d,daily_load,36550,0.6096564710447813,0.6959784953005573,0.6959784953005573
daily_load,session_duration_sum_28d,36550,0.5728104275703583,0.6615717698571542,0.6615717698571542
session_duration_sum_28d,daily_load,36550,0.5728104275703583,0.6615717698571542,0.6615717698571542
daily_load,session_srpe_sum_3d,36550,0.7457509421642683,0.7863415090878613,0.7863415090878613
session_srpe_sum_3d,daily_load,36550,0.7457509421642683,0.7863415090878613,0.7863415090878613
daily_load,session_srpe_sum_7d,36550,0.6683577135612155,0.730286413440559,0.730286413440559
session_srpe_sum_7d,daily_load,36550,0.6683577135612155,0.730286413440559,0.730286413440559
daily_load,session_srpe_sum_14d,36550,0.624189445073387,0.6940840404541635,0.6940840404541635
session_srpe_sum_14d,daily_load,36550,0.624189445073387,0.6940840404541635,0.6940840404541635
daily_load,session_srpe_sum_28d,36550,0.584539412801102,0.6599635261329918,0.6599635261329918
session_srpe_sum_28d,daily_load,36550,0.584539412801102,0.6599635261329918,0.6599635261329918
daily_load,fatigue_mean_3d,20188,0.04004714830806799,0.04179599930527998,0.04179599930527998
fatigue_mean_3d,daily_load,20188,0.04004714830806799,0.04179599930527998,0.04179599930527998
daily_load,fatigue_mean_7d,21477,0.027141228786129963,0.03151034697040033,0.03151034697040033
fatigue_mean_7d,daily_load,21477,0.027141228786129963,0.03151034697040033,0.03151034697040033
daily_load,fatigue_mean_14d,22572,0.02500230040765962,0.029055492971220894,0.029055492971220894
fatigue_mean_14d,daily_load,22572,0.02500230040765962,0.029055492971220894,0.029055492971220894
