cluster_id,feature,family,representation,cluster_threshold_abs_spearman
CLU-01,daily_load,load,raw,0.9
CLU-01,daily_load_log1p,load,log1p,0.9
CLU-01,session_count,session,raw,0.9
CLU-01,session_duration_minutes,session,raw,0.9
CLU-01,session_duration_minutes_log1p,session,log1p,0.9
CLU-01,session_recorded,recording_state,binary_indicator,0.9
CLU-01,session_srpe,session,raw,0.9
CLU-01,session_srpe_log1p,session,log1p,0.9
CLU-02,daily_load_baseline_mean_prior,prior_baseline,raw,0.9
CLU-03,daily_load_sum_14d,rolling_load,raw,0.9
CLU-03,daily_load_sum_14d_log1p,rolling_load,log1p,0.9
CLU-03,daily_load_sum_28d,rolling_load,raw,0.9
CLU-03,daily_load_sum_28d_log1p,rolling_load,log1p,0.9
CLU-03,daily_load_sum_3d,rolling_load,raw,0.9
CLU-03,daily_load_sum_3d_log1p,rolling_load,log1p,0.9
CLU-03,daily_load_sum_7d,rolling_load,raw,0.9
CLU-03,daily_load_sum_7d_log1p,rolling_load,log1p,0.9
CLU-03,session_duration_sum_14d,rolling_load,raw,0.9
CLU-03,session_duration_sum_14d_log1p,rolling_load,log1p,0.9
CLU-03,session_duration_sum_28d,rolling_load,raw,0.9
CLU-03,session_duration_sum_28d_log1p,rolling_load,log1p,0.9
CLU-03,session_duration_sum_3d,rolling_load,raw,0.9
CLU-03,session_duration_sum_3d_log1p,rolling_load,log1p,0.9
CLU-03,session_duration_sum_7d,rolling_load,raw,0.9
CLU-03,session_duration_sum_7d_log1p,rolling_load,log1p,0.9
CLU-03,session_srpe_sum_14d,rolling_load,raw,0.9
CLU-03,session_srpe_sum_14d_log1p,rolling_load,log1p,0.9
CLU-03,session_srpe_sum_28d,rolling_load,raw,0.9
CLU-03,session_srpe_sum_28d_log1p,rolling_load,log1p,0.9
CLU-03,session_srpe_sum_3d,rolling_load,raw,0.9
CLU-03,session_srpe_sum_3d_log1p,rolling_load,log1p,0.9
CLU-03,session_srpe_sum_7d,rolling_load,raw,0.9
CLU-03,session_srpe_sum_7d_log1p,rolling_load,log1p,0.9
CLU-04,fatigue_baseline_mean_prior,prior_baseline,raw,0.9
CLU-05,readiness_baseline_mean_prior,prior_baseline,raw,0.9
