feature,source_feature,family,representation,timing,reason
daily_load,daily_load,load,raw,end_of_day,Target-blind candidate retained for structural review
session_count,session_count,session,raw,end_of_day,Target-blind candidate retained for structural review
session_duration_minutes,session_duration_minutes,session,raw,end_of_day,Target-blind candidate retained for structural review
session_srpe,session_srpe,session,raw,end_of_day,Target-blind candidate retained for structural review
daily_load_sum_3d,daily_load_sum_3d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
daily_load_sum_7d,daily_load_sum_7d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
daily_load_sum_14d,daily_load_sum_14d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
daily_load_sum_28d,daily_load_sum_28d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
session_duration_sum_3d,session_duration_sum_3d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
session_duration_sum_7d,session_duration_sum_7d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
session_duration_sum_14d,session_duration_sum_14d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
session_duration_sum_28d,session_duration_sum_28d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
session_srpe_sum_3d,session_srpe_sum_3d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
session_srpe_sum_7d,session_srpe_sum_7d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
session_srpe_sum_14d,session_srpe_sum_14d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
session_srpe_sum_28d,session_srpe_sum_28d,rolling_load,raw,end_of_day,Target-blind candidate retained for structural review
daily_load_baseline_mean_prior,daily_load_baseline_mean_prior,prior_baseline,raw,prior_only,Target-blind candidate retained for structural review
fatigue_baseline_mean_prior,fatigue_baseline_mean_prior,prior_baseline,raw,prior_only,Target-blind candidate retained for structural review
readiness_baseline_mean_prior,readiness_baseline_mean_prior,prior_baseline,raw,prior_only,Target-blind candidate retained for structural review
session_recorded,session_count,recording_state,binary_indicator,end_of_day,Separates recording state from exposure magnitude under DEC-032
daily_load_log1p,daily_load,load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_duration_minutes_log1p,session_duration_minutes,session,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_srpe_log1p,session_srpe,session,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
daily_load_sum_3d_log1p,daily_load_sum_3d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
daily_load_sum_7d_log1p,daily_load_sum_7d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
daily_load_sum_14d_log1p,daily_load_sum_14d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
daily_load_sum_28d_log1p,daily_load_sum_28d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_duration_sum_3d_log1p,session_duration_sum_3d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_duration_sum_7d_log1p,session_duration_sum_7d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_duration_sum_14d_log1p,session_duration_sum_14d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_duration_sum_28d_log1p,session_duration_sum_28d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_srpe_sum_3d_log1p,session_srpe_sum_3d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_srpe_sum_7d_log1p,session_srpe_sum_7d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_srpe_sum_14d_log1p,session_srpe_sum_14d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
session_srpe_sum_28d_log1p,session_srpe_sum_28d,rolling_load,log1p,end_of_day,Skew-resistant magnitude candidate accepted under DEC-032
