feature_left,feature_right,pairwise_count,pearson,spearman,abs_spearman
daily_load,daily_load_log1p,36550,0.8825588128038709,1.0,1.0
session_duration_minutes,session_duration_minutes_log1p,36550,0.9355990917985354,1.0,1.0
session_srpe,session_srpe_log1p,36550,0.8838133333907277,1.0,1.0
daily_load_sum_3d,daily_load_sum_3d_log1p,36550,0.8753958319688995,1.0,1.0
daily_load_sum_7d,daily_load_sum_7d_log1p,36550,0.8865650952070557,1.0,1.0
daily_load_sum_14d,daily_load_sum_14d_log1p,36550,0.8744057187573206,1.0,1.0
daily_load_sum_28d,daily_load_sum_28d_log1p,36550,0.854499413202254,1.0,1.0
session_duration_sum_3d,session_duration_sum_3d_log1p,36550,0.9060214456898482,1.0,1.0
session_duration_sum_7d,session_duration_sum_7d_log1p,36550,0.909487942134837,1.0,1.0
session_duration_sum_14d,session_duration_sum_14d_log1p,36550,0.8960116558853618,1.0,1.0
session_duration_sum_28d,session_duration_sum_28d_log1p,36550,0.8757685337622371,1.0,1.0
session_srpe_sum_3d,session_srpe_sum_3d_log1p,36550,0.8773141105129519,1.0,1.0
session_srpe_sum_7d,session_srpe_sum_7d_log1p,36550,0.888366098532516,1.0,1.0
session_srpe_sum_14d,session_srpe_sum_14d_log1p,36550,0.8765959718006714,1.0,1.0
session_srpe_sum_28d,session_srpe_sum_28d_log1p,36550,0.8569277907070625,1.0,1.0
daily_load,session_srpe,36550,0.9945868657421163,0.9991975283233818,0.9991975283233818
daily_load,session_srpe_log1p,36550,0.8813864959830099,0.9991975283233818,0.9991975283233818
daily_load_log1p,session_srpe,36550,0.8833421293101105,0.9991975283233818,0.9991975283233818
daily_load_log1p,session_srpe_log1p,36550,0.9998588679409149,0.9991975283233818,0.9991975283233818
daily_load_sum_28d,session_srpe_sum_28d,36550,0.9981616852182337,0.9991174430726256,0.9991174430726256
daily_load_sum_28d,session_srpe_sum_28d_log1p,36550,0.8538884950722595,0.9991174430726256,0.9991174430726256
daily_load_sum_28d_log1p,session_srpe_sum_28d,36550,0.8571844499108031,0.9991174430726256,0.9991174430726256
daily_load_sum_28d_log1p,session_srpe_sum_28d_log1p,36550,0.9999803843711157,0.9991174430726256,0.9991174430726256
wellness_metric_count,wellness_report_present,36550,0.9997882624877303,0.9990886318307903,0.9990886318307903
daily_load_sum_3d,session_srpe_sum_3d,36550,0.9963992428173656,0.9989908417796168,0.9989908417796168
daily_load_sum_3d,session_srpe_sum_3d_log1p,36550,0.8745209137949148,0.9989908417796168,0.9989908417796168
daily_load_sum_3d_log1p,session_srpe_sum_3d,36550,0.8772797419878238,0.9989908417796168,0.9989908417796168
daily_load_sum_3d_log1p,session_srpe_sum_3d_log1p,36550,0.9999332051597197,0.9989908417796168,0.9989908417796168
daily_load_sum_14d,session_srpe_sum_14d,36550,0.9979586003735438,0.9989454281669905,0.9989454281669905
daily_load_sum_14d,session_srpe_sum_14d_log1p,36550,0.8737867062310971,0.9989454281669905,0.9989454281669905
daily_load_sum_14d_log1p,session_srpe_sum_14d_log1p,36550,0.9999738861701137,0.9989454281669905,0.9989454281669905
daily_load_sum_14d_log1p,session_srpe_sum_14d,36550,0.876783583858067,0.9989454281669904,0.9989454281669904
daily_load_sum_7d,session_srpe_sum_7d,36550,0.997577310716219,0.9987490484183964,0.9987490484183964
daily_load_sum_7d,session_srpe_sum_7d_log1p,36550,0.8859185513003264,0.9987490484183964,0.9987490484183964
daily_load_sum_7d_log1p,session_srpe_sum_7d,36550,0.8884385105724496,0.9987490484183964,0.9987490484183964
daily_load_sum_7d_log1p,session_srpe_sum_7d_log1p,36550,0.9999603732210646,0.9987490484183964,0.9987490484183964
session_duration_minutes_log1p,session_srpe,36550,0.868607079858869,0.987993378528531,0.987993378528531
session_duration_minutes,session_srpe,36550,0.9464210191540368,0.9879933785285309,0.9879933785285309
session_duration_minutes,session_srpe_log1p,36550,0.930118379796919,0.9879933785285309,0.9879933785285309
session_duration_minutes_log1p,session_srpe_log1p,36550,0.9969999457001837,0.9879933785285309,0.9879933785285309
daily_load,session_duration_minutes,36550,0.9409100857732352,0.9869385719660752,0.9869385719660752
daily_load,session_duration_minutes_log1p,36550,0.8659251327101212,0.9869385719660752,0.9869385719660752
