feature_left,feature_right,pairwise_count,pearson,spearman,exact_equal,expected_transform_pair,classification,disposition
daily_load,session_srpe,36550,0.9945868657421163,0.9991975283233818,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load,daily_load_log1p,36550,0.8825588128038709,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load,session_srpe_log1p,36550,0.8813864959830099,0.9991975283233818,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
wellness_metric_count,wellness_report_present,36550,0.9997882624877303,0.9990886318307903,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_duration_minutes,session_duration_minutes_log1p,36550,0.9355990917985354,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_log1p,session_srpe,36550,0.8833421293101105,0.9991975283233818,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_srpe,session_srpe_log1p,36550,0.8838133333907277,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_3d,session_srpe_sum_3d,36550,0.9963992428173656,0.9989908417796168,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_3d,daily_load_sum_3d_log1p,36550,0.8753958319688995,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_3d,session_srpe_sum_3d_log1p,36550,0.8745209137949148,0.9989908417796168,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_7d,session_srpe_sum_7d,36550,0.997577310716219,0.9987490484183964,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_7d,daily_load_sum_7d_log1p,36550,0.8865650952070557,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_7d,session_srpe_sum_7d_log1p,36550,0.8859185513003264,0.9987490484183964,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_14d,session_srpe_sum_14d,36550,0.9979586003735438,0.9989454281669905,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_14d,daily_load_sum_14d_log1p,36550,0.8744057187573206,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_14d,session_srpe_sum_14d_log1p,36550,0.8737867062310971,0.9989454281669905,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_28d,session_srpe_sum_28d,36550,0.9981616852182337,0.9991174430726256,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
