feature_left,feature_right,pairwise_count,within_player_pearson
daily_load,daily_load,36550,1.0
daily_load,daily_load,36550,1.0
daily_load,session_count,36550,0.8325558367636028
session_count,daily_load,36550,0.8325558367636028
daily_load,session_duration_minutes,36550,0.9348120797229265
session_duration_minutes,daily_load,36550,0.9348120797229265
daily_load,session_srpe,36550,0.9939475360959039
session_srpe,daily_load,36550,0.9939475360959039
daily_load,daily_load_sum_3d,36550,0.6965831103215179
daily_load_sum_3d,daily_load,36550,0.6965831103215179
daily_load,daily_load_sum_7d,36550,0.5956904039815969
daily_load_sum_7d,daily_load,36550,0.5956904039815969
daily_load,daily_load_sum_14d,36550,0.5362051416180234
daily_load_sum_14d,daily_load,36550,0.5362051416180234
daily_load,daily_load_sum_28d,36550,0.48103391870418405
daily_load_sum_28d,daily_load,36550,0.48103391870418405
daily_load,session_duration_sum_3d,36550,0.673060989554139
session_duration_sum_3d,daily_load,36550,0.673060989554139
daily_load,session_duration_sum_7d,36550,0.5762523435515131
session_duration_sum_7d,daily_load,36550,0.5762523435515131
daily_load,session_duration_sum_14d,36550,0.5217481234946865
session_duration_sum_14d,daily_load,36550,0.5217481234946865
daily_load,session_duration_sum_28d,36550,0.4704625842666514
session_duration_sum_28d,daily_load,36550,0.4704625842666514
daily_load,session_srpe_sum_3d,36550,0.69364338208285
session_srpe_sum_3d,daily_load,36550,0.69364338208285
daily_load,session_srpe_sum_7d,36550,0.5941728046256625
session_srpe_sum_7d,daily_load,36550,0.5941728046256625
daily_load,session_srpe_sum_14d,36550,0.5351838539133724
session_srpe_sum_14d,daily_load,36550,0.5351838539133724
daily_load,session_srpe_sum_28d,36550,0.48050710277445646
session_srpe_sum_28d,daily_load,36550,0.48050710277445646
daily_load,daily_load_baseline_mean_prior,36500,0.22257470408714985
daily_load_baseline_mean_prior,daily_load,36500,0.22257470408714985
daily_load,fatigue_baseline_mean_prior,27327,0.05092351362698793
fatigue_baseline_mean_prior,daily_load,27327,0.05092351362698793
daily_load,readiness_baseline_mean_prior,27323,0.057096635932598255
readiness_baseline_mean_prior,daily_load,27323,0.057096635932598255
daily_load,session_recorded,36550,0.7899813749800134
session_recorded,daily_load,36550,0.7899813749800134
daily_load,daily_load_log1p,36550,0.8653802298304902
daily_load_log1p,daily_load,36550,0.8653802298304902
daily_load,session_duration_minutes_log1p,36550,0.8468602691808247
session_duration_minutes_log1p,daily_load,36550,0.8468602691808247
daily_load,session_srpe_log1p,36550,0.8640756074896002
session_srpe_log1p,daily_load,36550,0.8640756074896002
daily_load,daily_load_sum_3d_log1p,36550,0.5847288780542431
daily_load_sum_3d_log1p,daily_load,36550,0.5847288780542431
daily_load,daily_load_sum_7d_log1p,36550,0.5054473556775794
daily_load_sum_7d_log1p,daily_load,36550,0.5054473556775794
daily_load,daily_load_sum_14d_log1p,36550,0.45760671956336496
daily_load_sum_14d_log1p,daily_load,36550,0.45760671956336496
daily_load,daily_load_sum_28d_log1p,36550,0.41162808539561313
daily_load_sum_28d_log1p,daily_load,36550,0.41162808539561313
daily_load,session_duration_sum_3d_log1p,36550,0.5879450309897373
session_duration_sum_3d_log1p,daily_load,36550,0.5879450309897373
daily_load,session_duration_sum_7d_log1p,36550,0.5094551592092481
session_duration_sum_7d_log1p,daily_load,36550,0.5094551592092481
daily_load,session_duration_sum_14d_log1p,36550,0.46266136493911514
session_duration_sum_14d_log1p,daily_load,36550,0.46266136493911514
daily_load,session_duration_sum_28d_log1p,36550,0.417149065117416
session_duration_sum_28d_log1p,daily_load,36550,0.417149065117416
daily_load,session_srpe_sum_3d_log1p,36550,0.5841537272272744
session_srpe_sum_3d_log1p,daily_load,36550,0.5841537272272744
daily_load,session_srpe_sum_7d_log1p,36550,0.5052267304402911
session_srpe_sum_7d_log1p,daily_load,36550,0.5052267304402911
daily_load,session_srpe_sum_14d_log1p,36550,0.45746996779692606
session_srpe_sum_14d_log1p,daily_load,36550,0.45746996779692606
daily_load,session_srpe_sum_28d_log1p,36550,0.41158149692212787
session_srpe_sum_28d_log1p,daily_load,36550,0.41158149692212787
session_count,session_count,36550,1.0
session_count,session_count,36550,1.0
session_count,session_duration_minutes,36550,0.9299937361473812
session_duration_minutes,session_count,36550,0.9299937361473812
session_count,session_srpe,36550,0.8362899149515789
session_srpe,session_count,36550,0.8362899149515789
session_count,daily_load_sum_3d,36550,0.6627569769233678
daily_load_sum_3d,session_count,36550,0.6627569769233678
session_count,daily_load_sum_7d,36550,0.6038639727116045
daily_load_sum_7d,session_count,36550,0.6038639727116045
session_count,daily_load_sum_14d,36550,0.5636065891222034
daily_load_sum_14d,session_count,36550,0.5636065891222034
session_count,daily_load_sum_28d,36550,0.5160067605656695
daily_load_sum_28d,session_count,36550,0.5160067605656695
session_count,session_duration_sum_3d,36550,0.7145098699749912
session_duration_sum_3d,session_count,36550,0.7145098699749912
session_count,session_duration_sum_7d,36550,0.6327982406056738
session_duration_sum_7d,session_count,36550,0.6327982406056738
session_count,session_duration_sum_14d,36550,0.5843109280791529
session_duration_sum_14d,session_count,36550,0.5843109280791529
session_count,session_duration_sum_28d,36550,0.5320963582140814
session_duration_sum_28d,session_count,36550,0.5320963582140814
session_count,session_srpe_sum_3d,36550,0.665671787763692
session_srpe_sum_3d,session_count,36550,0.665671787763692
session_count,session_srpe_sum_7d,36550,0.606132690450769
session_srpe_sum_7d,session_count,36550,0.606132690450769
session_count,session_srpe_sum_14d,36550,0.5660263519533605
session_srpe_sum_14d,session_count,36550,0.5660263519533605
session_count,session_srpe_sum_28d,36550,0.5184962826705639
session_srpe_sum_28d,session_count,36550,0.5184962826705639
session_count,daily_load_baseline_mean_prior,36500,0.2513296236263008
daily_load_baseline_mean_prior,session_count,36500,0.2513296236263008
session_count,fatigue_baseline_mean_prior,27327,0.052446185034163734
fatigue_baseline_mean_prior,session_count,27327,0.052446185034163734
session_count,readiness_baseline_mean_prior,27323,0.0594733950032725
readiness_baseline_mean_prior,session_count,27323,0.0594733950032725
