reference_type,feature,window_days,matched_event_count,player_count,event_weighted_mean_difference,median_difference,player_equal_mean_difference,cluster_ci_low,cluster_ci_high
calendar_reference,daily_load_log1p,3,68,13,-0.09115431429193209,0.0,-0.8811083375764736,-2.5028133467118225,0.4499655246421449
calendar_reference,daily_load_log1p,7,68,13,-0.1984168180483392,-0.007045239947304882,-0.6025680655722012,-1.56658723048752,0.15572263439380135
calendar_reference,daily_load_log1p,14,68,13,-0.2486074473317863,-0.3919333963329805,-0.8800709407310118,-1.92529962014639,-0.02099493671606023
calendar_reference,daily_load_log1p,28,68,13,-0.6363464025369563,-0.5541148808578616,-1.1130115180498836,-2.304147653648687,-0.17520337093054153
reporting_reference,daily_load_log1p,3,68,13,0.3292549409778317,0.011349666074198073,0.48535096434940816,-0.21684879716831093,1.3101194324407894
reporting_reference,daily_load_log1p,7,68,13,-0.008003862134618038,0.0,-0.016424273539765496,-0.6073023058713662,0.5416273641436335
reporting_reference,daily_load_log1p,14,68,13,-0.08074124671790468,0.0,-0.25430922615140006,-0.6757344782890062,0.15798793562162003
reporting_reference,daily_load_log1p,28,68,13,-0.39378953113551457,-0.18220755293046012,-0.4982667411991805,-0.9671186821353068,-0.07877657817661528
calendar_reference,daily_load_sum_28d_log1p,3,68,13,-0.523747738384053,-0.262124150541986,-1.3977596998048114,-3.8131325745034856,0.3337593626648401
calendar_reference,daily_load_sum_28d_log1p,7,68,13,-0.6330904916230107,-0.2613591431925846,-1.4998072210394122,-3.8414863940660586,0.19545181764445294
calendar_reference,daily_load_sum_28d_log1p,14,68,13,-0.845394360724299,-0.24202539975876913,-1.6517595217766339,-4.00098269037166,0.05243266950799804
calendar_reference,daily_load_sum_28d_log1p,28,68,13,-1.2503431137227932,-0.28430996896461025,-1.7724256472120463,-4.273623023269294,0.03375639634936023
reporting_reference,daily_load_sum_28d_log1p,3,68,13,-0.1614083281695285,-0.13595017878319826,-0.17753134312173044,-0.541127243125892,0.18506165059762333
reporting_reference,daily_load_sum_28d_log1p,7,68,13,-0.26992422614396533,-0.16321896084911813,-0.2976383017711047,-0.625800008989559,-0.050349447900706217
reporting_reference,daily_load_sum_28d_log1p,14,68,13,-0.4696620494417735,-0.1683219821707409,-0.466104119964401,-0.9260173362828253,-0.15799923093034604
reporting_reference,daily_load_sum_28d_log1p,28,68,13,-0.8494522860239438,-0.18914720736961677,-0.7240705643733378,-1.4620270162962943,-0.10797059500276587
calendar_reference,daily_load_sum_7d_log1p,3,68,13,-0.45101007822826433,-0.06110993847942403,-1.1940260479959186,-3.110835522901749,0.25560008370619497
calendar_reference,daily_load_sum_7d_log1p,7,68,13,-0.4722182726815126,-0.09295447992829864,-1.2364231898039508,-3.0745142269907353,0.1593358372949974
calendar_reference,daily_load_sum_7d_log1p,14,68,13,-0.621170106322245,-0.13214269637027654,-1.376337756482557,-3.2579467553980948,0.09106187585606215
calendar_reference,daily_load_sum_7d_log1p,28,68,13,-1.0710604274022046,-0.2794821555296729,-1.6336758014124315,-3.685951935856156,-0.09558434646490885
reporting_reference,daily_load_sum_7d_log1p,3,68,13,-0.11625788558739598,0.0,-0.011433689455686872,-0.3626135241942245,0.4142845395618057
reporting_reference,daily_load_sum_7d_log1p,7,68,13,-0.1122352122266567,0.0,-0.095621413405376,-0.43524705054134477,0.3089006686388168
reporting_reference,daily_load_sum_7d_log1p,14,68,13,-0.312641945987752,-0.09363258901443183,-0.31438058179116635,-0.6164841013228184,-0.062491238696950245
reporting_reference,daily_load_sum_7d_log1p,28,68,13,-0.729452204408116,-0.2210625540800466,-0.6803412663681703,-1.1681056301215191,-0.27457743985521343
calendar_reference,fatigue,3,48,10,0.21875,0.3333333333333335,0.18151138716356108,-0.17279848171152518,0.5419116632160109
calendar_reference,fatigue,7,52,10,0.30874542124542126,0.3690476190476193,0.22713447697919753,-0.09798215518091292,0.5586360297742284
calendar_reference,fatigue,14,54,10,0.18200518617185282,0.2640151515151514,0.02450705293096595,-0.2668900691699604,0.330765305799273
calendar_reference,fatigue,28,54,10,0.17496304543876498,0.21818181818181803,0.025006489633023585,-0.2557193054918463,0.3134369987556554
reporting_reference,fatigue,3,53,10,0.220125786163522,0.3333333333333335,0.12016908212560388,-0.19802536231884052,0.4038511473429952
reporting_reference,fatigue,7,55,10,0.2963636363636364,0.25,0.200364044168392,-0.10064736456176668,0.5102517900276053
reporting_reference,fatigue,14,56,10,0.15096025006739291,0.20646020646020635,0.03833587406956972,-0.19364016609397042,0.25863828736179273
reporting_reference,fatigue,28,57,10,0.13745469833893462,0.1657754010695185,0.019465053321241883,-0.15864418821756182,0.17853111715326342
calendar_reference,readiness,3,48,10,-0.3125,0.0,-0.3814492753623187,-1.576927536231884,0.5598345410628018
calendar_reference,readiness,7,52,10,-0.2456959706959707,0.0,-0.4549864438529035,-1.4027440476190476,0.3594252933057279
calendar_reference,readiness,14,54,10,-0.23908663353107798,-0.1071428571428572,-0.4615462074157727,-1.123931637806638,0.20721270743145728
calendar_reference,readiness,28,54,10,-0.1377466658572858,-0.042569029411134274,-0.26421007453997525,-0.8608747942902761,0.41657067357812627
reporting_reference,readiness,3,53,10,-0.2767295597484277,0.0,-0.6083635265700483,-1.2913858695652174,-0.11662741545893719
reporting_reference,readiness,7,56,10,-0.13898809523809522,0.0,-0.3707487922705314,-0.9962071256038648,0.1469862836438919
reporting_reference,readiness,14,57,10,-0.17968639547586918,-0.07142857142857117,-0.2861173627097541,-0.6431750922688423,0.06194609149908052
reporting_reference,readiness,28,57,10,-0.14096116645171664,-0.07407407407407351,-0.1763415688914913,-0.5030251443906335,0.2100748170173794
calendar_reference,session_count,3,68,13,0.05392156862745098,0.0,-0.09533984533984532,-0.5010327635327635,0.2462072649572647
calendar_reference,session_count,7,68,13,0.012605042016806725,0.0,-0.07369614512471656,-0.2835938862724577,0.10045024420024419
calendar_reference,session_count,14,68,13,0.01575630252100839,0.0714285714285714,-0.12851037851037853,-0.3229891636141636,0.026610195360195293
calendar_reference,session_count,28,68,13,-0.049894957983193274,0.05357142857142855,-0.17672902494331064,-0.3841714089481947,-0.007634255625327196
reporting_reference,session_count,3,68,13,0.11764705882352941,0.0,0.13573463573463576,-0.03189356939356939,0.36353021978021943
reporting_reference,session_count,7,68,13,0.05042016806722689,0.0,0.029783708355136922,-0.09829931972789115,0.15923273155416012
reporting_reference,session_count,14,68,13,0.04936974789915965,0.0,-0.021432932147217868,-0.11131715506715506,0.05092556253270534
reporting_reference,session_count,28,68,13,-0.008928571428571421,0.0357142857142857,-0.0734399529042386,-0.16567324045002615,0.00011242477760330365
calendar_reference,session_duration_minutes_log1p,3,68,13,0.03151027370878283,0.13985178002540266,-0.5949086615429874,-1.8194941377390816,0.4253559860208385
calendar_reference,session_duration_minutes_log1p,7,68,13,-0.04669003369481139,0.017727116391109576,-0.3887788411508798,-1.1081774324692175,0.21178542207719034
calendar_reference,session_duration_minutes_log1p,14,68,13,-0.08029066511037511,-0.09371419964343053,-0.5982014331158981,-1.3816339885709474,0.03703142134437246
calendar_reference,session_duration_minutes_log1p,28,68,13,-0.3639983626671809,-0.18669413156985581,-0.7691567387106046,-1.6596037943915336,-0.07816693139475414
reporting_reference,session_duration_minutes_log1p,3,68,13,0.3239375864034375,0.18774927403316344,0.41401552089466276,-0.10487212568543575,1.0272158349770562
reporting_reference,session_duration_minutes_log1p,7,68,13,0.08508426203106502,0.03161334190794535,0.050156376851272014,-0.39107683449210784,0.46495923920471904
