event_id,player_id,team_id,reference_type,feature,window_days,event_observed_days,reference_observed_days,event_mean,reference_mean,difference
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-03-21,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,0.0,0.0
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-05-11,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,1.7839527111586888,2.1491019541804044,-0.3651492430217156
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-05-19,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,1.9979871424355231,-1.9979871424355231
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-05-24,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,3.977367598677289,-3.977367598677289
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-06-09,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,2.184169295678197,0.0,2.184169295678197
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-06-10,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,2.3552044545325725,1.953595407821955,0.4016090467106175
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-06-13,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,5.471741842342502,0.0,5.471741842342502
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-06-22,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,0.0,0.0
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-07-28,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,2.065481375931507,4.07283336792938,-2.0073519919978735
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2020-08-08,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,2.058622423368587,0.0,2.058622423368587
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2021-02-22,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,2.1491019541804044,0.0,2.1491019541804044
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2021-02-23,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,4.438426757170502,0.0,4.438426757170502
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2021-09-11,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,3.8424765890576786,0.0,3.8424765890576786
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a|2021-11-03,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,calendar_reference,daily_load_log1p,3,3,3,4.319470159696019,0.0,4.319470159696019
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-03-21,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,6.345876673837396,-6.345876673837396
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-04-07,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,5.778502952355113,3.8936625010053754,1.8848404513497372
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-04-10,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,5.811930071704353,3.9386653416524706,1.8732647300518823
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-04-14,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,2.184169295678197,3.8936625010053754,-1.7094932053271785
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-04-21,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,4.259008922687969,3.8936625010053754,0.3653464216825939
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-04-27,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.263855382117481,1.8794515564445817,4.3844038256729
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-05-01,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,3.9776962304129246,6.251044999284253,-2.2733487688713283
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-05-05,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,4.460760011178759,6.141842596010638,-1.681082584831879
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-05-15,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.477484560277888,6.251044999284253,0.22643956099363471
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-05-31,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,4.086460386000358,6.343440057249299,-2.256979671248941
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-06-05,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.342887573492662,6.520080794076909,-0.1771932205842468
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-06-12,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.391076483472168,6.520080794076909,-0.12900431060474116
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-06-17,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.088557613938342,6.407655981113791,-0.3190983671754495
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-06-22,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,3.8653294076939186,6.234222411609797,-2.368893003915878
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-06-28,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,5.767975266025025,6.352757997600738,-0.5847827315757126
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-07-01,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.084636973870037,4.3717198305386065,1.7129171433314303
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-07-13,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,4.170008459977115,4.2213461618155055,-0.05133770183839026
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-07-17,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.104088117582757,4.1632878022136675,1.9408003153690894
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-07-30,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.566679691313825,4.0284406953758,2.5382389959380243
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-08-14,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.254311035897475,6.173375486874595,0.0809355490228798
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-08-16,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,5.914678622752634,2.1099069685075653,3.8047716542450685
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-08-30,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,5.914541869701772,2.1099069685075653,3.8046349011942064
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-09-25,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.11028531098876,4.360646406800966,1.749638904187794
TeamA-4051bba7-1170-4c43-b912-8c38815a7625|2020-11-08,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,calendar_reference,daily_load_log1p,3,3,3,5.9888304742499825,5.965990940372404,0.022839533877578866
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05|2020-04-29,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,calendar_reference,daily_load_log1p,3,3,3,1.9629593194442936,4.1632878022136675,-2.2003284827693737
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05|2020-05-11,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,2.058622423368587,-2.058622423368587
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05|2020-10-16,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.484937655554418,1.6724266122716414,4.812511043282777
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95|2020-06-26,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,calendar_reference,daily_load_log1p,3,3,3,5.857409836227999,6.194122001514922,-0.33671216528692227
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95|2020-08-08,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,calendar_reference,daily_load_log1p,3,3,3,5.879746279876373,6.212290140343282,-0.33254386046690954
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93|2020-03-20,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,6.52689297878433,-6.52689297878433
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93|2020-03-30,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,0.0,0.0
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93|2020-04-11,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,0.0,0.0
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93|2020-04-29,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,calendar_reference,daily_load_log1p,3,3,3,1.9238137077100053,4.298203908360809,-2.3743902006508035
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93|2020-05-03,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,calendar_reference,daily_load_log1p,3,3,3,0.0,5.767889717156306,-5.767889717156306
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93|2020-05-14,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.350973345547445,5.968364941534341,0.38260840401310325
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93|2020-06-08,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,calendar_reference,daily_load_log1p,3,3,3,4.450093704712484,3.3318854800025015,1.1182082247099823
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93|2020-06-22,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,calendar_reference,daily_load_log1p,3,3,3,3.747043288316069,3.3318854800025015,0.4151578083135674
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93|2021-09-16,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,calendar_reference,daily_load_log1p,3,3,3,6.360359094807222,6.938056401241725,-0.5776973064345023
TeamA-74afe68c-f348-414c-9754-6d6f9df12587|2020-03-22,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,TeamA,calendar_reference,daily_load_log1p,3,3,3,4.63878995277843,0.0,4.63878995277843
