scope,rank,entity_id,team_id,onset_count,history_complete_count,matched_count,isolated_onset_count
player,1,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,24,24,24,1
player,2,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,14,14,14,3
player,3,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,9,9,9,1
player,4,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,4,4,4,0
player,5,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,4,4,4,0
player,6,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,3,3,3,1
player,7,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,TeamA,3,3,3,3
player,8,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,2,2,2,2
player,9,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,TeamA,1,1,1,1
player,10,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,TeamA,1,1,1,1
player,11,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,TeamA,1,1,1,1
player,12,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,3,1,1,0
player,13,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,1,1,1,1
player,14,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,1,0,0,1
player,15,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,TeamB,2,0,0,0
team,1,TeamA,TeamA,66,66,66,14
team,2,TeamB,TeamB,7,2,2,2
