index_type,relative_day,feature,observed_count,anchor_count,player_count,event_weighted_mean,median,player_equal_mean
calendar_reference,-28,daily_load_log1p,68,68,13,4.214856990479255,6.111467339502679,4.085471447397306
calendar_reference,-27,daily_load_log1p,68,68,13,4.301950095037742,6.244931703320501,3.437825658767375
calendar_reference,-26,daily_load_log1p,68,68,13,3.654516215580942,5.78394824410737,2.2804618511711294
calendar_reference,-25,daily_load_log1p,68,68,13,4.189387511993389,5.941419692819725,3.2627639753671103
calendar_reference,-24,daily_load_log1p,68,68,13,4.347979436012029,6.111467339502679,4.283232194094392
calendar_reference,-23,daily_load_log1p,68,68,13,4.7295346653843575,6.07705008659253,4.477029164730466
calendar_reference,-22,daily_load_log1p,68,68,13,4.209840444942059,5.860786223465865,3.3074159902631624
calendar_reference,-21,daily_load_log1p,68,68,13,4.098548049746958,6.07705008659253,3.5849705073094067
calendar_reference,-20,daily_load_log1p,68,68,13,4.3668341101258275,5.8888779583328805,4.047416868788924
calendar_reference,-19,daily_load_log1p,68,68,13,3.896391492917838,5.707110264748875,3.1654574981737014
calendar_reference,-18,daily_load_log1p,68,68,13,3.799380225257167,5.707110264748875,3.6055310167410206
calendar_reference,-17,daily_load_log1p,68,68,13,3.691536875003331,5.707110264748875,3.3234170534610787
calendar_reference,-16,daily_load_log1p,68,68,13,4.474011368359231,5.941419692819725,4.752632067378981
calendar_reference,-15,daily_load_log1p,68,68,13,3.9991036788508296,5.707110264748875,2.971179799553431
calendar_reference,-14,daily_load_log1p,68,68,13,3.8910861208161793,5.771441123130016,3.9412968288848313
calendar_reference,-13,daily_load_log1p,68,68,13,3.892200900222986,5.816113673297941,3.5553371003218355
calendar_reference,-12,daily_load_log1p,68,68,13,4.425167477275667,5.8888779583328805,3.3527662564443292
calendar_reference,-11,daily_load_log1p,68,68,13,3.596798415750106,5.707110264748875,3.5246904599766045
calendar_reference,-10,daily_load_log1p,68,68,13,3.694223519724101,5.816113673297941,3.039859383688765
calendar_reference,-9,daily_load_log1p,68,68,13,4.2804722350423035,5.965755396007631,4.130348248942715
calendar_reference,-8,daily_load_log1p,68,68,13,3.656913287917557,5.860786223465865,4.09772569780667
calendar_reference,-7,daily_load_log1p,68,68,13,3.2992116408062064,5.139950698125144,2.7449948393533714
calendar_reference,-6,daily_load_log1p,68,68,13,4.256722869164183,6.042632833682381,3.0592814796337984
calendar_reference,-5,daily_load_log1p,68,68,13,3.4560727075573214,5.638354669333745,2.251050765969949
calendar_reference,-4,daily_load_log1p,68,68,13,4.129958831883335,5.874832090899373,3.649886329283973
calendar_reference,-3,daily_load_log1p,68,68,13,3.640899303713846,5.581903804232764,3.747601902069447
calendar_reference,-2,daily_load_log1p,68,68,13,3.9301323462437145,5.67273246704131,3.9482338338074263
calendar_reference,-1,daily_load_log1p,68,68,13,3.7191680818747024,5.484796933490655,4.203296875538442
calendar_reference,0,daily_load_log1p,68,68,13,3.5252506262688006,5.771441123130016,2.3551243196457117
event,-28,daily_load_log1p,68,68,13,2.983947295276744,0.0,1.9337930526390403
event,-27,daily_load_log1p,68,68,13,2.960590760261041,0.0,1.4753767391017913
event,-26,daily_load_log1p,68,68,13,2.6211486565390048,0.0,1.5924993723207694
event,-25,daily_load_log1p,68,68,13,3.204603295608921,4.6533250260567955,2.8206833749003852
event,-24,daily_load_log1p,68,68,13,3.263140602163696,5.250900969662451,2.6197950290804357
event,-23,daily_load_log1p,68,68,13,2.683856819044899,0.0,2.1171428885940697
event,-22,daily_load_log1p,68,68,13,3.0301080330073855,2.1972245773362196,2.118740073362043
event,-21,daily_load_log1p,68,68,13,3.2701598529772715,4.8546782688913375,2.96145496956517
event,-20,daily_load_log1p,68,68,13,3.1621501099665448,2.6759290667380333,1.7913034884943937
