index_type,relative_day,feature,observed_count,anchor_count,player_count,event_weighted_mean,median,player_equal_mean
calendar_reference,-28,fatigue,49,49,11,2.6530612244897958,3.0,3.1287878787878785
calendar_reference,-27,fatigue,49,49,10,2.5510204081632653,3.0,2.7866666666666666
calendar_reference,-26,fatigue,51,51,11,2.6862745098039214,3.0,2.9049407114624506
calendar_reference,-25,fatigue,48,48,11,2.7083333333333335,3.0,3.0939393939393938
calendar_reference,-24,fatigue,51,51,11,2.549019607843137,3.0,2.9217171717171713
calendar_reference,-23,fatigue,52,52,11,2.673076923076923,3.0,2.95959595959596
calendar_reference,-22,fatigue,49,49,11,2.5510204081632653,3.0,2.868686868686869
calendar_reference,-21,fatigue,51,51,11,2.5098039215686274,2.0,2.958333333333333
calendar_reference,-20,fatigue,50,50,11,2.6,3.0,3.005050505050505
calendar_reference,-19,fatigue,47,47,12,2.5319148936170213,2.0,2.8379629629629632
calendar_reference,-18,fatigue,49,49,11,2.5510204081632653,2.0,3.0164141414141414
calendar_reference,-17,fatigue,42,42,10,2.5714285714285716,3.0,3.0095238095238095
calendar_reference,-16,fatigue,46,46,10,2.652173913043478,3.0,3.055072463768116
calendar_reference,-15,fatigue,52,52,11,2.5576923076923075,3.0,2.792929292929293
calendar_reference,-14,fatigue,51,51,10,2.5294117647058822,3.0,2.8779761904761907
calendar_reference,-13,fatigue,50,50,11,2.72,3.0,3.1261998870694523
calendar_reference,-12,fatigue,50,50,9,2.54,2.5,2.8981481481481484
calendar_reference,-11,fatigue,54,54,12,2.6296296296296298,3.0,3.0844907407407405
calendar_reference,-10,fatigue,49,49,10,2.673469387755102,3.0,3.079761904761905
calendar_reference,-9,fatigue,53,53,12,2.6226415094339623,3.0,2.9791666666666665
calendar_reference,-8,fatigue,52,52,12,2.6346153846153846,3.0,3.0730820105820107
calendar_reference,-7,fatigue,49,49,10,2.4693877551020407,2.0,2.7558333333333334
calendar_reference,-6,fatigue,52,52,11,2.6923076923076925,3.0,2.9356060606060606
calendar_reference,-5,fatigue,50,50,11,2.72,3.0,3.1818181818181817
calendar_reference,-4,fatigue,51,51,11,2.7450980392156863,3.0,3.2305194805194803
calendar_reference,-3,fatigue,47,47,10,2.723404255319149,3.0,2.8954545454545455
calendar_reference,-2,fatigue,51,51,11,2.6470588235294117,3.0,2.9323593073593073
calendar_reference,-1,fatigue,50,50,11,2.6,3.0,2.7992424242424243
