sensitivity_scope,feature,window_days,matched_event_count,player_count,player_equal_mean_difference,cluster_ci_low,cluster_ci_high
all_matched_events,daily_load_log1p,3,68,13,-0.8811083375764736,-2.5028133467118225,0.4499655246421449
exclude_top_five_players,daily_load_log1p,3,13,8,-1.311109642918587,-3.3561365353537607,0.7491019393889254
exclude_top_player,daily_load_log1p,3,44,12,-0.9770756356630743,-2.4756930686036456,0.5176585404441975
isolated_onsets,daily_load_log1p,3,15,10,-0.2200435804499497,-2.5062339619284466,1.774752537288668
all_matched_events,daily_load_log1p,7,68,13,-0.6025680655722012,-1.56658723048752,0.15572263439380135
exclude_top_five_players,daily_load_log1p,7,13,8,-0.9350957879275639,-2.0629100064979284,0.2738070949198468
exclude_top_player,daily_load_log1p,7,44,12,-0.6455832760612221,-1.5930913921399654,0.23937876743034592
isolated_onsets,daily_load_log1p,7,15,10,-0.1572082893849499,-1.4368815896603864,1.0685003026995898
all_matched_events,daily_load_log1p,14,68,13,-0.8800709407310118,-1.92529962014639,-0.02099493671606023
exclude_top_five_players,daily_load_log1p,14,13,8,-1.388205804539311,-2.781965548545825,-0.29581902003455657
exclude_top_player,daily_load_log1p,14,44,12,-0.9296697587869278,-2.0422341641918393,-0.012596783005573462
isolated_onsets,daily_load_log1p,14,15,10,-0.622231282948777,-2.0798990589648025,0.6871575052748559
all_matched_events,daily_load_log1p,28,68,13,-1.1130115180498836,-2.304147653648687,-0.17520337093054153
exclude_top_five_players,daily_load_log1p,28,13,8,-1.4477889653993914,-2.8668432946261837,-0.09240296947136492
exclude_top_player,daily_load_log1p,28,44,12,-1.1665153411640046,-2.3423041177911235,-0.05161308997119621
isolated_onsets,daily_load_log1p,28,15,10,-0.8152327086571178,-2.2705858713559133,0.4146681405817138
all_matched_events,daily_load_sum_28d_log1p,3,68,13,-1.3977596998048114,-3.8131325745034856,0.3337593626648401
exclude_top_five_players,daily_load_sum_28d_log1p,3,13,8,-2.2313062880312207,-5.690516714087922,0.3513564655490253
exclude_top_player,daily_load_sum_28d_log1p,3,44,12,-1.4643692440762537,-3.87173430823789,0.6568690006489846
isolated_onsets,daily_load_sum_28d_log1p,3,15,10,-1.7522471284321783,-4.535426395934254,0.2827865839538952
all_matched_events,daily_load_sum_28d_log1p,7,68,13,-1.4998072210394122,-3.8414863940660586,0.19545181764445294
exclude_top_five_players,daily_load_sum_28d_log1p,7,13,8,-2.349644350378376,-5.730655590303263,0.1311612473668443
exclude_top_player,daily_load_sum_28d_log1p,7,44,12,-1.5732825527405878,-3.9793322632637036,0.47497294292844255
isolated_onsets,daily_load_sum_28d_log1p,7,15,10,-1.8576159350434645,-4.611964478573827,0.0917963433235611
all_matched_events,daily_load_sum_28d_log1p,14,68,13,-1.6517595217766339,-4.00098269037166,0.05243266950799804
exclude_top_five_players,daily_load_sum_28d_log1p,14,13,8,-2.374829830691043,-5.749637007042356,0.10187237256225094
exclude_top_player,daily_load_sum_28d_log1p,14,44,12,-1.7350490280880524,-4.133168879009779,0.3808047936580937
isolated_onsets,daily_load_sum_28d_log1p,14,15,10,-1.9070908595906397,-4.647057829162954,0.04008155882738269
all_matched_events,daily_load_sum_28d_log1p,28,68,13,-1.7724256472120463,-4.273623023269294,0.03375639634936023
exclude_top_five_players,daily_load_sum_28d_log1p,28,13,8,-2.1914553105398142,-5.331051212463105,0.6880352599270767
exclude_top_player,daily_load_sum_28d_log1p,28,44,12,-1.8359554780400256,-4.254482594975097,0.44106242076072505
isolated_onsets,daily_load_sum_28d_log1p,28,15,10,-1.89079032564477,-4.53153908452065,0.2750878352290816
all_matched_events,daily_load_sum_7d_log1p,3,68,13,-1.1940260479959186,-3.110835522901749,0.25560008370619497
exclude_top_five_players,daily_load_sum_7d_log1p,3,13,8,-1.9095361091068763,-4.685591054979048,0.055191752081802825
exclude_top_player,daily_load_sum_7d_log1p,3,44,12,-1.2614296681484058,-3.25412787877644,0.44020368460309517
isolated_onsets,daily_load_sum_7d_log1p,3,15,10,-1.1484441566991277,-3.4399921579996433,0.7234208435123655
all_matched_events,daily_load_sum_7d_log1p,7,68,13,-1.2364231898039508,-3.0745142269907353,0.1593358372949974
exclude_top_five_players,daily_load_sum_7d_log1p,7,13,8,-1.988083402752993,-4.709791231167381,-0.04450747366275274
exclude_top_player,daily_load_sum_7d_log1p,7,44,12,-1.3000085888922093,-3.2475564633331713,0.3459148530361192
isolated_onsets,daily_load_sum_7d_log1p,7,15,10,-1.2300839258411347,-3.5184058411235184,0.6955853726314356
all_matched_events,daily_load_sum_7d_log1p,14,68,13,-1.376337756482557,-3.2579467553980948,0.09106187585606215
exclude_top_five_players,daily_load_sum_7d_log1p,14,13,8,-2.089018777034713,-4.8225030021997215,-0.11966752931776242
exclude_top_player,daily_load_sum_7d_log1p,14,44,12,-1.447212891512602,-3.4236169388659436,0.26975313843388515
isolated_onsets,daily_load_sum_7d_log1p,14,15,10,-1.4496515202572544,-3.7725892745106275,0.3316538921463763
all_matched_events,daily_load_sum_7d_log1p,28,68,13,-1.6336758014124315,-3.685951935856156,-0.09558434646490885
exclude_top_five_players,daily_load_sum_7d_log1p,28,13,8,-2.123655858778662,-4.8196045891568,0.23039010723619519
exclude_top_player,daily_load_sum_7d_log1p,28,44,12,-1.701883021966177,-3.7307495650827858,0.1573819278254206
isolated_onsets,daily_load_sum_7d_log1p,28,15,10,-1.6996798881506692,-3.947239686503315,0.05557380876196417
all_matched_events,fatigue,3,48,10,0.18151138716356108,-0.17279848171152518,0.5419116632160109
exclude_top_five_players,fatigue,3,9,5,0.022222222222222233,-0.6,0.5788888888888879
exclude_top_player,fatigue,3,25,9,0.1582010582010582,-0.2405643738977072,0.5551146384479717
isolated_onsets,fatigue,3,10,7,0.16666666666666669,-0.3696428571428571,0.7142857142857143
all_matched_events,fatigue,7,52,10,0.22713447697919753,-0.09798215518091292,0.5586360297742284
exclude_top_five_players,fatigue,7,9,5,0.01746031746031753,-0.5510238095238095,0.6145952380952382
exclude_top_player,fatigue,7,29,9,0.19923154446963975,-0.15870496346686822,0.5570502645502646
isolated_onsets,fatigue,7,10,7,0.002891156462585024,-0.33838010204081626,0.309783163265306
all_matched_events,fatigue,14,54,10,0.02450705293096595,-0.2668900691699604,0.330765305799273
exclude_top_five_players,fatigue,14,9,5,-0.01264790764790765,-0.5024891774891774,0.46216071428571315
exclude_top_player,fatigue,14,31,9,-0.024697884420106658,-0.31869269362324915,0.26684430024707795
isolated_onsets,fatigue,14,10,7,-0.06022905665762811,-0.34767702535559675,0.17901622187336466
all_matched_events,fatigue,28,54,10,0.025006489633023585,-0.2557193054918463,0.3134369987556554
exclude_top_five_players,fatigue,28,9,5,0.025068454090193197,-0.3832408702408703,0.47157207888729596
exclude_top_player,fatigue,28,31,9,-0.020711856322597894,-0.29849967347795753,0.265940491880958
isolated_onsets,fatigue,28,10,7,-0.05014661612405967,-0.25039873503689297,0.10704105366229426
all_matched_events,readiness,3,48,10,-0.3814492753623187,-1.576927536231884,0.5598345410628018
exclude_top_five_players,readiness,3,9,5,-0.811111111111111,-2.6333333333333333,0.7444444444444446
exclude_top_player,readiness,3,25,9,-0.4222222222222221,-1.7298765432098766,0.7578703703703701
isolated_onsets,readiness,3,10,7,-0.4166666666666666,-1.8633928571428569,0.7562499999999998
all_matched_events,readiness,7,52,10,-0.4549864438529035,-1.4027440476190476,0.3594252933057279
exclude_top_five_players,readiness,7,9,5,-0.733015873015873,-2.336880952380952,0.5802301587301579
exclude_top_player,readiness,7,29,9,-0.5149722852103805,-1.6122145061728397,0.41509479717813025
isolated_onsets,readiness,7,10,7,-0.742857142857143,-1.8581462585034016,-0.008503401360544501
all_matched_events,readiness,14,54,10,-0.4615462074157727,-1.123931637806638,0.20721270743145728
exclude_top_five_players,readiness,14,9,5,-0.45559163059163066,-1.7151154401154403,0.717408369408369
exclude_top_player,readiness,14,31,9,-0.5196729196729197,-1.2847040343915344,0.22897822470739104
isolated_onsets,readiness,14,10,7,-0.5423509030651888,-1.3496339374910806,0.1341555071912216
all_matched_events,readiness,28,54,10,-0.26421007453997525,-0.8608747942902761,0.41657067357812627
exclude_top_five_players,readiness,28,9,5,-0.13703400062095694,-1.2423632994421037,1.0212299832816116
exclude_top_player,readiness,28,31,9,-0.302075323341956,-1.009425901719826,0.47431099856231973
isolated_onsets,readiness,28,10,7,-0.4118136284489666,-1.0160414899254182,0.04890992813925177
all_matched_events,session_count,3,68,13,-0.09533984533984532,-0.5010327635327635,0.2462072649572647
exclude_top_five_players,session_count,3,13,8,-0.15277777777777773,-0.6666666666666666,0.36111111111111116
exclude_top_player,session_count,3,44,12,-0.1194885361552028,-0.5008101851851852,0.2514219576719576
isolated_onsets,session_count,3,15,10,-0.011111111111111082,-0.5333333333333333,0.4836111111111109
all_matched_events,session_count,7,68,13,-0.07369614512471656,-0.2835938862724577,0.10045024420024419
exclude_top_five_players,session_count,7,13,8,-0.11607142857142858,-0.3854910714285714,0.17715773809523802
exclude_top_player,session_count,7,44,12,-0.09174225245653816,-0.3044075963718821,0.11478056500377927
isolated_onsets,session_count,7,15,10,-0.0261904761904762,-0.27029761904761906,0.20374999999999982
all_matched_events,session_count,14,68,13,-0.12851037851037853,-0.3229891636141636,0.026610195360195293
exclude_top_five_players,session_count,14,13,8,-0.22172619047619047,-0.4962053571428571,0.005245535714285661
exclude_top_player,session_count,14,44,12,-0.14914021164021166,-0.3514095568783069,0.012123842592592454
isolated_onsets,session_count,14,15,10,-0.09166666666666666,-0.3674702380952381,0.1392857142857143
all_matched_events,session_count,28,68,13,-0.17672902494331064,-0.3841714089481947,-0.007634255625327196
exclude_top_five_players,session_count,28,13,8,-0.24107142857142855,-0.5178571428571428,0.01339285714285718
exclude_top_player,session_count,28,44,12,-0.19939295162509446,-0.4144392479213908,-0.009806075207860905
isolated_onsets,session_count,28,15,10,-0.13452380952380952,-0.4107142857142857,0.1072023809523809
all_matched_events,session_duration_minutes_log1p,3,68,13,-0.5949086615429874,-1.8194941377390816,0.4253559860208385
exclude_top_five_players,session_duration_minutes_log1p,3,13,8,-0.9081192478480618,-2.518802839421429,0.7025045020907613
exclude_top_player,session_duration_minutes_log1p,3,44,12,-0.6780633314812924,-1.85475909286693,0.4624423373846259
isolated_onsets,session_duration_minutes_log1p,3,15,10,-0.10840060611039748,-1.8352470304932262,1.404260322417144
all_matched_events,session_duration_minutes_log1p,7,68,13,-0.3887788411508798,-1.1081774324692175,0.21178542207719034
