rank,player_id,represented_onset_count,event_share,cumulative_event_share
1,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,22,0.3098591549295775,0.3098591549295775
2,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,14,0.1971830985915493,0.5070422535211268
3,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,9,0.1267605633802817,0.6338028169014085
4,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,4,0.056338028169014086,0.6901408450704225
5,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,4,0.056338028169014086,0.7464788732394366
6,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,3,0.04225352112676056,0.7887323943661972
7,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,3,0.04225352112676056,0.8309859154929577
8,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,3,0.04225352112676056,0.8732394366197184
9,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2,0.028169014084507043,0.9014084507042254
10,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2,0.028169014084507043,0.9295774647887324
11,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,1,0.014084507042253521,0.943661971830986
12,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,1,0.014084507042253521,0.9577464788732395
13,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,1,0.014084507042253521,0.971830985915493
14,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,1,0.014084507042253521,0.9859154929577465
15,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,1,0.014084507042253521,1.0
