scenario_id,month,team_id,eligible_player_days,positive_player_days,player_count
C0,2020-01-01,TeamA,837,0,27
C0,2020-01-01,TeamB,702,27,23
C0,2020-02-01,TeamA,783,0,27
C0,2020-02-01,TeamB,666,6,23
C0,2020-03-01,TeamA,803,56,27
C0,2020-03-01,TeamB,713,0,23
C0,2020-04-01,TeamA,777,47,27
C0,2020-04-01,TeamB,690,0,23
C0,2020-05-01,TeamA,782,44,27
C0,2020-05-01,TeamB,713,0,23
C0,2020-06-01,TeamA,778,50,27
C0,2020-06-01,TeamB,690,0,23
C0,2020-07-01,TeamA,828,24,27
C0,2020-07-01,TeamB,713,0,23
C0,2020-08-01,TeamA,823,28,27
C0,2020-08-01,TeamB,713,0,23
C0,2020-09-01,TeamA,808,11,27
C0,2020-09-01,TeamB,690,0,23
C0,2020-10-01,TeamA,836,7,27
C0,2020-10-01,TeamB,713,0,23
C0,2020-11-01,TeamA,809,7,27
C0,2020-11-01,TeamB,690,0,23
C0,2020-12-01,TeamA,837,0,27
C0,2020-12-01,TeamB,713,0,23
C0,2021-01-01,TeamA,830,14,27
C0,2021-01-01,TeamB,713,0,23
C0,2021-02-01,TeamA,754,7,27
C0,2021-02-01,TeamB,644,0,23
C0,2021-03-01,TeamA,836,7,27
C0,2021-03-01,TeamB,713,0,23
C0,2021-04-01,TeamA,810,0,27
C0,2021-04-01,TeamB,690,0,23
C0,2021-05-01,TeamA,837,0,27
C0,2021-05-01,TeamB,713,0,23
C0,2021-06-01,TeamA,810,0,27
C0,2021-06-01,TeamB,690,0,23
C0,2021-07-01,TeamA,837,0,27
C0,2021-07-01,TeamB,713,0,23
C0,2021-08-01,TeamA,837,0,27
C0,2021-08-01,TeamB,713,0,23
C0,2021-09-01,TeamA,807,21,27
C0,2021-09-01,TeamB,690,3,23
C0,2021-10-01,TeamA,837,5,27
C0,2021-10-01,TeamB,712,4,23
C0,2021-11-01,TeamA,809,2,27
C0,2021-11-01,TeamB,690,0,23
C0,2021-12-01,TeamA,648,0,27
C0,2021-12-01,TeamB,552,0,23
C1,2020-01-01,TeamA,81,0,27
C1,2020-01-01,TeamB,66,0,22
C1,2020-02-01,TeamA,783,0,27
C1,2020-02-01,TeamB,666,6,23
C1,2020-03-01,TeamA,803,56,27
C1,2020-03-01,TeamB,713,0,23
C1,2020-04-01,TeamA,777,47,27
C1,2020-04-01,TeamB,690,0,23
C1,2020-05-01,TeamA,782,44,27
C1,2020-05-01,TeamB,713,0,23
C1,2020-06-01,TeamA,778,50,27
C1,2020-06-01,TeamB,690,0,23
C1,2020-07-01,TeamA,828,24,27
C1,2020-07-01,TeamB,713,0,23
C1,2020-08-01,TeamA,823,28,27
C1,2020-08-01,TeamB,713,0,23
C1,2020-09-01,TeamA,808,11,27
C1,2020-09-01,TeamB,690,0,23
C1,2020-10-01,TeamA,836,7,27
C1,2020-10-01,TeamB,713,0,23
C1,2020-11-01,TeamA,809,7,27
C1,2020-11-01,TeamB,690,0,23
C1,2020-12-01,TeamA,837,0,27
