feature_set,predictor,family,prediction_time,missing_value_rule,contract_status
F1,daily_load_log1p,absolute_load,end_of_day_current_or_trailing,observed_zero_preserved,ALLOW
F1,daily_load_sum_7d_log1p,absolute_load,end_of_day_current_or_trailing,observed_zero_preserved,ALLOW
F1,daily_load_sum_28d_log1p,absolute_load,end_of_day_current_or_trailing,observed_zero_preserved,ALLOW
F1,fatigue_lag1,lagged_wellness,strictly_prior,nullable_with_missing_indicator,ALLOW
F1,readiness_lag1,lagged_wellness,strictly_prior,nullable_with_missing_indicator,ALLOW
F1,fatigue_mean_prior_7d,lagged_wellness,strictly_prior,nullable_with_missing_indicator,ALLOW
F1,fatigue_mean_prior_28d,lagged_wellness,strictly_prior,nullable_with_missing_indicator,ALLOW
F1,readiness_mean_prior_7d,lagged_wellness,strictly_prior,nullable_with_missing_indicator,ALLOW
F1,readiness_mean_prior_28d,lagged_wellness,strictly_prior,nullable_with_missing_indicator,ALLOW
F2,session_recorded,session_exposure,end_of_day_current_or_trailing,observed_zero_preserved,ALLOW
F2,session_count,session_exposure,end_of_day_current_or_trailing,observed_zero_preserved,ALLOW
F2,session_duration_minutes_log1p,session_exposure,end_of_day_current_or_trailing,observed_zero_preserved,ALLOW
F2,session_duration_sum_7d_log1p,session_exposure,end_of_day_current_or_trailing,observed_zero_preserved,ALLOW
F2,session_duration_sum_28d_log1p,session_exposure,end_of_day_current_or_trailing,observed_zero_preserved,ALLOW
F2,wellness_report_present_lag1,missingness_and_reporting,strictly_prior,explicit_process_indicators,ALLOW
F2,wellness_report_count_prior_7d,missingness_and_reporting,strictly_prior,explicit_process_indicators,ALLOW
F2,wellness_report_count_prior_28d,missingness_and_reporting,strictly_prior,explicit_process_indicators,ALLOW
F3,daily_load_robust_z_prior28,player_relative,strictly_prior_baseline,nullable_with_availability_indicator,ALLOW
F3,daily_load_robust_available,player_relative,strictly_prior_baseline,nullable_with_availability_indicator,ALLOW
F3,fatigue_lag1_robust_z_prior,player_relative,strictly_prior_baseline,nullable_with_availability_indicator,ALLOW
F3,fatigue_robust_available,player_relative,strictly_prior_baseline,nullable_with_availability_indicator,ALLOW
F3,readiness_lag1_robust_z_prior,player_relative,strictly_prior_baseline,nullable_with_availability_indicator,ALLOW
F3,readiness_robust_available,player_relative,strictly_prior_baseline,nullable_with_availability_indicator,ALLOW
S_SRPE,session_srpe_log1p,srpe_replacement,end_of_day_current_or_trailing,replace_daily_load_family_never_add,ALLOW
S_SRPE,session_srpe_sum_7d_log1p,srpe_replacement,end_of_day_current_or_trailing,replace_daily_load_family_never_add,ALLOW
S_SRPE,session_srpe_sum_28d_log1p,srpe_replacement,end_of_day_current_or_trailing,replace_daily_load_family_never_add,ALLOW
