stage_id,artifact_role,path,size_bytes,sha256
00,findings,outputs/analysis/00_data_audit/tables/audit_findings.csv,628,f100d77148b5fd92b904349bf83bc08b6afadd5b4764505a1f0675914e7b1e5f
00,manifest,outputs/analysis/00_data_audit/metadata/stage_00_run_manifest.json,231,bee7548783bd7887fbf4fedf1ceb15fe743f6d6b46fe6b58f4a05ce5c88c6767
00,report,outputs/analysis/00_data_audit/reports/STAGE_00_DATA_AUDIT.md,1509,7089b2c7650cf214ae130309ec44878ef3e81aa8ec8fc0f2faf476e11befa949
01,findings,outputs/analysis/01_outcome_eda/tables/outcome_quality_findings.csv,912,b63a953c8c5224e35f44434290a92de5f51baa255de463ea5a6d11c60f285664
01,manifest,outputs/analysis/01_outcome_eda/metadata/stage_01_run_manifest.json,349,95ee2c20903f5c8a1e31fdeb0c4b0d48665e2db608353ef3d121d00f167c67bb
01,report,outputs/analysis/01_outcome_eda/reports/STAGE_01_OUTCOME_EDA.md,3539,35ce0890e4d69528cd517b650824d51800cd7b8d7d09859fd4ec5563f5fab2cb
02,findings,outputs/analysis/02_missingness_eda/tables/reporting_process_findings.csv,769,fec7c9876d56bc114c5a2bb262d151496aa6f91ea47bacd6ca8c345a55dc9662
02,manifest,outputs/analysis/02_missingness_eda/metadata/stage_02_run_manifest.json,364,25def3dc69672f8af16bdd9dc5d0425073d8c29660239a442ee85bfbd28e175a
02,report,outputs/analysis/02_missingness_eda/reports/STAGE_02_MISSINGNESS_EDA.md,2579,c0e961a25da392ea998585e1d389f0afd2c137ea87f07ba5a9d6cc35623d2fa3
03,findings,outputs/analysis/03_feature_distribution_eda/tables/feature_distribution_findings.csv,1140,cac0842d959b6f5d2ab25200cc4236605d03b0ac8cf5ec02f489a27a24c4d601
03,manifest,outputs/analysis/03_feature_distribution_eda/metadata/stage_03_run_manifest.json,381,0c2dcb1f3437d504b61e059fbcfd729f180f039b244b28a1ff5684449fcbe9b8
03,report,outputs/analysis/03_feature_distribution_eda/reports/STAGE_03_FEATURE_DISTRIBUTION_EDA.md,3030,30595c0ef007d3b1f1659866bff432fbe2d733473a5b43f7d3c089daa2b69b4b
04,findings,outputs/analysis/04_feature_redundancy/tables/structural_findings.csv,1084,7bdd58cdd1f5d3ae54a6f1ed856f21fa8f695019e9b647aac1e949dd9d412c47
04,manifest,outputs/analysis/04_feature_redundancy/metadata/stage_04_run_manifest.json,456,e13099d82e001af29ba4b87abb29b619f1f3c98e5982a907d036472e7690063a
04,report,outputs/analysis/04_feature_redundancy/reports/STAGE_04_FEATURE_REDUNDANCY.md,2910,8740c2fa139fecab40ded3a9dabad5ebd646e4bc66a9da9448245a9f18d56000
05,findings,outputs/analysis/05_outcome_context/tables/outcome_context_findings.csv,1109,1a28555dd92651958737fe0600a1444e469ae944cb9a5233300cef8ecf16a3b7
05,manifest,outputs/analysis/05_outcome_context/metadata/stage_05_run_manifest.json,465,1d759c7ecfc15e78841575a9fdaf942e1832a99e171b5e3b9ee62049f5f8d5da
05,report,outputs/analysis/05_outcome_context/reports/STAGE_05_OUTCOME_CONTEXT.md,2956,6a34b4ffd07e9fc9c10bb2200afb2190728d57b86588a080f21ffe840ffa18cf
06,findings,outputs/analysis/06_cohort_outcome_sensitivity/tables/cohort_outcome_findings.csv,890,939109a530ade7bb8a0c88065c913a20497c01ac8fa67309cfbfc81d0e60f5fb
06,manifest,outputs/analysis/06_cohort_outcome_sensitivity/metadata/stage_06_run_manifest.json,477,6c98978fdc0d1dbfe0239eb398508f45fed85603a5eed62de4996c7b1db78749
06,report,outputs/analysis/06_cohort_outcome_sensitivity/reports/STAGE_06_COHORT_OUTCOME_SENSITIVITY.md,3141,1fdd7073163facb4654466e23facfee8be717ddc55cd8255cae730bb9d7e562a
07,findings,outputs/analysis/07_prospective_protocol/tables/leakage_findings.csv,1364,5879fdcb339741abbfc03e11b2b2d01eab67a2eca9c701d9e49c2df2ad937b7f
07,manifest,outputs/analysis/07_prospective_protocol/metadata/stage_07_run_manifest.json,505,d87e8fcfc1cf8e99c2f7a7847fcaf8a243b87bd5751629ce3c10c21b7cb15a6a
07,report,outputs/analysis/07_prospective_protocol/reports/STAGE_07_PROSPECTIVE_PROTOCOL.md,3309,ea81e5889d3c442dcaa33b76c8513f9b811d75a6dd563367a8fa61efb1376680
