reliability_bin,player_days,positive_days,minimum_prediction,maximum_prediction,mean_prediction,observed_rate
0,869,0,0.002346363326340123,0.010504936113692341,0.008648214853485436,0.0
1,869,0,0.010504936113692341,0.010504936113692341,0.010504936113692388,0.0
2,869,0,0.010504936113692341,0.010504936113692341,0.010504936113692388,0.0
3,869,2,0.010504936113692341,0.012208992748590516,0.011303093746184956,0.0023014959723820483
4,869,5,0.012209518908774863,0.014476210279907128,0.013283710656385105,0.005753739930955121
5,869,0,0.014479900062665887,0.01717431189130935,0.015811763799386192,0.0
6,869,0,0.017177414338105514,0.020644888991782604,0.018750779982972882,0.0
7,869,1,0.020652110053479295,0.02596250270960858,0.023085067617394598,0.0011507479861910242
8,869,2,0.025965088942046195,0.033483662828650194,0.0297259706834982,0.0023014959723820483
9,869,18,0.033507530355833356,0.18757817547111602,0.058857854556122614,0.020713463751438434
