model_id,method,metric,requested_iterations,valid_iterations,undefined_iterations,lower_95,median,upper_95,feature_set
M1-F1,player_cluster_bootstrap,brier_score,500,500,0,0.000576380933436111,0.0035355923835291387,0.007634577097193933,F1
M1-F1,player_cluster_bootstrap,average_precision,500,482,18,0.005232724823890897,0.01910443336138084,0.04699222349042352,F1
M1-F1,temporal_week_block_bootstrap,brier_score,500,500,0,0.0018761205885863496,0.0036854686127914013,0.005928499114260421,F1
M1-F1,temporal_week_block_bootstrap,average_precision,500,500,0,0.004623696244616895,0.017470850660961663,0.04061305569850929,F1
M1-F2,player_cluster_bootstrap,brier_score,500,500,0,0.00047927423168800945,0.003630454942908183,0.008052860221291593,F2
M1-F2,player_cluster_bootstrap,average_precision,500,481,19,0.0049454277415363485,0.01919346246126799,0.04913540457970198,F2
M1-F2,temporal_week_block_bootstrap,brier_score,500,500,0,0.001858167486490809,0.0036214110716708096,0.005729005488421578,F2
M1-F2,temporal_week_block_bootstrap,average_precision,500,500,0,0.004288837204430669,0.017724042949122706,0.038774413763469545,F2
M1-F3,player_cluster_bootstrap,brier_score,500,500,0,0.000578181807653889,0.0034911488140242602,0.007156487138212635,F3
M1-F3,player_cluster_bootstrap,average_precision,500,479,21,0.006506500289491705,0.023148909445876307,0.08553230409755955,F3
M1-F3,temporal_week_block_bootstrap,brier_score,500,500,0,0.0017455839358277896,0.0036382271458270223,0.006060886604680512,F3
M1-F3,temporal_week_block_bootstrap,average_precision,500,500,0,0.004962938731301062,0.021933004515909904,0.05077921157991179,F3
