transformed_feature,standardised_coefficient,odds_ratio_per_standard_deviation,coefficient_role
__intercept__,-4.222327088884161,0.014664479220906548,intercept
daily_load_log1p,0.006460719952717161,1.0064816354226074,predictor_or_missing_indicator
daily_load_sum_7d_log1p,0.03099167585805159,1.031476917690507,predictor_or_missing_indicator
daily_load_sum_28d_log1p,0.02590765779307693,1.0262461782609171,predictor_or_missing_indicator
fatigue_lag1,0.010864034009215229,1.010923261917039,predictor_or_missing_indicator
readiness_lag1,-0.09926801550375196,0.9054999874632774,predictor_or_missing_indicator
fatigue_mean_prior_7d,-0.03223747009114708,0.9682766180387462,predictor_or_missing_indicator
fatigue_mean_prior_28d,-0.06123640408750838,0.940600851604276,predictor_or_missing_indicator
readiness_mean_prior_7d,-0.16950190193232806,0.8440851490860032,predictor_or_missing_indicator
readiness_mean_prior_28d,-0.14481832194308883,0.8651794629568623,predictor_or_missing_indicator
session_recorded,0.0016232895522640936,1.001624607799952,predictor_or_missing_indicator
session_count,0.004845730140934363,1.0048574896780755,predictor_or_missing_indicator
session_duration_minutes_log1p,0.007389705125025194,1.0074170763762282,predictor_or_missing_indicator
session_duration_sum_7d_log1p,0.030073194744611714,1.030529960570346,predictor_or_missing_indicator
session_duration_sum_28d_log1p,0.025438790653539628,1.025765117936357,predictor_or_missing_indicator
wellness_report_present_lag1,0.01658362480898941,1.0167218964055136,predictor_or_missing_indicator
wellness_report_count_prior_7d,0.030954269857972328,1.0314383349864589,predictor_or_missing_indicator
wellness_report_count_prior_28d,-0.0004469579994309772,0.9995531418714158,predictor_or_missing_indicator
missingindicator_fatigue_lag1,-0.012964594307201495,0.9871190840366318,predictor_or_missing_indicator
missingindicator_readiness_lag1,-0.0149251058179377,0.9851857215189027,predictor_or_missing_indicator
missingindicator_fatigue_mean_prior_7d,-0.045013554698552935,0.9559845236632385,predictor_or_missing_indicator
missingindicator_fatigue_mean_prior_28d,-0.02809354313100621,0.9722974108030831,predictor_or_missing_indicator
missingindicator_readiness_mean_prior_7d,-0.0449278653480478,0.9560664448660015,predictor_or_missing_indicator
missingindicator_readiness_mean_prior_28d,-0.028277753206473882,0.9721183203193042,predictor_or_missing_indicator
