reliability_bin,player_days,positive_days,minimum_prediction,maximum_prediction,mean_prediction,observed_rate
0,869,0,0.002341406683478304,0.010012013532586014,0.008626752647218265,0.0
1,869,0,0.010012013532586014,0.010012013532586014,0.010012013532586062,0.0
2,869,0,0.010012013532586014,0.010020243241633756,0.010012083134435697,0.0
3,869,0,0.010020243241633756,0.012465317639425327,0.011445742068632836,0.0
4,869,7,0.012465434785647734,0.014750437642468547,0.013557361368150236,0.00805523590333717
5,869,0,0.014750437642468547,0.01750935874385891,0.016142930093504294,0.0
6,869,0,0.017514942595190187,0.020708562161790355,0.019037902383552137,0.0
7,869,1,0.020710483733960467,0.026266990061483378,0.023306099586318303,0.0011507479861910242
8,869,2,0.026278100856154524,0.03399934848234347,0.03015750283394941,0.0023014959723820483
9,869,18,0.034028812846728033,0.18708815361566625,0.059564253659725085,0.020713463751438434
