feature_set,predictor,same_day_wellness,identity_feature,allowed
F3,daily_load_log1p,false,false,true
F3,daily_load_sum_7d_log1p,false,false,true
F3,daily_load_sum_28d_log1p,false,false,true
F3,fatigue_lag1,false,false,true
F3,readiness_lag1,false,false,true
F3,fatigue_mean_prior_7d,false,false,true
F3,fatigue_mean_prior_28d,false,false,true
F3,readiness_mean_prior_7d,false,false,true
F3,readiness_mean_prior_28d,false,false,true
F3,session_recorded,false,false,true
F3,session_count,false,false,true
F3,session_duration_minutes_log1p,false,false,true
F3,session_duration_sum_7d_log1p,false,false,true
F3,session_duration_sum_28d_log1p,false,false,true
F3,wellness_report_present_lag1,false,false,true
F3,wellness_report_count_prior_7d,false,false,true
F3,wellness_report_count_prior_28d,false,false,true
F3,daily_load_robust_z_prior28,false,false,true
F3,daily_load_robust_available,false,false,true
F3,fatigue_lag1_robust_z_prior,false,false,true
F3,fatigue_robust_available,false,false,true
F3,readiness_lag1_robust_z_prior,false,false,true
F3,readiness_robust_available,false,false,true
