transformed_feature,training_mean_after_imputation,training_scale
daily_load_log1p,2.1751732280928504,2.915765585038884
daily_load_sum_7d_log1p,3.8500850054995492,3.867226300169912
daily_load_sum_28d_log1p,4.842791055300622,4.491685884375485
fatigue_lag1,3.0116712496180873,0.39387076061339527
readiness_lag1,6.939260617170791,0.9029139456480973
fatigue_mean_prior_7d,3.015132469119637,0.31826020933294513
fatigue_mean_prior_28d,3.012814718031101,0.28686415840780505
readiness_mean_prior_7d,6.923531054951769,0.8108785299894078
readiness_mean_prior_28d,6.858726614787922,0.7805726187009984
session_recorded,0.361747632141766,0.4805062775673087
session_count,0.4108157653528873,0.5865945992975001
session_duration_minutes_log1p,1.5762240563992171,2.1075504749685754
session_duration_sum_7d_log1p,2.976376216556716,2.9953331535205243
session_duration_sum_28d_log1p,3.8920308249250803,3.620381011812687
wellness_report_present_lag1,0.4128322639780018,0.4923431585762102
wellness_report_count_prior_7d,2.893553315001528,3.11165642967073
wellness_report_count_prior_28d,11.453345554537123,11.96123596715468
daily_load_robust_z_prior28,-2.4363839588604157,5.477640277823465
daily_load_robust_available,0.49440879926672776,0.49996873749701615
fatigue_lag1_robust_z_prior,0.00041215445125364705,0.18521429546478993
fatigue_robust_available,0.1312557286892759,0.337679822280697
readiness_lag1_robust_z_prior,-0.0050214150644402825,0.4729963033862625
readiness_robust_available,0.4306752215093187,0.4951707534651234
missingindicator_fatigue_lag1,0.5875954781545982,0.49226723657670673
missingindicator_readiness_lag1,0.5875954781545982,0.49226723657670673
missingindicator_fatigue_mean_prior_7d,0.4999083409715857,0.4999999915986224
missingindicator_fatigue_mean_prior_28d,0.46306141154903757,0.4986336738360642
missingindicator_readiness_mean_prior_7d,0.4997250229147571,0.4999999243875969
missingindicator_readiness_mean_prior_28d,0.46330583562480904,0.49865172044304273
missingindicator_daily_load_robust_z_prior28,0.5055912007332722,0.49996873749701615
missingindicator_fatigue_lag1_robust_z_prior,0.9123128628169874,0.2828393592760033
missingindicator_readiness_lag1_robust_z_prior,0.7076076993583869,0.4548615648382678
