feature_set,predictor,observed_player_days,missing_player_days,coverage_rate
F1,daily_load_log1p,34600,0,1.0
F1,daily_load_sum_7d_log1p,34600,0,1.0
F1,daily_load_sum_28d_log1p,34600,0,1.0
F1,fatigue_lag1,16622,17978,0.48040462427745667
F1,readiness_lag1,16628,17972,0.48057803468208093
F1,fatigue_mean_prior_7d,21036,13564,0.6079768786127168
F1,fatigue_mean_prior_28d,23330,11270,0.6742774566473988
F1,readiness_mean_prior_7d,21039,13561,0.6080635838150289
F1,readiness_mean_prior_28d,23326,11274,0.6741618497109827
F2,session_recorded,34600,0,1.0
F2,session_count,34600,0,1.0
F2,session_duration_minutes_log1p,34600,0,1.0
F2,session_duration_sum_7d_log1p,34600,0,1.0
F2,session_duration_sum_28d_log1p,34600,0,1.0
F2,wellness_report_present_lag1,34600,0,1.0
F2,wellness_report_count_prior_7d,34600,0,1.0
F2,wellness_report_count_prior_28d,34600,0,1.0
F3,daily_load_robust_z_prior28,20190,14410,0.5835260115606936
F3,daily_load_robust_available,34600,0,1.0
F3,fatigue_lag1_robust_z_prior,2890,31710,0.08352601156069364
F3,fatigue_robust_available,34600,0,1.0
F3,readiness_lag1_robust_z_prior,11133,23467,0.32176300578034683
F3,readiness_robust_available,34600,0,1.0
