reference_feature_set,candidate_feature_set,metric,reference_value,candidate_value,candidate_minus_reference
F1,F2,brier_score,0.0036999925211980904,0.0037128834913312046,0.000012890970133114243
F1,F2,log_loss,0.031272274328324294,0.03137804224468822,0.00010576791636392885
F1,F2,average_precision,0.01663955890280348,0.016376559546332686,-0.0002629993564707937
F1,F2,roc_auc,0.8078017284032062,0.8078924365867335,0.00009070818352729937
F1,F2,mean_calibration_error,0.016825538450946594,0.016964169769472362,0.00013863131852576843
F1,F2,captured_onsets_at_0.010,0.0,0.0,0.0
F1,F2,captured_onsets_at_0.025,2.0,2.0,0.0
F1,F2,captured_onsets_at_0.050,4.0,4.0,0.0
F2,F3,brier_score,0.0037128834913312046,0.003612646835285226,-0.00010023665604597847
F2,F3,log_loss,0.03137804224468822,0.030367344605661685,-0.001010697639026538
F2,F3,average_precision,0.016376559546332686,0.01943205569839518,0.0030554961520624924
F2,F3,roc_auc,0.8078924365867335,0.851053039548768,0.0431606029620345
F2,F3,mean_calibration_error,0.016964169769472362,0.01642792567073196,-0.000536244098740403
F2,F3,captured_onsets_at_0.010,0.0,1.0,1.0
F2,F3,captured_onsets_at_0.025,2.0,2.0,0.0
F2,F3,captured_onsets_at_0.050,4.0,4.0,0.0
