fold_id,train_start,train_end,validation_start,validation_end,training_positive_days,player_days,positive_days,prevalence,brier_score,log_loss,average_precision,roc_auc,convergence_warning_count,model_fit_status,interpretation_role,feature_set
RO1,2020-01-29,2020-06-23,2020-07-01,2020-09-23,197,4226.0,62.0,0.014671083767155703,0.014093007432112944,0.0738603212319257,0.1994274234336076,0.8446883424746677,0,fitted,estimable_development_fold,F1
RO2,2020-01-29,2020-09-23,2020-10-01,2020-12-24,265,4248.0,14.0,0.003295668549905838,0.003703311584692074,0.033943048908884166,0.030986706817839632,0.845232471826709,0,fitted,estimable_development_fold,F1
RO3,2020-01-29,2020-12-24,2021-01-01,2021-03-24,280,4141.0,28.0,0.006761651774933591,0.00678105597420125,0.04230302071776976,0.0426875756048424,0.8102184710499809,0,fitted,estimable_development_fold,F1
RO4,2020-01-29,2021-03-24,2021-04-01,2021-06-23,308,4200.0,0.0,0.0,0.0007092785657789126,0.01782870072794917,,,0,fitted,temporal_stress_only,F1
RO1,2020-01-29,2020-06-23,2020-07-01,2020-09-23,197,4226.0,62.0,0.014671083767155703,0.014102649441722116,0.0740293100602556,0.20296723820198834,0.8444094543088222,0,fitted,estimable_development_fold,F2
RO2,2020-01-29,2020-09-23,2020-10-01,2020-12-24,265,4248.0,14.0,0.003295668549905838,0.00370832169860257,0.03391388829385506,0.03311263427132935,0.8453168229975032,0,fitted,estimable_development_fold,F2
RO3,2020-01-29,2020-12-24,2021-01-01,2021-03-24,280,4141.0,28.0,0.006761651774933591,0.006789218932037938,0.04240640537803711,0.040283311174628994,0.8087683651140982,0,fitted,estimable_development_fold,F2
RO4,2020-01-29,2021-03-24,2021-04-01,2021-06-23,308,4200.0,0.0,0.0,0.0007244479183374543,0.017949666291248056,,,0,fitted,temporal_stress_only,F2
RO1,2020-01-29,2020-06-23,2020-07-01,2020-09-23,197,4226.0,62.0,0.014671083767155703,0.014017526834508581,0.07297835186881899,0.23263449291711366,0.8692014502184623,0,fitted,estimable_development_fold,F3
RO2,2020-01-29,2020-09-23,2020-10-01,2020-12-24,265,4248.0,14.0,0.003295668549905838,0.003795471555419552,0.034367956009274406,0.01634520235250308,0.7980801673527229,0,fitted,estimable_development_fold,F3
RO3,2020-01-29,2020-12-24,2021-01-01,2021-03-24,280,4141.0,28.0,0.006761651774933591,0.006773099465475924,0.04155548833158833,0.047624351544611976,0.8516289812788719,0,fitted,estimable_development_fold,F3
RO4,2020-01-29,2021-03-24,2021-04-01,2021-06-23,308,4200.0,0.0,0.0,0.0005475211798611726,0.016853346892438736,,,0,fitted,temporal_stress_only,F3
