reliability_bin,player_days,positive_days,minimum_prediction,maximum_prediction,mean_prediction,observed_rate,arm
0,1682,27,0.0,0.0,0.0,0.01605231866825208,cox
1,1681,0,0.0,0.0,0.0,0.0,cox
2,1682,8,0.0,0.0,0.0,0.0047562425683709865,cox
3,1681,0,0.0,0.0,0.0,0.0,cox
4,1682,7,0.0,0.0,0.0,0.004161712247324614,cox
5,1681,14,0.0,0.0,0.0,0.008328375966686495,cox
6,1682,0,0.0,0.0,0.0,0.0,cox
7,1681,0,0.0,0.0,0.0,0.0,cox
8,1682,0,0.0,0.0,0.0,0.0,cox
9,1681,48,0.0,0.27185979491081025,0.025707649241879047,0.028554431885782272,cox
0,1682,0,0.002256243934891328,0.00913267153456953,0.008289728490702378,0.0,f1_logistic
1,1681,0,0.00913267153456953,0.010706339014208286,0.010256364248153186,0.0,f1_logistic
2,1682,6,0.010706520127296466,0.014056297681860466,0.012681413884436889,0.0035671819262782403,f1_logistic
3,1681,1,0.014056297681860466,0.01555394761359265,0.01432464165044097,0.000594883997620464,f1_logistic
4,1682,6,0.01555394761359265,0.01847611273795976,0.01732820119084792,0.0035671819262782403,f1_logistic
5,1681,0,0.01847611273795976,0.019816690407468838,0.018660414110649462,0.0,f1_logistic
6,1682,4,0.019817541115715483,0.025009493761522592,0.0222804919800909,0.0023781212841854932,f1_logistic
7,1681,6,0.02501441253349361,0.031398593332497046,0.02789081857823166,0.003569303985722784,f1_logistic
8,1682,17,0.031401358867537796,0.043540904829705004,0.03651355839099111,0.010107015457788348,f1_logistic
9,1681,64,0.04356300378351406,0.18757817547113106,0.06190284960858327,0.0380725758477097,f1_logistic
