predictor,coefficient,hazard_ratio,hazard_ratio_lower_95,hazard_ratio_upper_95,p_value,variance_type
daily_load_log1p,0.00009693006050531698,1.0000969347583755,0.99621600981392,1.0039929784905999,0.9610294361953156,model_based_naive
daily_load_sum_7d_log1p,0.00014305317306467593,1.0001430634056578,0.9962619879129175,1.0040392581613662,0.9425122383395528,model_based_naive
daily_load_sum_28d_log1p,0.00014908063854684913,1.0001490917516176,0.9962679951728705,1.0040453076664533,0.940094452416749,model_based_naive
fatigue_lag1,0.00001430006631431737,1.0000143001685609,0.9961337316940454,1.0039099859021414,0.9942483918081466,model_based_naive
readiness_lag1,-0.0001243060782036057,0.9998757016474769,0.9959958692264166,1.0037706476850496,0.9500327522300174,model_based_naive
fatigue_mean_prior_7d,-7.907674978543694e-6,0.999992092356287,0.9961116105875331,1.0038876910442673,0.9968194463689639,model_based_naive
fatigue_mean_prior_28d,-0.0000523995483737068,0.9999476018244586,0.9960672283980121,1.0038430919995536,0.9789270713625803,model_based_naive
readiness_mean_prior_7d,-0.0001755421816674058,0.9998244732249598,0.9959448991101457,1.0037191597173019,0.9294821882062372,model_based_naive
readiness_mean_prior_28d,-0.00016591310917192457,0.9998341006536469,0.9959543108271902,1.0037290043954044,0.9333441141414984,model_based_naive
missingindicator_fatigue_lag1,-0.00011766446703634782,0.9998823424551555,0.9960022607036425,1.0037775396687436,0.9527019865118065,model_based_naive
missingindicator_readiness_lag1,-0.00012543230557546166,0.9998745755607272,0.9959945237396679,1.0037697427280816,0.9495835531203838,model_based_naive
missingindicator_fatigue_mean_prior_7d,-0.00015490491148451436,0.9998451070856618,0.9959651941934909,1.003740134686799,0.9377586646771964,model_based_naive
missingindicator_fatigue_mean_prior_28d,-0.0001487313570133417,0.9998512797029466,0.9959713584389576,1.0037463156475812,0.9402342395272633,model_based_naive
missingindicator_readiness_mean_prior_7d,-0.00015504512687930223,0.9998449668919952,0.9959650545733866,1.0037399939172202,0.9377024397402244,model_based_naive
missingindicator_readiness_mean_prior_28d,-0.00014885698675652412,0.999851154091895,0.9959712332858852,1.003746189576881,0.9401838519456853,model_based_naive
