predictor,interaction_term,interaction_coefficient,p_value
daily_load_log1p,daily_load_log1p_x_logtime,8.954153238853155e-6,0.9811968053972602
daily_load_sum_7d_log1p,daily_load_sum_7d_log1p_x_logtime,0.000012498739014809081,0.9740907694948143
daily_load_sum_28d_log1p,daily_load_sum_28d_log1p_x_logtime,0.000014001687680636257,0.9711306880101234
fatigue_lag1,fatigue_lag1_x_logtime,3.1722953648826475e-6,0.9933825791516743
readiness_lag1,readiness_lag1_x_logtime,-0.00001452776009119482,0.9706621741913338
fatigue_mean_prior_7d,fatigue_mean_prior_7d_x_logtime,2.9133660470087274e-8,0.9999390526728558
fatigue_mean_prior_28d,fatigue_mean_prior_28d_x_logtime,-3.879250891153167e-6,0.9918227420858844
readiness_mean_prior_7d,readiness_mean_prior_7d_x_logtime,-0.00001991260208380248,0.9603784831086556
readiness_mean_prior_28d,readiness_mean_prior_28d_x_logtime,-0.000016629275527581924,0.9669069862207709
missingindicator_fatigue_lag1,missingindicator_fatigue_lag1_x_logtime,-0.000011915384804394683,0.9750812445600863
missingindicator_readiness_lag1,missingindicator_readiness_lag1_x_logtime,-0.00001239708125569757,0.9740743151409844
missingindicator_fatigue_mean_prior_7d,missingindicator_fatigue_mean_prior_7d_x_logtime,-0.000014274184097349941,0.9704729401647549
missingindicator_fatigue_mean_prior_28d,missingindicator_fatigue_mean_prior_28d_x_logtime,-0.000013628293278525055,0.9719985729900565
missingindicator_readiness_mean_prior_7d,missingindicator_readiness_mean_prior_7d_x_logtime,-0.000014295203005356258,0.9704296925152341
missingindicator_readiness_mean_prior_28d,missingindicator_readiness_mean_prior_28d_x_logtime,-0.000013648521981289278,0.971957368492483
