reliability_bin,player_days,positive_days,minimum_prediction,maximum_prediction,mean_prediction,observed_rate,arm
0,1682,0,0.010235279062507069,0.011762760528873557,0.010579761841880116,0.0,boosted
1,1681,6,0.011762760528873557,0.01312691651240343,0.01252231865880192,0.003569303985722784,boosted
2,1682,0,0.01312691651240343,0.013797100125481299,0.013369609301237309,0.0,boosted
3,1681,4,0.013797100125481299,0.016399164719157245,0.014602496816671261,0.002379535990481856,boosted
4,1682,1,0.016399164719157245,0.017735868448234722,0.01761579573994742,0.0005945303210463733,boosted
5,1681,0,0.017735868448234722,0.018696672679663313,0.017830121899669676,0.0,boosted
6,1682,21,0.018696672679663313,0.02144942525229056,0.020951849043772296,0.01248513674197384,boosted
7,1681,0,0.02144942525229056,0.022886723535927918,0.021778358395131498,0.0,boosted
8,1682,13,0.022886723535927918,0.031551430000279226,0.025980591907059,0.0077288941736028535,boosted
9,1681,59,0.031551430000279226,0.0910967844020248,0.0486316386444347,0.03509815585960738,boosted
0,1682,0,0.002256243934891328,0.00913267153456953,0.008289728490702378,0.0,f1_logistic
1,1681,0,0.00913267153456953,0.010706339014208286,0.01025636424815323,0.0,f1_logistic
2,1682,6,0.010706520127296466,0.014056297681860466,0.012681413884436889,0.0035671819262782403,f1_logistic
3,1681,1,0.014056297681860466,0.01555394761359265,0.01432464165044097,0.000594883997620464,f1_logistic
4,1682,6,0.01555394761359265,0.01847611273795976,0.01732820119084792,0.0035671819262782403,f1_logistic
5,1681,0,0.01847611273795976,0.019816690407468838,0.018660414110649462,0.0,f1_logistic
6,1682,4,0.019817541115715483,0.025009493761522592,0.0222804919800909,0.0023781212841854932,f1_logistic
7,1681,6,0.02501441253349361,0.031398593332497046,0.02789081857823166,0.003569303985722784,f1_logistic
8,1682,17,0.031401358867537796,0.043540904829705004,0.03651355839099111,0.010107015457788348,f1_logistic
9,1681,64,0.04356300378351406,0.18757817547113106,0.06190284960858327,0.0380725758477097,f1_logistic
