max_leaf_nodes,learning_rate,min_samples_leaf,l2_regularization,max_iter_checkpoint,brier_score,average_precision,roc_auc
3,0.01,200,1.0,50,0.0035532720089550725,0.012091715798174724,0.7631197018174621
3,0.01,200,1.0,100,0.0038677836542161037,0.013672591752081005,0.7625857604644258
3,0.01,200,1.0,150,0.004110920443987143,0.013459301056252922,0.7624125902958736
3,0.01,200,1.0,200,0.004325245036585702,0.013816430489725952,0.7928884784114522
3,0.01,200,1.0,250,0.004516076828740355,0.013966337626122524,0.7918535804993898
3,0.01,200,1.0,300,0.004610195080031364,0.014793309159006708,0.7937502061549626
3,0.01,200,1.0,350,0.004733139849483121,0.015067060864720401,0.7943769172411519
3,0.01,200,1.0,400,0.0047910469725026055,0.015198532216360871,0.7943130092027575
3,0.01,200,1.0,450,0.004785082264899566,0.015165244853469161,0.7920288122175677
3,0.01,200,1.0,500,0.004831914051400253,0.015018943792803526,0.7874583566975624
3,0.01,200,10.0,50,0.003433040106794755,0.01231824039771407,0.764579278952403
3,0.01,200,10.0,100,0.003626231918132646,0.012786407726625364,0.7682076062934987
3,0.01,200,10.0,150,0.003836808009195352,0.01332241916154638,0.7592707886664246
3,0.01,200,10.0,200,0.004060009456457925,0.013764411082979825,0.7918556420490154
3,0.01,200,10.0,250,0.004229430978324895,0.014001317994020863,0.7910227760002639
3,0.01,200,10.0,300,0.004376342805751233,0.013768299386620683,0.7880850677837515
3,0.01,200,10.0,350,0.0044849031891605225,0.014166005766772616,0.7911815153214368
3,0.01,200,10.0,400,0.004578786251309105,0.014297376180430203,0.7917999802091236
3,0.01,200,10.0,450,0.00460637863653562,0.014747871679637344,0.7916969027278424
3,0.01,200,10.0,500,0.004676364419903116,0.01767506064698517,0.7884994392585019
3,0.01,500,1.0,50,0.0034815386202088094,0.01339444763626355,0.811834119470924
3,0.01,500,1.0,100,0.003732101158394601,0.012940073566888931,0.7920989049048389
3,0.01,500,1.0,150,0.004024153986903792,0.014409990755867071,0.8008522446152323
3,0.01,500,1.0,200,0.0042877906894758675,0.01488174494678514,0.799920424184451
3,0.01,500,1.0,250,0.004369264918796279,0.015282924047000313,0.7961848962628227
3,0.01,500,1.0,300,0.004364607221358449,0.014368004483291926,0.796304466141109
3,0.01,500,1.0,350,0.004353931436254606,0.014328931251013664,0.7961230497740542
3,0.01,500,1.0,400,0.004328773105180282,0.014142986295546216,0.7926988158458951
3,0.01,500,1.0,450,0.004321820623517032,0.015564288240417484,0.7914103473298809
3,0.01,500,1.0,500,0.004355355466058297,0.016012760144072213,0.7893817824982683
3,0.01,500,10.0,50,0.003436759251054918,0.01339444763626355,0.811834119470924
3,0.01,500,10.0,100,0.0035928071970844334,0.013045437528304997,0.789493106178052
3,0.01,500,10.0,150,0.0038378524540879306,0.014116663704637933,0.7970569317544612
3,0.01,500,10.0,200,0.004113727336603913,0.014470441167184774,0.7988628492265066
3,0.01,500,10.0,250,0.004325991969048003,0.014842586280142445,0.7941295312860771
3,0.01,500,10.0,300,0.0044093012916196364,0.015112185736077853,0.7933234653824587
3,0.01,500,10.0,350,0.00442138999518139,0.014463240419587627,0.7952901837253026
3,0.01,500,10.0,400,0.004417657670126869,0.01432212018035942,0.7951871062440214
3,0.01,500,10.0,450,0.004424184100174226,0.01401195311127295,0.7922432133786325
3,0.01,500,10.0,500,0.004414554123761656,0.015774874698774664,0.789853877362536
3,0.05,200,1.0,50,0.004578828446808676,0.013816910901915962,0.7914268397268859
3,0.05,200,1.0,100,0.0048513942143410425,0.015747618398710812,0.7909258831678596
3,0.05,200,1.0,150,0.005126288379579254,0.016496992647461656,0.7808036745060527
3,0.05,200,1.0,200,0.0051308221703621325,0.01972880317395029,0.7550425503842728
3,0.05,200,1.0,250,0.005160290312629732,0.016738983551926382,0.7400385922089916
3,0.05,200,1.0,300,0.005135512795205354,0.016144604675978714,0.7339281591186463
3,0.05,200,1.0,350,0.005191334747471576,0.015316022123495846,0.7245316159250585
3,0.05,200,1.0,400,0.005200796847175181,0.0150145457103253,0.725075865026223
3,0.05,200,1.0,450,0.005187406524330255,0.014489208007416229,0.7242821684203582
3,0.05,200,1.0,500,0.005208762655619322,0.014072575430855359,0.7245378005739355
3,0.05,200,10.0,50,0.004272638312128019,0.01389280449126412,0.7903156644786753
3,0.05,200,10.0,100,0.004648924589531149,0.018438247281065648,0.7907588976481842
3,0.05,200,10.0,150,0.004876831090801876,0.023177166647304914,0.7631052709700828
3,0.05,200,10.0,200,0.004995333611365958,0.02435530603656453,0.7554837220041559
3,0.05,200,10.0,250,0.005053145794101826,0.024577462868023446,0.7539045749909291
3,0.05,200,10.0,300,0.005090938982662019,0.023362772793304176,0.746586073819969
3,0.05,200,10.0,350,0.0050923739707071595,0.020197040955720974,0.7410487515255466
3,0.05,200,10.0,400,0.005128178977910962,0.01902369763027092,0.7386738463568295
3,0.05,200,10.0,450,0.005155640190794768,0.016809693487949088,0.7278589570208133
3,0.05,200,10.0,500,0.005169345642076362,0.016039555839991435,0.725933469670482
3,0.05,500,1.0,50,0.004368747346947847,0.014746305324221578,0.7980753372695188
3,0.05,500,1.0,100,0.004347831418288781,0.016676356243479126,0.7893652901012633
3,0.05,500,1.0,150,0.004400570941377237,0.023676086070162836,0.7748375498895008
3,0.05,500,1.0,200,0.004478268001897285,0.022234364631115677,0.7683910842101791
3,0.05,500,1.0,250,0.004494003116271428,0.021119828201300393,0.7753281987003992
3,0.05,500,1.0,300,0.004591743790263435,0.018494147423919777,0.7715967938780222
3,0.05,500,1.0,350,0.00462132682844519,0.018788153492893898,0.7724997526140449
3,0.05,500,1.0,400,0.004748979122030799,0.01710915727974559,0.7664223043177095
3,0.05,500,1.0,450,0.004819139875917206,0.016460749114824594,0.7574360094996206
3,0.05,500,1.0,500,0.004879253357451448,0.016378196740795083,0.7575555793779067
3,0.05,500,10.0,50,0.004307215717799165,0.014924934063677191,0.7931564798627833
3,0.05,500,10.0,100,0.004433364635739943,0.01575624226131726,0.7891715044364548
3,0.05,500,10.0,150,0.0044653235017570484,0.020752862845944357,0.7763239271695748
3,0.05,500,10.0,200,0.004474691830794915,0.022268623827871856,0.7718751030774812
3,0.05,500,10.0,250,0.00448280210348323,0.023487743302424362,0.7687209321502787
3,0.05,500,10.0,300,0.004490703231139245,0.02440055823436663,0.7679602203384239
3,0.05,500,10.0,350,0.0044964619903552884,0.0227324172571497,0.7675437873140482
3,0.05,500,10.0,400,0.004515872167936524,0.022895901893830548,0.7643071544018207
3,0.05,500,10.0,450,0.004559815942764913,0.02227733137309741,0.7601345779595607
3,0.05,500,10.0,500,0.004577839980487726,0.022339404828200744,0.7582709370979978
7,0.01,200,1.0,50,0.003571330182129007,0.011304597286670737,0.7599284229969983
7,0.01,200,1.0,100,0.00395517807559512,0.011885194261604913,0.7682838836296467
7,0.01,200,1.0,150,0.004353419045688277,0.011739523603142924,0.7711020219678728
7,0.01,200,1.0,200,0.004630037598361953,0.013916722650882216,0.7744912095523964
7,0.01,200,1.0,250,0.004786646309670911,0.014575130091929397,0.7721101197348023
7,0.01,200,1.0,300,0.004935077251195174,0.014399624870492282,0.774050037932513
7,0.01,200,1.0,350,0.005048957540220679,0.014121512608087665,0.7761486954513969
7,0.01,200,1.0,400,0.005133297957189728,0.015679068827568327,0.7792533891875846
7,0.01,200,1.0,450,0.005189813907513589,0.015753956801752542,0.7794822211960286
7,0.01,200,1.0,500,0.005212046451650626,0.015894629717183636,0.781086106804763
7,0.01,200,10.0,50,0.003411488082766458,0.013013461234069563,0.7083566975624237
7,0.01,200,10.0,100,0.003599458849317098,0.016630471358419815,0.8010583995777946
7,0.01,200,10.0,150,0.003870489239738755,0.016394743927914762,0.7665253817989905
7,0.01,200,10.0,200,0.004173919515796886,0.016793700858802815,0.7667377214104297
7,0.01,200,10.0,250,0.004398667212556007,0.0215294030405214,0.7776948576706139
7,0.01,200,10.0,300,0.004649759955471963,0.019536520629719546,0.76445352442524
7,0.01,200,10.0,350,0.00482200732668744,0.016965737014827998,0.766337780783059
7,0.01,200,10.0,400,0.0048926614384938,0.017126251191706948,0.768943579509846
7,0.01,200,10.0,450,0.004898614124053572,0.0187055338514963,0.7646802948840585
7,0.01,200,10.0,500,0.004946225123578573,0.016902238972728807,0.7640618299963717
7,0.01,500,1.0,50,0.0035124093988196234,0.0106455095413329,0.7190375861727744
7,0.01,500,1.0,100,0.0038494503807880867,0.009389107849781685,0.7174213312662863
7,0.01,500,1.0,150,0.004284776314400917,0.010578954073690198,0.7541849457400138
7,0.01,500,1.0,200,0.004542348710344356,0.011069797651822944,0.7619940957218723
7,0.01,500,1.0,250,0.004578401798932837,0.011369842363228532,0.7746643797209487
7,0.01,500,1.0,300,0.00462013979051387,0.013846885651872662,0.7766846983540587
7,0.01,500,1.0,350,0.004660778024627008,0.015515849268697823,0.7755157997163308
7,0.01,500,1.0,400,0.004702055255000652,0.016587170360322437,0.7758868786489428
7,0.01,500,1.0,450,0.004730566071663496,0.01683789888430169,0.7853060988884125
7,0.01,500,1.0,500,0.004769062086896948,0.016543498361235788,0.774400501368869
7,0.01,500,10.0,50,0.0034467223227193826,0.011249222741392884,0.6992796945608075
7,0.01,500,10.0,100,0.0036320869785856007,0.013321574927707256,0.7250552495299667
7,0.01,500,10.0,150,0.00394838318327214,0.010506365322864386,0.711244928587921
7,0.01,500,10.0,200,0.0042544667606131265,0.010809299863377534,0.7271497839495993
7,0.01,500,10.0,250,0.004359005517734539,0.011128130990181248,0.7453759441897285
7,0.01,500,10.0,300,0.004470108707791134,0.016790154817305634,0.7549724576970016
7,0.01,500,10.0,350,0.004524534828154736,0.01616360976940429,0.7546426097569021
7,0.01,500,10.0,400,0.0045873350294649675,0.01751013688213917,0.7577411188442127
7,0.01,500,10.0,450,0.004627377789919448,0.021879245252916724,0.7419331563149387
7,0.01,500,10.0,500,0.004619105598608786,0.021099124671002015,0.7423784510340732
7,0.05,200,1.0,50,0.004938608777681628,0.014642141156129454,0.7902538179899066
7,0.05,200,1.0,100,0.005372641669009582,0.012398469251403626,0.7822508823432397
7,0.05,200,1.0,150,0.005526070488628329,0.012782057734259151,0.7814056469967345
7,0.05,200,1.0,200,0.005839048892736609,0.012877929124753629,0.7827518389022661
7,0.05,200,1.0,250,0.00588550742089884,0.01353161960072134,0.7896106145067124
7,0.05,200,1.0,300,0.006091188786310435,0.012741717378219256,0.7924885377840816
7,0.05,200,1.0,350,0.006330314066296369,0.011838022314076452,0.7832115644687799
7,0.05,200,1.0,400,0.00655640687480968,0.011820465596799548,0.7864193356862486
7,0.05,200,1.0,450,0.006739560911111782,0.01182182293377961,0.7870048157799254
7,0.05,200,1.0,500,0.006900422138935312,0.011510855454281193,0.7872068476432366
7,0.05,200,10.0,50,0.004332970691423182,0.01972533377683594,0.7710381139294786
7,0.05,200,10.0,100,0.005009507190456502,0.018400733824127168,0.7508308044991259
7,0.05,200,10.0,150,0.005137431973374812,0.0168515716692913,0.7621054194016559
7,0.05,200,10.0,200,0.005334273343064951,0.015449260598759097,0.7590996800474981
7,0.05,200,10.0,250,0.0054916102975104695,0.014185715206496424,0.7522697661378105
7,0.05,200,10.0,300,0.0056760251870285215,0.013023132791698415,0.7471117689745028
7,0.05,200,10.0,350,0.005865183896049458,0.012118481545644768,0.7481982056272058
7,0.05,200,10.0,400,0.005946011011170638,0.012479326386488342,0.747831249793845
7,0.05,200,10.0,450,0.006159312239164574,0.011960657373930445,0.7476457103275389
7,0.05,200,10.0,500,0.006358423695886439,0.012125702858429253,0.7496783982584028
7,0.05,500,1.0,50,0.00459622167293531,0.011780433652700647,0.8189629580763268
7,0.05,500,1.0,100,0.004801983117578095,0.016896008226615907,0.7817973414256028
7,0.05,500,1.0,150,0.004927497180808731,0.013393350686648724,0.7629980703895505
7,0.05,500,1.0,200,0.00515946880253061,0.013944428023566956,0.7603778408153842
7,0.05,500,1.0,250,0.0055171446242248895,0.012596062249028494,0.7522099811986673
7,0.05,500,1.0,300,0.005764997789970606,0.011429858482213784,0.7515214236237096
7,0.05,500,1.0,350,0.005820733258534697,0.011366395360564375,0.7545807632681334
7,0.05,500,1.0,400,0.005943531610230115,0.010550905326828544,0.7537478972193818
7,0.05,500,1.0,450,0.005983388269516081,0.010674112265295051,0.7517275785862717
7,0.05,500,1.0,500,0.006057492584858544,0.010737558385898873,0.7529727545601479
7,0.05,500,10.0,50,0.004446527139251589,0.010988746745060002,0.7436236270079495
7,0.05,500,10.0,100,0.004632854743537221,0.01619074701038746,0.7388614473727612
7,0.05,500,10.0,150,0.004824691371386542,0.0193393074877616,0.7516265626546162
7,0.05,500,10.0,200,0.005111450160052429,0.016240154453334276,0.7298297984629086
7,0.05,500,10.0,250,0.0053164494928038455,0.014872532593566811,0.7205445789491045
7,0.05,500,10.0,300,0.00552375150748451,0.01421687301262227,0.7187345383778079
7,0.05,500,10.0,350,0.005734577180144301,0.013458041508528995,0.713762080680806
