model_id,review_rate,eligible_player_days,alert_count,alerts_per_100_player_days,positive_alert_days,represented_onsets,captured_onsets,event_capture_rate,false_alerts_per_captured_onset,arm
M1-ABL-A,0.01,16815,169,1.0050550104073743,10,18,3,0.16666666666666666,53.0,A
M1-ABL-A,0.025,16815,421,2.503716919417187,39,18,10,0.5555555555555556,38.2,A
M1-ABL-A,0.05,16815,841,5.001486767766875,57,18,12,0.6666666666666666,65.33333333333333,A
M1-ABL-B,0.01,16815,169,1.0050550104073743,9,18,3,0.16666666666666666,53.333333333333336,B
M1-ABL-B,0.025,16815,421,2.503716919417187,30,18,10,0.5555555555555556,39.1,B
M1-ABL-B,0.05,16815,841,5.001486767766875,54,18,11,0.6111111111111112,71.54545454545455,B
M1-ABL-C,0.01,16815,169,1.0050550104073743,8,18,2,0.1111111111111111,80.5,C
M1-ABL-C,0.025,16815,421,2.503716919417187,41,18,10,0.5555555555555556,38.0,C
M1-ABL-C,0.05,16815,841,5.001486767766875,58,18,12,0.6666666666666666,65.25,C
M1-ABL-D,0.01,16815,169,1.0050550104073743,8,18,2,0.1111111111111111,80.5,D
M1-ABL-D,0.025,16815,421,2.503716919417187,38,18,11,0.6111111111111112,34.81818181818182,D
M1-ABL-D,0.05,16815,841,5.001486767766875,56,18,13,0.7222222222222222,60.38461538461539,D
