reference_model_id,candidate_model_id,method,metric,difference_direction,requested_iterations,valid_iterations,undefined_iterations,lower_95,median,upper_95,reference_arm,candidate_arm
M1-ABL-A,M1-ABL-B,player_cluster_bootstrap,brier_score,candidate_minus_reference,500,500,0,-0.000043153806198450214,0.000044707019320254764,0.0001316905990157129,A,B
M1-ABL-A,M1-ABL-B,temporal_week_block_bootstrap,brier_score,candidate_minus_reference,500,500,0,-9.549678672701948e-6,0.000045067593017272204,0.00009820112566140654,A,B
M1-ABL-A,M1-ABL-B,player_cluster_bootstrap,average_precision,candidate_minus_reference,500,500,0,-0.05422927246030256,0.003798485615895861,0.05970179921971522,A,B
M1-ABL-A,M1-ABL-B,temporal_week_block_bootstrap,average_precision,candidate_minus_reference,500,500,0,-0.024988956071256313,0.01186620136465314,0.0866228515649415,A,B
M1-ABL-A,M1-ABL-C,player_cluster_bootstrap,brier_score,candidate_minus_reference,500,500,0,-0.00003396357324224977,1.7196442359938315e-6,0.000027715543843600258,A,C
M1-ABL-A,M1-ABL-C,temporal_week_block_bootstrap,brier_score,candidate_minus_reference,500,500,0,-0.000017048327952391436,6.681411393026117e-7,0.000020353344660838562,A,C
M1-ABL-A,M1-ABL-C,player_cluster_bootstrap,average_precision,candidate_minus_reference,500,500,0,-0.020746418658287157,0.001129578462930634,0.025548810710070702,A,C
M1-ABL-A,M1-ABL-C,temporal_week_block_bootstrap,average_precision,candidate_minus_reference,500,500,0,-0.0074345618719566485,0.006559011817022661,0.04208238579033733,A,C
M1-ABL-A,M1-ABL-D,player_cluster_bootstrap,brier_score,candidate_minus_reference,500,500,0,-0.00006139405525101336,0.00003418320275794522,0.00014236184688849718,A,D
M1-ABL-A,M1-ABL-D,temporal_week_block_bootstrap,brier_score,candidate_minus_reference,500,500,0,-0.00002550983324265967,0.00003563325692702152,0.00009911375204096852,A,D
M1-ABL-A,M1-ABL-D,player_cluster_bootstrap,average_precision,candidate_minus_reference,500,500,0,-0.039835171026445015,0.003016694569834607,0.0685602360699962,A,D
M1-ABL-A,M1-ABL-D,temporal_week_block_bootstrap,average_precision,candidate_minus_reference,500,500,0,-0.018527980260563584,0.01731247611712492,0.08445586797082696,A,D
