fold_id,arm,training_positive_days,heldout_player_days,heldout_positive_days,brier_score,log_loss,average_precision,roc_auc,interpretation_role
RO1,A,197,4226,62,0.014017526834508581,0.07297835186881899,0.23263449291711366,0.8692014502184623,estimable_development_fold
RO1,B,197,4226,62,0.01417876856636754,0.07435755128650638,0.1742851909029909,0.8384540299339964,estimable_development_fold
RO1,C,197,4226,62,0.014060546795453453,0.07321505152960354,0.19435082111155788,0.8710142232964582,estimable_development_fold
RO1,D,197,4226,62,0.014093007432112944,0.0738603212319257,0.1994274234336076,0.8446883424746677,estimable_development_fold
RO2,A,265,4248,14,0.003795471555419552,0.034367956009274406,0.01634520235250308,0.7980801673527229,estimable_development_fold
RO2,B,265,4248,14,0.00371124980919281,0.03401358216286983,0.032093396336092976,0.8444901815237195,estimable_development_fold
RO2,C,265,4248,14,0.003763952012808124,0.03432230396631732,0.018671010036672223,0.8083203994871448,estimable_development_fold
RO2,D,265,4248,14,0.003703311584692074,0.033943048908884166,0.030986706817839632,0.845232471826709,estimable_development_fold
RO3,A,280,4141,28,0.006773099465475924,0.04155548833158833,0.047624351544611976,0.8516289812788719,estimable_development_fold
RO3,B,280,4141,28,0.006778329414547135,0.04229279029757891,0.04355620957522573,0.8084644506963982,estimable_development_fold
RO3,C,280,4141,28,0.006754390372821891,0.04145888506873316,0.0459181344102349,0.8562137473516029,estimable_development_fold
RO3,D,280,4141,28,0.00678105597420125,0.04230302071776976,0.0426875756048424,0.8102184710499809,estimable_development_fold
RO4,A,308,4200,0,0.0005475211798611726,0.016853346892438736,,,temporal_stress_only
RO4,B,308,4200,0,0.0006494206515839374,0.017834027607408483,,,temporal_stress_only
RO4,C,308,4200,0,0.000556248995282106,0.017026191230066552,,,temporal_stress_only
RO4,D,308,4200,0,0.0007092785657789126,0.01782870072794917,,,temporal_stress_only
