predictor,arm,present,is_robust_fatigue_predictor,is_robust_fatigue_indicator
daily_load_log1p,A,true,false,false
daily_load_log1p,B,true,false,false
daily_load_log1p,C,true,false,false
daily_load_log1p,D,true,false,false
daily_load_robust_available,A,true,false,false
daily_load_robust_available,B,true,false,false
daily_load_robust_available,C,true,false,false
daily_load_robust_available,D,false,false,false
daily_load_robust_z_prior28,A,true,false,false
daily_load_robust_z_prior28,B,true,false,false
daily_load_robust_z_prior28,C,true,false,false
daily_load_robust_z_prior28,D,false,false,false
daily_load_sum_28d_log1p,A,true,false,false
daily_load_sum_28d_log1p,B,true,false,false
daily_load_sum_28d_log1p,C,true,false,false
daily_load_sum_28d_log1p,D,true,false,false
daily_load_sum_7d_log1p,A,true,false,false
daily_load_sum_7d_log1p,B,true,false,false
daily_load_sum_7d_log1p,C,true,false,false
daily_load_sum_7d_log1p,D,true,false,false
fatigue_lag1,A,true,false,false
fatigue_lag1,B,true,false,false
fatigue_lag1,C,true,false,false
fatigue_lag1,D,true,false,false
fatigue_lag1_robust_z_prior,A,true,true,false
fatigue_lag1_robust_z_prior,B,false,true,false
fatigue_lag1_robust_z_prior,C,false,true,false
fatigue_lag1_robust_z_prior,D,false,true,false
fatigue_mean_prior_28d,A,true,false,false
fatigue_mean_prior_28d,B,true,false,false
fatigue_mean_prior_28d,C,true,false,false
fatigue_mean_prior_28d,D,true,false,false
fatigue_mean_prior_7d,A,true,false,false
fatigue_mean_prior_7d,B,true,false,false
fatigue_mean_prior_7d,C,true,false,false
fatigue_mean_prior_7d,D,true,false,false
fatigue_robust_available,A,true,false,true
fatigue_robust_available,B,false,false,true
fatigue_robust_available,C,true,false,true
fatigue_robust_available,D,false,false,true
readiness_lag1,A,true,false,false
readiness_lag1,B,true,false,false
readiness_lag1,C,true,false,false
readiness_lag1,D,true,false,false
readiness_lag1_robust_z_prior,A,true,false,false
readiness_lag1_robust_z_prior,B,true,false,false
readiness_lag1_robust_z_prior,C,true,false,false
readiness_lag1_robust_z_prior,D,false,false,false
readiness_mean_prior_28d,A,true,false,false
readiness_mean_prior_28d,B,true,false,false
readiness_mean_prior_28d,C,true,false,false
readiness_mean_prior_28d,D,true,false,false
readiness_mean_prior_7d,A,true,false,false
readiness_mean_prior_7d,B,true,false,false
readiness_mean_prior_7d,C,true,false,false
readiness_mean_prior_7d,D,true,false,false
readiness_robust_available,A,true,false,false
readiness_robust_available,B,true,false,false
readiness_robust_available,C,true,false,false
readiness_robust_available,D,false,false,false
session_count,A,true,false,false
session_count,B,true,false,false
session_count,C,true,false,false
session_count,D,false,false,false
session_duration_minutes_log1p,A,true,false,false
session_duration_minutes_log1p,B,true,false,false
session_duration_minutes_log1p,C,true,false,false
session_duration_minutes_log1p,D,false,false,false
session_duration_sum_28d_log1p,A,true,false,false
session_duration_sum_28d_log1p,B,true,false,false
session_duration_sum_28d_log1p,C,true,false,false
session_duration_sum_28d_log1p,D,false,false,false
session_duration_sum_7d_log1p,A,true,false,false
session_duration_sum_7d_log1p,B,true,false,false
session_duration_sum_7d_log1p,C,true,false,false
session_duration_sum_7d_log1p,D,false,false,false
session_recorded,A,true,false,false
session_recorded,B,true,false,false
session_recorded,C,true,false,false
session_recorded,D,false,false,false
wellness_report_count_prior_28d,A,true,false,false
wellness_report_count_prior_28d,B,true,false,false
wellness_report_count_prior_28d,C,true,false,false
wellness_report_count_prior_28d,D,false,false,false
wellness_report_count_prior_7d,A,true,false,false
wellness_report_count_prior_7d,B,true,false,false
wellness_report_count_prior_7d,C,true,false,false
wellness_report_count_prior_7d,D,false,false,false
wellness_report_present_lag1,A,true,false,false
wellness_report_present_lag1,B,true,false,false
wellness_report_present_lag1,C,true,false,false
wellness_report_present_lag1,D,false,false,false
