arm,player_id,training_positive_days,heldout_player_days,heldout_positive_days,brier_score,average_precision,roc_auc,metric_support
A,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,308,512,0,0.00005755440941686865,,,zero_positive_support
A,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,308,512,0,0.00012814620636858015,,,zero_positive_support
A,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,308,512,0,0.00011725241635770478,,,zero_positive_support
A,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,308,512,0,0.00007319571170674144,,,zero_positive_support
A,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,251,482,57,0.11564184425285864,0.1163709743447909,0.4480495356037152,estimable
A,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,215,438,93,0.20552716521006562,0.27642242377218296,0.54840268038024,estimable
A,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,287,509,21,0.04050764244970962,0.03514468579036038,0.4381342701014832,estimable
A,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,308,512,0,0.0003866109659715609,,,zero_positive_support
A,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,294,509,14,0.02700394640783051,0.0656120608597078,0.7896103896103897,estimable
A,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,272,458,36,0.07608456920057935,0.5402906624028387,0.7473012111637705,estimable
A,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,308,512,0,0.00005146841356154883,,,zero_positive_support
A,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,308,512,0,0.0001532570485775762,,,zero_positive_support
A,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,294,509,14,0.02812906476885894,0.030502908074762514,0.4379509379509379,estimable
A,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,308,512,0,0.00008341007381303513,,,zero_positive_support
A,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,308,512,0,0.0000610103406748672,,,zero_positive_support
A,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,301,511,7,0.014023415108369205,0.02506995657290262,0.7117346938775511,estimable
A,TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,308,512,0,0.0000482419599587772,,,zero_positive_support
A,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,308,512,0,0.0001788180159190441,,,zero_positive_support
A,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,301,511,7,0.013838333108698126,0.0137524557956778,0.047619047619047616,estimable
A,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,301,511,7,0.013868446770905415,0.0136986301369863,0.04365079365079366,estimable
A,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,286,501,22,0.04283613068242505,0.04784546391323599,0.4761339912696906,estimable
A,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,284,502,24,0.045693139227452904,0.19467201378001106,0.7167887029288702,estimable
A,TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,308,512,0,0.00005895901102098233,,,zero_positive_support
A,TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,308,512,0,0.00010508674153703532,,,zero_positive_support
A,TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,308,512,0,0.00009877268112045532,,,zero_positive_support
A,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,308,512,0,0.00015485206046221973,,,zero_positive_support
A,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,308,512,0,0.00021483837788880027,,,zero_positive_support
A,TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,308,512,0,0.00005895901102098236,,,zero_positive_support
A,TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,308,512,0,0.0001241209131204336,,,zero_positive_support
A,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,308,512,0,0.00009038943957698808,,,zero_positive_support
A,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,302,508,6,0.011922303103505791,0.007064052039696169,0.03652058432934925,estimable
A,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,308,512,0,0.0000552013482318607,,,zero_positive_support
A,TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,308,512,0,0.00006609157298572166,,,zero_positive_support
A,TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,308,512,0,0.00006556279237293268,,,zero_positive_support
A,TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,308,512,0,0.00005895901102098233,,,zero_positive_support
A,TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,308,512,0,0.000145741852645462,,,zero_positive_support
A,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,308,512,0,0.00005895901102098233,,,zero_positive_support
A,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,308,512,0,0.00009968819316806704,,,zero_positive_support
A,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,308,512,0,0.00004726750349014342,,,zero_positive_support
A,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,308,512,0,0.00016950650245530226,,,zero_positive_support
A,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,308,512,0,0.00004883185539329321,,,zero_positive_support
A,TeamB-9c845827-99f9-47f4-977d-2200a107a013,308,512,0,0.000059353807096004164,,,zero_positive_support
A,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,308,512,0,0.00034458083759979945,,,zero_positive_support
A,TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,308,512,0,0.000706493753078335,,,zero_positive_support
A,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,308,512,0,0.00023380548056002316,,,zero_positive_support
A,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,308,512,0,0.00017524782321789165,,,zero_positive_support
A,TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,308,512,0,0.00015162072847676913,,,zero_positive_support
A,TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,308,512,0,0.0000668409070799539,,,zero_positive_support
A,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,308,512,0,0.0012876193537450155,,,zero_positive_support
A,TeamB-f67673c0-d467-4832-9519-55133a2647e5,308,512,0,0.00006105197530697205,,,zero_positive_support
B,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,308,512,0,0.000059608865723428806,,,zero_positive_support
B,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,308,512,0,0.00016442264266358913,,,zero_positive_support
B,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,308,512,0,0.0001249787399409563,,,zero_positive_support
B,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,308,512,0,0.00009174134019070243,,,zero_positive_support
B,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,251,482,57,0.11598962152553013,0.10703584621142703,0.4238183694530444,estimable
B,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,215,438,93,0.20614015786750756,0.2250900034235952,0.4092722455976313,estimable
B,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,287,509,21,0.04043888672133215,0.034170424095973276,0.41832552693208436,estimable
B,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,308,512,0,0.00021825589031492735,,,zero_positive_support
B,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,294,509,14,0.026921637635698853,0.07675692944949913,0.8264069264069265,estimable
B,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,272,458,36,0.07576404597360076,0.5420602498204732,0.7421011058451816,estimable
B,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,308,512,0,0.00006168477181602219,,,zero_positive_support
B,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,308,512,0,0.00006947202368063284,,,zero_positive_support
B,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,294,509,14,0.028616040371779675,0.030220846355366184,0.432034632034632,estimable
B,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,308,512,0,0.00007613501049700556,,,zero_positive_support
B,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,308,512,0,0.0000634766350277471,,,zero_positive_support
B,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,301,511,7,0.013517573440414663,0.02412848946209817,0.6941609977324263,estimable
B,TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,308,512,0,0.000050954644636419007,,,zero_positive_support
B,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,308,512,0,0.00006605768872537603,,,zero_positive_support
B,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,301,511,7,0.013670301605755917,0.013888888888888888,0.1478174603174603,estimable
B,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,301,511,7,0.013929427355543872,0.0136986301369863,0.04365079365079366,estimable
B,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,286,501,22,0.04271551577501374,0.06481942623108539,0.45108179920288477,estimable
B,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,284,502,24,0.04629495247762536,0.15383275000050062,0.7239365411436541,estimable
B,TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,308,512,0,0.00006097682345893041,,,zero_positive_support
B,TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,308,512,0,0.00013420670307791148,,,zero_positive_support
B,TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,308,512,0,0.00012345988951200282,,,zero_positive_support
B,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,308,512,0,0.0002092878328379567,,,zero_positive_support
B,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,308,512,0,0.0002711065444334336,,,zero_positive_support
B,TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,308,512,0,0.00006097682345893043,,,zero_positive_support
B,TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,308,512,0,0.0001516288929302085,,,zero_positive_support
B,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,308,512,0,0.00011657406221285825,,,zero_positive_support
B,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,302,508,6,0.01192226883421235,0.007087654357857296,0.04216467463479413,estimable
B,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,308,512,0,0.00006721885284294742,,,zero_positive_support
B,TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,308,512,0,0.00007148675859254138,,,zero_positive_support
B,TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,308,512,0,0.00007306786634086417,,,zero_positive_support
B,TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,308,512,0,0.00006097682345893072,,,zero_positive_support
B,TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,308,512,0,0.00013980130681923104,,,zero_positive_support
B,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,308,512,0,0.000060976823458930845,,,zero_positive_support
B,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,308,512,0,0.00012305589978649505,,,zero_positive_support
B,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,308,512,0,0.00005281376949396546,,,zero_positive_support
B,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,308,512,0,0.00020315719077024843,,,zero_positive_support
B,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,308,512,0,0.000054034470146977134,,,zero_positive_support
B,TeamB-9c845827-99f9-47f4-977d-2200a107a013,308,512,0,0.00006414540514791805,,,zero_positive_support
B,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,308,512,0,0.00029105619360758844,,,zero_positive_support
B,TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,308,512,0,0.0006437730246450105,,,zero_positive_support
B,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,308,512,0,0.00018957560789782175,,,zero_positive_support
B,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,308,512,0,0.00022270289429688342,,,zero_positive_support
B,TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,308,512,0,0.0001774976160090827,,,zero_positive_support
B,TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,308,512,0,0.00007044115677186524,,,zero_positive_support
B,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,308,512,0,0.0013572234225272318,,,zero_positive_support
B,TeamB-f67673c0-d467-4832-9519-55133a2647e5,308,512,0,0.00006380956846247761,,,zero_positive_support
C,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,308,512,0,0.0000566081643462354,,,zero_positive_support
C,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,308,512,0,0.00013840459602640196,,,zero_positive_support
C,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,308,512,0,0.00011613961618129404,,,zero_positive_support
C,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,308,512,0,0.00007954489993282186,,,zero_positive_support
C,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,251,482,57,0.11563835090960979,0.11716451790696364,0.43711042311661513,estimable
C,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,215,438,93,0.2056686610349798,0.2450406882641384,0.5373071528751754,estimable
C,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,287,509,21,0.040493348998956145,0.03447782181816364,0.42447306791569095,estimable
C,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,308,512,0,0.00029561411103372175,,,zero_positive_support
C,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,294,509,14,0.026974445326062593,0.07136700624985515,0.8105339105339106,estimable
C,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,272,458,36,0.07598557715023647,0.5517150831498064,0.7469062664560295,estimable
C,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,308,512,0,0.00005410661903593815,,,zero_positive_support
C,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,308,512,0,0.00012215539385153487,,,zero_positive_support
C,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,294,509,14,0.028205202839412656,0.030301251289209075,0.4336219336219336,estimable
C,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,308,512,0,0.00007721144540311512,,,zero_positive_support
C,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,308,512,0,0.000060063821156176826,,,zero_positive_support
C,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,301,511,7,0.013798500821369354,0.02495806062803503,0.7049319727891157,estimable
C,TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,308,512,0,0.00004779041952752747,,,zero_positive_support
C,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,308,512,0,0.00013148517625733076,,,zero_positive_support
C,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,301,511,7,0.013818884403341558,0.013725490196078431,0.04563492063492064,estimable
C,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,301,511,7,0.013880800272512941,0.0136986301369863,0.04365079365079366,estimable
