player_id,prediction_date,rolling_top3_contributors,lopo_top3_contributors,jaccard_overlap
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-07-21,"","",
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-07-22,"","",
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-07-23,"","",
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-07-24,"","",
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-07-25,"","",
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-07-26,"","",
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-07-27,"daily_load_log1p, daily_load_sum_28d_log1p, daily_load_sum_7d_log1p","daily_load_log1p, daily_load_sum_28d_log1p, daily_load_sum_7d_log1p",1.0
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-08-04,"fatigue_mean_prior_7d, readiness_mean_prior_28d, readiness_mean_prior_7d","fatigue_mean_prior_28d, readiness_mean_prior_28d, readiness_mean_prior_7d",0.5
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-08-05,"fatigue_mean_prior_7d, readiness_mean_prior_28d, readiness_mean_prior_7d","fatigue_mean_prior_28d, readiness_mean_prior_28d, readiness_mean_prior_7d",0.5
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-08-06,"fatigue_mean_prior_28d, readiness_mean_prior_28d, readiness_mean_prior_7d","fatigue_mean_prior_28d, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-08-07,"fatigue_mean_prior_28d, fatigue_mean_prior_7d, readiness_mean_prior_28d","fatigue_mean_prior_28d, fatigue_mean_prior_7d, readiness_mean_prior_28d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-06,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-07,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-08,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-09,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-10,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-11,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-12,"fatigue_mean_prior_7d, readiness_mean_prior_28d, readiness_mean_prior_7d","fatigue_mean_prior_7d, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-14,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-15,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-16,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-23,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-24,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-25,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-26,"fatigue_mean_prior_7d, readiness_mean_prior_28d, readiness_mean_prior_7d","fatigue_mean_prior_7d, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-27,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-28,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-29,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-07,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-08,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-09,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-10,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-11,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-12,"fatigue_mean_prior_7d, readiness_mean_prior_28d, readiness_mean_prior_7d","fatigue_mean_prior_7d, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-13,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-23,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-08-24,"readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d","readiness_lag1, readiness_mean_prior_28d, readiness_mean_prior_7d",1.0
