fold_type,fold_id,predictor,value_coefficient,indicator_coefficient,abs_value_coefficient,magnitude_rank
rolling_origin,RO1,daily_load_log1p,0.0005674192504094306,,0.0005674192504094306,9
rolling_origin,RO1,daily_load_sum_7d_log1p,0.04114417491224934,,0.04114417491224934,5
rolling_origin,RO1,daily_load_sum_28d_log1p,0.0426673240336182,,0.0426673240336182,4
rolling_origin,RO1,fatigue_lag1,0.006943843022905023,-0.0172824525274027,0.006943843022905023,8
rolling_origin,RO1,readiness_lag1,-0.07070840908662916,-0.017467306757935386,0.07070840908662916,3
rolling_origin,RO1,fatigue_mean_prior_7d,-0.00910438381161177,-0.061768619431890215,0.00910438381161177,7
rolling_origin,RO1,fatigue_mean_prior_28d,-0.0168131380243329,-0.048786555383819145,0.0168131380243329,6
rolling_origin,RO1,readiness_mean_prior_7d,-0.12373879633888721,-0.0620145591683836,0.12373879633888721,1
rolling_origin,RO1,readiness_mean_prior_28d,-0.08869246155756208,-0.04902146899538452,0.08869246155756208,2
rolling_origin,RO2,daily_load_log1p,0.008462994935318982,,0.008462994935318982,9
rolling_origin,RO2,daily_load_sum_7d_log1p,0.04255701974125715,,0.04255701974125715,6
rolling_origin,RO2,daily_load_sum_28d_log1p,0.04294600367510968,,0.04294600367510968,5
rolling_origin,RO2,fatigue_lag1,0.012036248248230155,-0.019203910845812414,0.012036248248230155,8
rolling_origin,RO2,readiness_lag1,-0.09277022660714902,-0.02120795800222236,0.09277022660714902,3
rolling_origin,RO2,fatigue_mean_prior_7d,-0.028757102071168994,-0.05924539078545492,0.028757102071168994,7
rolling_origin,RO2,fatigue_mean_prior_28d,-0.04692183640410263,-0.04617801136840857,0.04692183640410263,4
rolling_origin,RO2,readiness_mean_prior_7d,-0.16122924714078055,-0.05948702987306919,0.16122924714078055,1
rolling_origin,RO2,readiness_mean_prior_28d,-0.13262696643507235,-0.04641648617512301,0.13262696643507235,2
rolling_origin,RO3,daily_load_log1p,0.014784401816383245,,0.014784401816383245,8
rolling_origin,RO3,daily_load_sum_7d_log1p,0.04018857306001522,,0.04018857306001522,5
rolling_origin,RO3,daily_load_sum_28d_log1p,0.03422459783952787,,0.03422459783952787,6
rolling_origin,RO3,fatigue_lag1,0.010256903928053729,-0.021667760243282024,0.010256903928053729,9
rolling_origin,RO3,readiness_lag1,-0.10117934191262692,-0.02362736102109906,0.10117934191262692,3
rolling_origin,RO3,fatigue_mean_prior_7d,-0.03256804508143855,-0.05324761429540491,0.03256804508143855,7
rolling_origin,RO3,fatigue_mean_prior_28d,-0.06149803442676964,-0.03582541000997817,0.06149803442676964,4
rolling_origin,RO3,readiness_mean_prior_7d,-0.17055378265821505,-0.05316308306855062,0.17055378265821505,1
rolling_origin,RO3,readiness_mean_prior_28d,-0.14557678621739834,-0.03601313026295541,0.14557678621739834,2
rolling_origin,RO4,daily_load_log1p,0.003987066336447985,,0.003987066336447985,9
rolling_origin,RO4,daily_load_sum_7d_log1p,0.03991126677811227,,0.03991126677811227,5
rolling_origin,RO4,daily_load_sum_28d_log1p,0.039402552280248075,,0.039402552280248075,6
rolling_origin,RO4,fatigue_lag1,0.019588060427897284,-0.015295555206223282,0.019588060427897284,8
rolling_origin,RO4,readiness_lag1,-0.11791471782831478,-0.017162131595933692,0.11791471782831478,3
rolling_origin,RO4,fatigue_mean_prior_7d,-0.037331441634176676,-0.048302829746592245,0.037331441634176676,7
rolling_origin,RO4,fatigue_mean_prior_28d,-0.0601339752893601,-0.026987985270885962,0.0601339752893601,4
rolling_origin,RO4,readiness_mean_prior_7d,-0.1856187143773584,-0.048224315395795025,0.1856187143773584,1
rolling_origin,RO4,readiness_mean_prior_28d,-0.15204302832109035,-0.02714532472682178,0.15204302832109035,2
leave_one_player_out,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,daily_load_log1p,0.006448065720501651,,0.006448065720501651,9
leave_one_player_out,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,daily_load_sum_7d_log1p,0.034581778001715115,,0.034581778001715115,6
leave_one_player_out,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,daily_load_sum_28d_log1p,0.02878786340009157,,0.02878786340009157,7
leave_one_player_out,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,fatigue_lag1,0.020955022928077133,-0.013632660288434144,0.020955022928077133,8
leave_one_player_out,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,readiness_lag1,-0.11041784662012556,-0.015255709916348283,0.11041784662012556,3
