operating_point_type,operating_point_value,run_length_days,run_count
capacity_sensitivity,0.05,1,91
capacity_sensitivity,0.05,2,31
capacity_sensitivity,0.05,3,15
capacity_sensitivity,0.05,4,10
capacity_sensitivity,0.05,5,6
capacity_sensitivity,0.05,6,3
capacity_sensitivity,0.05,7,3
capacity_sensitivity,0.05,8,4
capacity_sensitivity,0.05,9,2
capacity_sensitivity,0.05,10,2
capacity_sensitivity,0.05,11,2
capacity_sensitivity,0.05,13,3
capacity_sensitivity,0.05,14,2
capacity_sensitivity,0.05,15,1
capacity_sensitivity,0.05,16,1
capacity_sensitivity,0.05,17,1
capacity_sensitivity,0.05,18,1
capacity_sensitivity,0.05,24,2
capacity_sensitivity,0.05,25,1
capacity_sensitivity,0.05,27,1
capacity_sensitivity,0.05,38,1
capacity_sensitivity,0.05,41,1
capacity_sensitivity,0.05,46,1
capacity_sensitivity,0.05,84,1
capacity_sensitivity,0.1,1,115
capacity_sensitivity,0.1,2,51
capacity_sensitivity,0.1,3,18
capacity_sensitivity,0.1,4,9
capacity_sensitivity,0.1,5,7
capacity_sensitivity,0.1,6,5
capacity_sensitivity,0.1,7,4
capacity_sensitivity,0.1,8,2
capacity_sensitivity,0.1,9,5
capacity_sensitivity,0.1,10,2
capacity_sensitivity,0.1,11,2
capacity_sensitivity,0.1,12,4
capacity_sensitivity,0.1,13,4
capacity_sensitivity,0.1,14,3
capacity_sensitivity,0.1,15,2
capacity_sensitivity,0.1,17,1
capacity_sensitivity,0.1,18,3
capacity_sensitivity,0.1,20,2
capacity_sensitivity,0.1,21,1
capacity_sensitivity,0.1,24,2
capacity_sensitivity,0.1,26,1
capacity_sensitivity,0.1,28,1
capacity_sensitivity,0.1,31,1
capacity_sensitivity,0.1,34,3
capacity_sensitivity,0.1,38,1
capacity_sensitivity,0.1,44,1
capacity_sensitivity,0.1,47,1
capacity_sensitivity,0.1,53,1
capacity_sensitivity,0.1,54,1
capacity_sensitivity,0.1,65,1
capacity_sensitivity,0.1,84,1
capacity_sensitivity,0.1,85,3
capacity_sensitivity,0.2,1,179
capacity_sensitivity,0.2,2,77
capacity_sensitivity,0.2,3,42
capacity_sensitivity,0.2,4,20
capacity_sensitivity,0.2,5,11
capacity_sensitivity,0.2,6,8
capacity_sensitivity,0.2,7,19
capacity_sensitivity,0.2,8,13
capacity_sensitivity,0.2,9,8
capacity_sensitivity,0.2,10,11
capacity_sensitivity,0.2,11,7
capacity_sensitivity,0.2,12,6
capacity_sensitivity,0.2,13,5
capacity_sensitivity,0.2,14,2
capacity_sensitivity,0.2,15,1
capacity_sensitivity,0.2,16,3
capacity_sensitivity,0.2,17,4
capacity_sensitivity,0.2,18,1
capacity_sensitivity,0.2,19,1
capacity_sensitivity,0.2,21,1
capacity_sensitivity,0.2,22,1
capacity_sensitivity,0.2,24,1
capacity_sensitivity,0.2,26,1
capacity_sensitivity,0.2,34,1
capacity_sensitivity,0.2,35,1
capacity_sensitivity,0.2,36,1
capacity_sensitivity,0.2,38,3
capacity_sensitivity,0.2,41,1
capacity_sensitivity,0.2,42,1
capacity_sensitivity,0.2,43,1
capacity_sensitivity,0.2,44,1
capacity_sensitivity,0.2,60,1
capacity_sensitivity,0.2,65,1
capacity_sensitivity,0.2,68,1
capacity_sensitivity,0.2,69,1
capacity_sensitivity,0.2,71,1
capacity_sensitivity,0.2,73,1
capacity_sensitivity,0.2,75,1
capacity_sensitivity,0.2,81,1
capacity_sensitivity,0.2,84,2
capacity_sensitivity,0.2,85,8
percentile,0.01,1,22
percentile,0.01,2,3
percentile,0.01,3,2
percentile,0.01,4,1
percentile,0.01,6,1
percentile,0.01,7,4
percentile,0.01,12,1
percentile,0.01,84,1
percentile,0.025,1,60
percentile,0.025,2,26
percentile,0.025,3,9
percentile,0.025,4,6
percentile,0.025,5,3
percentile,0.025,6,1
percentile,0.025,7,4
percentile,0.025,8,2
percentile,0.025,9,3
percentile,0.025,10,2
percentile,0.025,12,1
percentile,0.025,13,1
percentile,0.025,14,1
percentile,0.025,22,1
percentile,0.025,84,1
percentile,0.05,1,91
percentile,0.05,2,31
percentile,0.05,3,15
percentile,0.05,4,10
percentile,0.05,5,6
percentile,0.05,6,3
percentile,0.05,7,3
percentile,0.05,8,4
percentile,0.05,9,2
percentile,0.05,10,2
percentile,0.05,11,2
percentile,0.05,13,3
percentile,0.05,14,2
percentile,0.05,15,1
percentile,0.05,16,1
percentile,0.05,17,1
percentile,0.05,18,1
percentile,0.05,24,2
percentile,0.05,25,1
percentile,0.05,27,1
percentile,0.05,38,1
percentile,0.05,41,1
percentile,0.05,46,1
percentile,0.05,84,1
top_n_per_team_day,1.0,1,84
top_n_per_team_day,1.0,2,36
top_n_per_team_day,1.0,3,16
top_n_per_team_day,1.0,4,18
top_n_per_team_day,1.0,5,7
top_n_per_team_day,1.0,6,5
top_n_per_team_day,1.0,7,2
top_n_per_team_day,1.0,8,5
top_n_per_team_day,1.0,9,1
top_n_per_team_day,1.0,11,2
top_n_per_team_day,1.0,12,1
top_n_per_team_day,1.0,13,2
top_n_per_team_day,1.0,14,2
top_n_per_team_day,1.0,15,1
top_n_per_team_day,1.0,16,2
top_n_per_team_day,1.0,17,3
top_n_per_team_day,1.0,84,1
top_n_per_team_day,3.0,1,200
top_n_per_team_day,3.0,2,63
top_n_per_team_day,3.0,3,34
top_n_per_team_day,3.0,4,24
top_n_per_team_day,3.0,5,12
top_n_per_team_day,3.0,6,8
top_n_per_team_day,3.0,7,12
top_n_per_team_day,3.0,8,6
top_n_per_team_day,3.0,9,8
top_n_per_team_day,3.0,10,4
top_n_per_team_day,3.0,11,2
top_n_per_team_day,3.0,12,4
top_n_per_team_day,3.0,13,3
top_n_per_team_day,3.0,14,6
top_n_per_team_day,3.0,15,1
top_n_per_team_day,3.0,17,2
top_n_per_team_day,3.0,18,1
top_n_per_team_day,3.0,19,3
top_n_per_team_day,3.0,21,1
top_n_per_team_day,3.0,23,1
top_n_per_team_day,3.0,24,3
top_n_per_team_day,3.0,28,1
top_n_per_team_day,3.0,34,1
top_n_per_team_day,3.0,38,1
top_n_per_team_day,3.0,40,1
top_n_per_team_day,3.0,42,1
top_n_per_team_day,3.0,59,1
top_n_per_team_day,3.0,65,1
top_n_per_team_day,3.0,69,1
top_n_per_team_day,3.0,84,2
top_n_per_team_day,3.0,85,2
top_n_per_team_day,5.0,1,205
top_n_per_team_day,5.0,2,88
top_n_per_team_day,5.0,3,45
top_n_per_team_day,5.0,4,20
top_n_per_team_day,5.0,5,18
top_n_per_team_day,5.0,6,16
top_n_per_team_day,5.0,7,12
top_n_per_team_day,5.0,8,14
top_n_per_team_day,5.0,9,11
top_n_per_team_day,5.0,10,10
top_n_per_team_day,5.0,11,10
top_n_per_team_day,5.0,12,3
top_n_per_team_day,5.0,13,6
top_n_per_team_day,5.0,14,5
top_n_per_team_day,5.0,15,1
top_n_per_team_day,5.0,16,4
top_n_per_team_day,5.0,17,6
top_n_per_team_day,5.0,18,7
top_n_per_team_day,5.0,19,1
top_n_per_team_day,5.0,20,2
top_n_per_team_day,5.0,21,2
top_n_per_team_day,5.0,22,2
top_n_per_team_day,5.0,23,1
top_n_per_team_day,5.0,24,1
top_n_per_team_day,5.0,25,1
top_n_per_team_day,5.0,27,1
top_n_per_team_day,5.0,29,1
top_n_per_team_day,5.0,31,2
top_n_per_team_day,5.0,32,2
top_n_per_team_day,5.0,35,2
top_n_per_team_day,5.0,38,1
top_n_per_team_day,5.0,39,2
top_n_per_team_day,5.0,42,1
top_n_per_team_day,5.0,44,2
top_n_per_team_day,5.0,46,1
top_n_per_team_day,5.0,57,1
top_n_per_team_day,5.0,61,1
top_n_per_team_day,5.0,68,1
top_n_per_team_day,5.0,70,1
top_n_per_team_day,5.0,73,1
top_n_per_team_day,5.0,81,1
top_n_per_team_day,5.0,83,1
top_n_per_team_day,5.0,84,2
top_n_per_team_day,5.0,85,2
